ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,2001,2001-10-28,6,21.338,DET,,CIN,L 27-31,,3,1,12,12.00,0,33.3%,4.00,0,0
2,2001,2001-11-11,8,21.352,DET,,TAM,L 17-20,,1,1,8,8.00,0,100.0%,8.00,0,0
3,2001,2001-11-18,9,21.359,DET,@,ARI,L 38-45,,4,2,15,7.50,0,50.0%,3.75,0,0
4,2001,2001-11-22,10,21.363,DET,,GNB,L 27-29,*,10,3,57,19.00,1,30.0%,5.70,1,6
5,2001,2001-12-02,11,22.008,DET,@,CHI,L 10-13,*,6,1,16,16.00,0,16.7%,2.67,0,0
6,2001,2001-12-09,12,22.015,DET,@,TAM,L 12-15,*,3,2,31,15.50,0,66.7%,10.33,0,0
7,2001,2001-12-16,13,22.022,DET,,MIN,W 27-24,,5,1,69,69.00,0,20.0%,13.80,0,0
8,2001,2001-12-23,14,22.029,DET,@,PIT,L 14-47,*,2,1,3,3.00,0,50.0%,1.50,0,0
9,2001,2002-01-06,16,22.043,DET,,DAL,W 15-10,,,,,,,0.0%,,,
10,2002,2002-09-08,1,22.288,DET,@,MIA,L 21-49,,,,,,,0.0%,,,
11,2002,2002-09-15,2,22.295,DET,@,CAR,L 7-31,,6,2,31,15.50,0,33.3%,5.17,0,0
12,2002,2002-09-22,3,22.302,DET,,GNB,L 31-37,*,3,2,21,10.50,0,66.7%,7.00,0,0
13,2002,2002-09-29,4,22.309,DET,,NOR,W 26-21,,4,,,,,0.0%,,,
14,2002,2002-10-13,5,22.323,DET,@,MIN,L 24-31,*,4,2,20,10.00,0,50.0%,5.00,0,0
15,2002,2002-10-20,6,22.330,DET,,CHI,W 23-20,*,5,3,34,11.33,0,60.0%,6.80,0,0
16,2002,2002-10-27,7,22.337,DET,@,BUF,L 17-24,,1,,,,,0.0%,,,
17,2002,2002-11-03,8,22.344,DET,,DAL,W 9-7,,2,1,5,5.00,0,50.0%,2.50,0,0
18,2002,2002-11-10,9,22.351,DET,@,GNB,L 14-40,,1,1,15,15.00,0,100.0%,15.00,0,0
19,2002,2002-11-17,10,22.358,DET,,NYJ,L 14-31,,2,,,,,0.0%,,,
20,2002,2002-11-24,11,23.000,DET,@,CHI,L 17-20,,7,5,70,14.00,0,71.4%,10.00,0,0
21,2002,2002-11-28,12,23.004,DET,,NWE,L 12-20,,4,2,40,20.00,0,50.0%,10.00,0,0
22,2002,2002-12-08,13,23.014,DET,@,ARI,L 20-23,,2,1,10,10.00,0,50.0%,5.00,0,0
23,2002,2002-12-15,14,23.021,DET,,TAM,L 20-23,,2,1,2,2.00,0,50.0%,1.00,0,0
24,2002,2002-12-22,15,23.028,DET,@,ATL,L 15-36,,5,1,18,18.00,0,20.0%,3.60,0,0
25,2002,2002-12-29,16,23.035,DET,,MIN,L 36-38,*,8,4,56,14.00,1,50.0%,7.00,1,6
26,2003,2003-09-07,1,23.287,DET,,ARI,W 42-24,,,,,,,0.0%,,,
27,2003,2003-09-14,2,23.294,DET,@,GNB,L 6-31,,3,1,42,42.00,0,33.3%,14.00,0,0
28,2003,2003-09-28,4,23.308,DET,@,DEN,L 16-20,,1,1,43,43.00,1,100.0%,43.00,1,6
29,2003,2003-10-05,5,23.315,DET,@,SFO,L 17-24,,,,,,,0.0%,,,
30,2003,2003-10-19,6,23.329,DET,,DAL,L 7-38,,4,3,27,9.00,0,75.0%,6.75,0,0
31,2003,2003-10-26,7,23.336,DET,@,CHI,L 16-24,,10,4,39,9.75,0,40.0%,3.90,0,0
32,2003,2003-11-02,8,23.343,DET,,OAK,W 23-13,,2,1,10,10.00,0,50.0%,5.00,0,0
33,2003,2003-11-09,9,23.350,DET,,CHI,W 12-10,,8,5,77,15.40,0,62.5%,9.63,0,0
34,2003,2003-11-16,10,23.357,DET,@,SEA,L 14-35,,3,2,87,43.50,1,66.7%,29.00,1,6
