ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1974,1974-09-15,1,23.017,GNB,,MIN,L 17-32,0,0,,0,5,193,38.60,0
2,1974,1974-09-22,2,23.024,GNB,@,BAL,W 20-13,0,0,,0,6,215,35.83,0
3,1974,1974-09-29,3,23.031,GNB,,DET,W 21-19,0,0,,0,3,130,43.33,0
4,1974,1974-10-06,4,23.038,GNB,,BUF,L 7-27,0,0,,0,4,130,32.50,0
5,1974,1974-10-13,5,23.045,GNB,,RAM,W 17-6,0,0,,0,7,278,39.71,0
6,1974,1974-10-21,6,23.053,GNB,@,CHI,L 9-10,0,0,,0,3,107,35.67,0
7,1974,1974-10-27,7,23.059,GNB,@,DET,L 17-19,0,0,,0,7,278,39.71,0
8,1974,1974-11-03,8,23.066,GNB,,WAS,L 6-17,0,0,,0,7,282,40.29,0
9,1974,1974-11-10,9,23.073,GNB,,CHI,W 20-3,1,18,18.00,0,7,252,36.00,0
10,1974,1974-11-17,10,23.080,GNB,@,MIN,W 19-7,0,0,,0,2,86,43.00,0
11,1974,1974-11-24,11,23.087,GNB,,SDG,W 34-0,0,0,,0,3,108,36.00,0
12,1974,1974-12-01,12,23.094,GNB,@,PHI,L 14-36,0,0,,0,5,197,39.40,0
13,1974,1974-12-08,13,23.101,GNB,@,SFO,L 6-7,0,0,,0,4,161,40.25,0
14,1974,1974-12-15,14,23.108,GNB,@,ATL,L 3-10,0,0,,0,6,231,38.50,0
