ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2006,2006-09-24,3,22.212,SFO,,PHI,L 24-38,,4,85,21.25,0,3,12,4.00,0
2,2006,2006-10-01,4,22.219,SFO,@,KAN,L 0-41,,0,0,,0,1,2,2.00,0
3,2006,2006-10-08,5,22.226,SFO,,OAK,W 34-20,,0,0,,0,1,17,17.00,0
4,2006,2006-10-15,6,22.233,SFO,,SDG,L 19-48,,1,9,9.00,0,1,6,6.00,0
5,2006,2006-10-29,7,22.247,SFO,@,CHI,L 10-41,,0,0,,0,2,31,15.50,0
6,2006,2006-11-05,8,22.254,SFO,,MIN,W 9-3,,2,55,27.50,0,1,2,2.00,0
7,2006,2006-11-12,9,22.261,SFO,@,DET,W 19-13,,4,90,22.50,0,1,2,2.00,0
8,2006,2006-11-19,10,22.268,SFO,,SEA,W 20-14,,2,52,26.00,0,2,8,4.00,0
9,2006,2006-12-03,12,22.282,SFO,@,NOR,L 10-34,,0,0,,0,2,8,4.00,0
10,2006,2006-12-10,13,22.289,SFO,,GNB,L 19-30,,3,89,29.67,0,3,35,11.67,0
11,2006,2006-12-14,14,22.293,SFO,@,SEA,W 24-14,,0,0,,0,0,0,,0
12,2006,2006-12-24,15,22.303,SFO,,ARI,L 20-26,,0,0,,0,2,7,3.50,0
13,2006,2006-12-31,16,22.310,SFO,@,DEN,W 26-23,,0,0,,0,3,17,5.67,0
14,2007,2007-09-10,1,23.198,SFO,,ARI,W 20-17,,0,0,,0,2,20,10.00,0
15,2007,2007-09-16,2,23.204,SFO,@,STL,W 17-16,,0,0,,0,2,12,6.00,0
16,2007,2007-09-23,3,23.211,SFO,@,PIT,L 16-37,,0,0,,0,1,0,0.00,0
17,2007,2007-10-14,6,23.232,STL,@,BAL,L 3-22,,5,112,22.40,0,2,22,11.00,0
18,2007,2007-10-21,7,23.239,STL,@,SEA,L 6-33,,7,171,24.43,0,0,0,,0
19,2007,2007-10-28,8,23.246,STL,,CLE,L 20-27,,6,134,22.33,0,1,8,8.00,0
20,2007,2007-11-11,9,23.260,STL,@,NOR,W 37-29,,1,24,24.00,0,0,0,,0
21,2007,2007-12-02,12,23.281,STL,,ATL,W 28-16,,3,67,22.33,0,2,6,3.00,0
22,2007,2007-12-20,15,23.299,STL,,PIT,L 24-41,,0,0,,0,2,20,10.00,0
23,2007,2007-12-30,16,23.309,STL,@,ARI,L 19-48,,0,0,,0,1,10,10.00,0
