ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2013,2013-09-08,1,23.087,SFO,,GNB,W 34-28,,2,1,25,25.00,0,50.0%,12.50,0,0,0.0,0,0
2,2013,2013-09-15,2,23.094,SFO,@,SEA,L 3-29,,2,1,19,19.00,0,50.0%,9.50,0,0,0.0,1,0
3,2013,2013-09-22,3,23.101,SFO,,IND,L 7-27,*,3,1,6,6.00,0,33.3%,2.00,0,0,0.0,0,0
4,2013,2013-09-26,4,23.105,SFO,@,STL,W 35-11,*,2,1,9,9.00,0,50.0%,4.50,0,0,0.0,0,0
5,2013,2013-10-06,5,23.115,SFO,,HOU,W 34-3,,,,,,,0.0%,,,,,,
6,2013,2013-10-13,6,23.122,SFO,,ARI,W 32-20,,1,1,7,7.00,0,100.0%,7.00,0,0,0.0,0,0
7,2013,2013-10-20,7,23.129,SFO,@,TEN,W 31-17,,2,1,20,20.00,0,50.0%,10.00,0,0,0.0,0,0
8,2013,2013-10-27,8,23.136,SFO,@,JAX,W 42-10,,,,,,,0.0%,,,,,,
9,2013,2013-11-10,9,23.150,SFO,,CAR,L 9-10,,2,0,0,,0,0.0%,0.00,0,0,0.0,0,0
10,2013,2013-11-17,10,23.157,SFO,@,NOR,L 20-23,,2,1,10,10.00,0,50.0%,5.00,0,0,0.0,0,0
11,2013,2013-11-25,11,23.165,SFO,@,WAS,W 27-6,,1,1,23,23.00,0,100.0%,23.00,0,0,0.0,0,0
12,2013,2013-12-01,12,23.171,SFO,,STL,W 23-13,,,,,,,0.0%,,,,,,
13,2013,2013-12-08,13,23.178,SFO,,SEA,W 19-17,*,,,,,,0.0%,,,,,,
14,2013,2013-12-23,15,23.193,SFO,,ATL,W 34-24,*,2,0,0,,0,0.0%,0.00,0,0,0.0,0,0
15,2013,2013-12-29,16,23.199,SFO,@,ARI,W 23-20,,,,,,,0.0%,,,,,,
16,2014,2014-09-07,1,24.086,SFO,@,DAL,W 28-17,,,,,,,0.0%,,,,,,
17,2014,2014-09-14,2,24.093,SFO,,CHI,L 20-28,*,2,1,9,9.00,0,50.0%,4.50,0,0,0.0,1,0
18,2014,2014-10-05,5,24.114,SFO,,KAN,W 22-17,*,2,0,0,,0,0.0%,0.00,0,0,0.0,0,0
19,2014,2014-10-13,6,24.122,SFO,@,STL,W 31-17,*,2,1,21,21.00,0,50.0%,10.50,0,0,0.0,0,0
20,2014,2014-10-19,7,24.128,SFO,@,DEN,L 17-42,,,,,,,0.0%,,,,,,
21,2014,2014-11-02,8,24.142,SFO,,STL,L 10-13,,,,,,,0.0%,,,,,,
22,2014,2014-11-09,9,24.149,SFO,@,NOR,W 27-24,,,,,,,0.0%,,,,,,
23,2014,2014-11-16,10,24.156,SFO,@,NYG,W 16-10,*,2,0,0,,0,0.0%,0.00,0,0,0.0,0,0
24,2015,2015-09-14,1,25.093,SFO,,MIN,W 20-3,*,1,1,5,5.00,0,100.0%,5.00,0,0,0.0,0,0
25,2015,2015-09-20,2,25.099,SFO,@,PIT,L 18-43,*,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0
26,2015,2015-10-04,4,25.113,SFO,,GNB,L 3-17,,2,1,7,7.00,0,50.0%,3.50,0,0,0.0,0,0
27,2015,2015-10-11,5,25.120,SFO,@,NYG,L 27-30,*,3,2,9,4.50,0,66.7%,3.00,0,0,0.0,0,0
28,2015,2015-10-18,6,25.127,SFO,,BAL,W 25-20,,1,1,10,10.00,0,100.0%,10.00,0,0,0.0,0,0
