ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2000,2000-09-10,2,22.303,DEN,,ATL,W 42-14,,0,0,0,,0,0.0%,,0,0,,0,1,17,17.00,0
2,2000,2000-09-17,3,22.310,DEN,@,OAK,W 33-24,,0,0,0,,0,0.0%,,0,0,,0,3,84,28.00,0
3,2000,2000-09-24,4,22.317,DEN,,KAN,L 22-23,,0,0,0,,0,0.0%,,0,0,,0,5,122,24.40,0
4,2000,2000-10-01,5,22.324,DEN,,NWE,L 19-28,,0,0,0,,0,0.0%,,0,0,,0,2,41,20.50,0
5,2000,2000-11-19,11,23.007,DEN,,SDG,W 38-37,,,,,,,0.0%,,,,,,,,,
6,2000,2000-11-26,12,23.014,DEN,@,SEA,W 38-31,,0,,,,,0.0%,,,,,,,,,
7,2000,2000-12-03,13,23.021,DEN,@,NOR,W 38-23,,0,,,,,0.0%,,,,,,,,,
8,2000,2000-12-10,14,23.028,DEN,,SEA,W 31-24,,,,,,,0.0%,,,,,,,,,
9,2001,2001-09-10,1,23.302,DEN,,NYG,W 31-20,,,,,,,0.0%,,,,,,,,,
10,2001,2001-09-23,2,23.315,DEN,@,ARI,W 38-17,,,,,,,0.0%,,,,,,,,,
11,2001,2001-09-30,3,23.322,DEN,,BAL,L 13-20,,0,,,,,0.0%,,,,,,,,,
12,2001,2001-10-07,4,23.329,DEN,,KAN,W 20-6,,0,0,0,,0,0.0%,,0,0,,0,2,44,22.00,0
13,2001,2001-10-14,5,23.336,DEN,@,SEA,L 21-34,,0,0,0,,0,0.0%,,0,0,,0,6,136,22.67,0
14,2001,2001-10-21,6,23.343,DEN,@,SDG,L 10-27,,0,0,0,,0,0.0%,,0,0,,0,6,182,30.33,0
15,2001,2001-10-28,7,23.350,DEN,,NWE,W 31-20,,0,0,0,,0,0.0%,,0,0,,0,3,87,29.00,0
16,2001,2001-11-05,8,23.358,DEN,@,OAK,L 28-38,,0,0,0,,0,0.0%,,0,0,,0,7,162,23.14,0
17,2001,2001-11-11,9,23.364,DEN,,SDG,W 26-16,,2,0,0,,0,0.0%,0.00,0,0,,0,2,76,38.00,0
18,2001,2001-11-18,10,24.006,DEN,,WAS,L 10-17,,6,2,37,18.50,0,33.3%,6.17,0,0,,0,3,55,18.33,0
19,2001,2001-11-22,11,24.010,DEN,@,DAL,W 26-24,,0,0,0,,0,0.0%,,0,0,,0,3,64,21.33,0
20,2001,2001-12-02,12,24.020,DEN,@,MIA,L 10-21,*,6,4,43,10.75,0,66.7%,7.17,0,0,,0,4,62,15.50,0
21,2001,2001-12-09,13,24.027,DEN,,SEA,W 20-7,,2,1,12,12.00,0,50.0%,6.00,0,0,,0,2,45,22.50,0
22,2001,2001-12-16,14,24.034,DEN,@,KAN,L 23-26,,1,1,19,19.00,0,100.0%,19.00,0,0,,0,3,51,17.00,0
23,2001,2001-12-30,15,24.048,DEN,,OAK,W 23-17,,0,0,0,,0,0.0%,,0,0,,0,1,30,30.00,0
24,2001,2002-01-06,16,24.055,DEN,@,IND,L 10-29,*,2,1,17,17.00,0,50.0%,8.50,0,0,,0,6,133,22.17,0
25,2003,2003-09-07,1,25.299,DEN,@,CIN,W 30-10,,0,0,0,,0,0.0%,,0,0,,0,2,64,32.00,0
26,2003,2003-09-14,2,25.306,DEN,@,SDG,W 37-13,,1,0,0,,0,0.0%,0.00,1,0,0.00,0,3,60,20.00,0
27,2003,2003-09-22,3,25.314,DEN,,OAK,W 31-10,,1,0,0,,0,0.0%,0.00,0,0,,0,1,24,24.00,0
28,2003,2003-09-28,4,25.320,DEN,,DET,W 20-16,,2,1,12,12.00,0,50.0%,6.00,0,0,,0,1,24,24.00,0
29,2003,2003-10-05,5,25.327,DEN,@,KAN,L 23-24,,0,0,0,,0,0.0%,,0,0,,0,5,135,27.00,0
30,2003,2003-10-12,6,25.334,DEN,,PIT,W 17-14,,0,0,0,,0,0.0%,,0,0,,0,2,32,16.00,0
31,2003,2003-10-19,7,25.341,DEN,@,MIN,L 20-28,,0,0,0,,0,0.0%,,1,8,8.00,0,2,60,30.00,0
32,2003,2003-11-03,9,25.356,DEN,,NWE,L 26-30,,1,1,18,18.00,0,100.0%,18.00,0,0,,0,6,141,23.50,0
33,2003,2003-11-16,10,26.004,DEN,,SDG,W 37-8,,3,1,6,6.00,0,33.3%,2.00,0,0,,0,2,44,22.00,0
34,2003,2003-11-23,11,26.011,DEN,,CHI,L 10-19,,0,0,0,,0,0.0%,,0,0,,0,4,79,19.75,0
35,2003,2003-11-30,12,26.018,DEN,@,OAK,W 22-8,,0,0,0,,0,0.0%,,0,0,,0,2,51,25.50,0
