ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1996,1996-10-13,6,24.078,CAR,,STL,W 45-13,,,,,,,,,
2,1996,1996-11-03,9,24.099,CAR,@,ATL,L 17-20,,,,,,,,,
3,1997,1997-12-07,14,25.133,IND,@,NYJ,W 22-14,,,,,,,,,
4,1997,1997-12-14,15,25.140,IND,,MIA,W 41-0,,,,,,,,,
5,1997,1997-12-21,16,25.147,IND,@,MIN,L 28-39,,,,,,,,,
6,1999,1999-11-21,10,27.117,NYG,@,WAS,L 13-23,,,,,,,,,
7,1999,1999-11-28,11,27.124,NYG,,ARI,L 24-34,,,,,,,,,
8,1999,1999-12-05,12,27.131,NYG,,NYJ,W 41-28,,,,,,,,,
9,1999,1999-12-12,13,27.138,NYG,@,BUF,W 19-17,*,,,,,,,,
10,1999,1999-12-19,14,27.145,NYG,@,STL,L 10-31,*,,,,,,,,
11,1999,1999-12-26,15,27.152,NYG,,MIN,L 17-34,,,,,,,,,
12,1999,2000-01-02,16,27.159,NYG,@,DAL,L 18-26,,,,,,,,,
13,2000,2000-09-03,1,28.038,NYG,,ARI,W 21-16,,0,0,,0,0.0,2,2,0
14,2000,2000-09-10,2,28.045,NYG,@,PHI,W 33-18,,,,,,,,,
15,2000,2000-09-17,3,28.052,NYG,@,CHI,W 14-7,,,,,,,,,
16,2000,2000-09-24,4,28.059,NYG,,WAS,L 6-16,,,,,,,,,
17,2000,2000-10-01,5,28.066,NYG,@,TEN,L 14-28,,,,,,,,,
18,2000,2000-10-08,6,28.073,NYG,@,ATL,W 13-6,,,,,,,,,
19,2000,2000-10-15,7,28.080,NYG,,DAL,W 19-14,,0,0,,0,1.0,0,0,0
20,2000,2000-10-29,8,28.094,NYG,,PHI,W 24-7,*,0,0,,0,0.0,1,1,0
21,2000,2000-11-05,9,28.101,NYG,@,CLE,W 24-3,*,0,0,,0,0.0,1,6,0
22,2000,2000-11-12,10,28.108,NYG,,STL,L 24-38,,,,,,,,,
23,2000,2000-11-19,11,28.115,NYG,,DET,L 21-31,,,,,,,,,
24,2000,2000-11-26,12,28.122,NYG,@,ARI,W 31-7,*,,,,,,,,
25,2000,2000-12-03,13,28.129,NYG,@,WAS,W 9-7,,0,0,,0,0.0,1,17,0
26,2000,2000-12-10,14,28.136,NYG,,PIT,W 30-10,,,,,,,,,
27,2000,2000-12-17,15,28.143,NYG,@,DAL,W 17-13,,0,0,,0,0.0,1,4,0
28,2000,2000-12-23,16,28.149,NYG,,JAX,W 28-25,,,,,,,,,
29,2001,2001-09-10,1,29.045,NYG,@,DEN,L 20-31,,,,,,,,,
30,2001,2001-09-23,2,29.058,NYG,@,KAN,W 13-3,,,,,,,,,
31,2001,2001-09-30,3,29.065,NYG,,NOR,W 21-13,,,,,,,,,
32,2001,2001-10-07,4,29.072,NYG,,WAS,W 23-9,,,,,,,,,
33,2001,2001-10-14,5,29.079,NYG,@,STL,L 14-15,,,,,,,,,
34,2001,2001-10-22,6,29.087,NYG,,PHI,L 9-10,,,,,,,,,
35,2001,2001-10-28,7,29.093,NYG,@,WAS,L 21-35,,,,,,,,,
36,2001,2001-11-04,8,29.100,NYG,,DAL,W 27-24,,,,,,,,,
37,2001,2001-11-11,9,29.107,NYG,@,ARI,W 17-10,,,,,,,,,
38,2001,2001-11-19,10,29.115,NYG,@,MIN,L 16-28,,,,,,,,,
39,2001,2001-11-25,11,29.121,NYG,,OAK,L 10-28,,1,17,17.00,0,0.0,0,0,0
40,2001,2001-12-09,12,29.135,NYG,@,DAL,L 13-20,,,,,,,,,
41,2001,2001-12-15,13,29.141,NYG,,ARI,W 17-13,,,,,,,,,
42,2001,2001-12-23,14,29.149,NYG,,SEA,W 27-24,,,,,,,,,
43,2001,2001-12-30,15,29.156,NYG,@,PHI,L 21-24,,,,,,,,,
44,2001,2002-01-06,16,29.163,NYG,,GNB,L 25-34,,,,,,,,,
45,2002,2002-09-08,1,30.043,CAR,,BAL,W 10-7,,,,,,,,,
46,2002,2002-09-15,2,30.050,CAR,,DET,W 31-7,,,,,,,,,
47,2002,2002-09-22,3,30.057,CAR,@,MIN,W 21-14,*,,,,,,,,
48,2002,2002-09-29,4,30.064,CAR,@,GNB,L 14-17,,,,,,,,,
49,2002,2002-10-06,5,30.071,CAR,,ARI,L 13-16,*,,,,,,,,
50,2002,2002-10-13,6,30.078,CAR,@,DAL,L 13-14,*,,,,,,,,
51,2002,2002-10-20,7,30.085,CAR,@,ATL,L 0-30,*,,,,,,,,
52,2002,2002-10-27,8,30.092,CAR,,TAM,L 9-12,*,,,,,,,,
53,2002,2002-11-10,9,30.106,CAR,,NOR,L 24-34,,,,,,,,,
54,2002,2002-11-17,10,30.113,CAR,@,TAM,L 10-23,,,,,,,,,
55,2002,2002-11-24,11,30.120,CAR,,ATL,L 0-41,,,,,,,,,
56,2002,2002-12-01,12,30.127,CAR,@,CLE,W 13-6,,0,0,,0,0.0,2,13,0
57,2002,2002-12-08,13,30.134,CAR,,CIN,W 52-31,,,,,,,,,
58,2002,2002-12-15,14,30.141,CAR,@,PIT,L 14-30,,,,,,,,,
59,2002,2002-12-22,15,30.148,CAR,,CHI,W 24-14,,,,,,,,,
60,2002,2002-12-29,16,30.155,CAR,@,NOR,W 10-6,,,,,,,,,
61,2003,2003-09-07,1,31.042,ARI,@,DET,L 24-42,,,,,,,,,
62,2003,2003-09-14,2,31.049,ARI,,SEA,L 0-38,,,,,,,,,
63,2003,2003-09-21,3,31.056,ARI,,GNB,W 20-13,,,,,,,,,
64,2003,2003-09-28,4,31.063,ARI,@,STL,L 13-37,,,,,,,,,
65,2003,2003-10-05,5,31.070,ARI,@,DAL,L 7-24,,,,,,,,,
66,2003,2003-10-12,6,31.077,ARI,,BAL,L 18-26,,,,,,,,,
67,2003,2003-10-26,7,31.091,ARI,,SFO,W 16-13,,,,,,,,,
68,2003,2003-11-02,8,31.098,ARI,,CIN,W 17-14,,,,,,,,,
69,2003,2003-11-09,9,31.105,ARI,@,PIT,L 15-28,,,,,,,,,
70,2003,2003-11-16,10,31.112,ARI,@,CLE,L 6-44,,,,,,,,,
71,2003,2003-11-23,11,31.119,ARI,,STL,L 27-30,,,,,,,,,
72,2003,2003-11-30,12,31.126,ARI,@,CHI,L 3-28,,,,,,,,,
73,2003,2003-12-07,13,31.133,ARI,@,SFO,L 14-50,,,,,,,,,
74,2003,2003-12-21,15,31.147,ARI,@,SEA,L 10-28,,,,,,,,,
75,2003,2003-12-28,16,31.154,ARI,,MIN,W 18-17,,,,,,,,,
