ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks,tackles_solo,tackles_assists
1,2007,2007-10-07,5,21.292,STL,,ARI,L 31-34,,0,0,,0,0,0,0,,0,0.0%,,0.0,,
2,2007,2007-10-14,6,21.299,STL,@,BAL,L 3-22,,5,11,2.20,0,0,0,0,,0,0.0%,,0.0,,
3,2007,2007-10-21,7,21.306,STL,@,SEA,L 6-33,,4,8,2.00,0,0,0,0,,0,0.0%,,0.0,,
4,2007,2007-11-11,9,21.327,STL,@,NOR,W 37-29,,7,53,7.57,0,2,1,0,0.00,0,50.0%,0.00,0.0,,
5,2007,2007-11-18,10,21.334,STL,@,SFO,W 13-9,,3,-2,-0.67,0,0,0,0,,0,0.0%,,0.0,,
6,2007,2007-11-25,11,21.341,STL,,SEA,L 19-24,,5,11,2.20,0,0,0,0,,0,0.0%,,0.0,,
7,2007,2007-12-02,12,21.348,STL,,ATL,W 28-16,,4,11,2.75,0,1,1,4,4.00,0,100.0%,4.00,0.0,,
8,2007,2007-12-09,13,21.355,STL,@,CIN,L 10-19,,2,11,5.50,0,1,1,11,11.00,0,100.0%,11.00,0.0,,
9,2007,2007-12-16,14,21.362,STL,,GNB,L 14-33,,6,31,5.17,0,5,0,0,,0,0.0%,0.00,0.0,,
10,2007,2007-12-20,15,22.001,STL,,PIT,L 24-41,,2,5,2.50,0,0,0,0,,0,0.0%,,0.0,,
11,2007,2007-12-30,16,22.011,STL,@,ARI,L 19-48,,0,0,,0,,0,0,,0,0.0%,,0.0,,
12,2008,2008-09-07,1,22.263,STL,@,PHI,L 3-38,,,,,,,,,,,0.0%,,,,
13,2008,2008-09-14,2,22.270,STL,,NYG,L 13-41,,1,6,6.00,0,2,1,-2,-2.00,0,50.0%,-1.00,0.0,0,0
14,2008,2008-09-21,3,22.277,STL,@,SEA,L 13-37,,,,,,,,,,,0.0%,,,,
15,2008,2008-10-26,7,22.312,STL,@,NWE,L 16-23,*,19,83,4.37,0,4,3,25,8.33,0,75.0%,6.25,0.0,0,0
16,2008,2008-11-02,8,22.319,STL,,ARI,L 13-34,*,10,12,1.20,0,4,4,15,3.75,0,100.0%,3.75,0.0,1,0
17,2008,2008-11-09,9,22.326,STL,@,NYJ,L 3-47,*,13,28,2.15,0,2,2,38,19.00,0,100.0%,19.00,0.0,1,0
18,2008,2008-11-16,10,22.333,STL,@,SFO,L 16-35,*,14,95,6.79,0,5,3,4,1.33,0,60.0%,0.80,0.0,1,0
19,2008,2008-11-23,11,22.340,STL,,CHI,L 3-27,*,9,8,0.89,0,4,3,11,3.67,0,75.0%,2.75,0.0,0,0
20,2008,2008-11-30,12,22.347,STL,,MIA,L 12-16,,6,25,4.17,0,2,0,0,,0,0.0%,0.00,0.0,0,0
21,2008,2008-12-07,13,22.354,STL,@,ARI,L 10-34,,5,27,5.40,0,3,2,41,20.50,0,66.7%,13.67,0.0,0,0
22,2008,2008-12-14,14,22.361,STL,,SEA,L 20-23,,,,,,,,,,,0.0%,,,,
23,2008,2008-12-28,16,23.009,STL,@,ATL,L 27-31,,2,12,6.00,0,1,0,0,,0,0.0%,0.00,0.0,0,0
