ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1970,1970-09-19,1,22.151,CHI,@,NYG,W 24-16,0,0,,0,0,0,,0,1,2,2.00,0
2,1970,1970-09-27,2,22.159,CHI,,PHI,W 20-16,1,34,34.00,0,0,0,,0,1,3,3.00,0
3,1970,1970-10-05,3,22.167,CHI,@,DET,L 14-28,1,8,8.00,0,0,0,,0,3,11,3.67,0
4,1970,1970-10-11,4,22.173,CHI,,MIN,L 0-24,1,5,5.00,0,0,0,,0,2,17,8.50,0
5,1970,1970-10-18,5,22.180,CHI,,SDG,L 7-20,0,0,,0,0,0,,0,3,18,6.00,0
6,1970,1970-10-25,6,22.187,CHI,,DET,L 10-16,0,0,,0,0,0,,0,2,29,14.50,0
7,1970,1970-12-13,13,22.236,CHI,,GNB,W 35-17,0,0,,0,0,0,,0,2,3,1.50,0
8,1971,1971-09-19,1,23.151,HOU,@,CLE,L 0-31,0,0,,0,2,57,28.50,0,1,5,5.00,0
9,1971,1971-09-26,2,23.158,HOU,,KAN,L 16-20,0,0,,0,3,106,35.33,0,0,0,,0
10,1971,1971-10-03,3,23.165,HOU,,NOR,T 13-13,0,0,,0,2,36,18.00,0,0,0,,0
11,1971,1971-10-10,4,23.172,HOU,@,WAS,L 13-22,0,0,,0,1,7,7.00,0,0,0,,0
12,1971,1971-10-17,5,23.179,HOU,,DET,L 7-31,0,0,,0,5,119,23.80,0,0,0,,0
13,1971,1971-10-24,6,23.186,HOU,@,PIT,L 16-23,0,0,,0,2,50,25.00,0,0,0,,0
14,1971,1971-10-31,7,23.193,HOU,,CIN,W 10-6,0,0,,0,0,0,,0,4,22,5.50,0
15,1971,1971-11-07,8,23.200,HOU,@,NWE,L 20-28,0,0,,0,2,51,25.50,0,2,8,4.00,0
16,1971,1971-11-14,9,23.207,HOU,@,OAK,L 21-41,0,0,,0,2,40,20.00,0,1,30,30.00,0
17,1971,1971-11-21,10,23.214,HOU,@,CIN,L 13-28,0,0,,0,0,0,,0,1,0,0.00,0
18,1971,1971-11-28,11,23.221,HOU,,CLE,L 24-37,0,0,,0,6,157,26.17,0,1,3,3.00,0
19,1971,1971-12-05,12,23.228,HOU,,PIT,W 29-3,0,0,,0,1,29,29.00,0,1,8,8.00,0
20,1971,1971-12-12,13,23.235,HOU,@,BUF,W 20-14,0,0,,0,0,0,,0,2,31,15.50,0
21,1971,1971-12-19,14,23.242,HOU,,SDG,W 49-33,0,0,,0,6,182,30.33,0,1,0,0.00,0
22,1972,1972-10-01,3,24.163,HOU,,NYJ,W 26-20,,,,,,,,,,,,
23,1972,1972-10-09,4,24.171,HOU,,OAK,L 0-34,0,0,,0,2,41,20.50,0,0,0,,0
24,1972,1972-10-22,6,24.184,BUF,@,MIA,L 23-24,0,0,,0,2,50,25.00,0,0,0,,0
25,1972,1972-10-29,7,24.191,BUF,,PIT,L 21-38,0,0,,0,3,63,21.00,0,0,0,,0
26,1972,1972-11-05,8,24.198,BUF,,MIA,L 16-30,0,0,,0,2,53,26.50,0,1,13,13.00,0
27,1972,1972-11-19,10,24.212,BUF,@,NWE,W 27-24,0,0,,0,3,97,32.33,0,1,1,1.00,0
28,1972,1972-11-26,11,24.219,BUF,@,CLE,L 10-27,0,0,,0,1,26,26.00,0,0,0,,0
29,1972,1972-12-03,12,24.226,BUF,@,BAL,L 7-35,0,0,,0,5,126,25.20,0,3,24,8.00,0
30,1972,1972-12-10,13,24.233,BUF,,DET,T 21-21,0,0,,0,0,0,,0,1,0,0.00,0
31,1972,1972-12-17,14,24.240,BUF,@,WAS,W 24-17,0,0,,0,0,0,,0,1,-3,-3.00,0
