ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2007,2007-10-07,5,24.282,STL,,ARI,L 31-34,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,,,,,,1,20,20.00,0,0,0,,0
2,2007,2007-10-14,6,24.289,STL,@,BAL,L 3-22,*,10,5,74,14.80,0,50.0%,7.40,2,-4,-2.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0
3,2007,2007-10-21,7,24.296,STL,@,SEA,L 6-33,,4,2,16,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0
4,2007,2007-12-09,13,24.345,STL,@,CIN,L 10-19,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,6,110,18.33,0,1,0,0.00,0
5,2008,2008-09-14,2,25.260,KAN,,OAK,L 8-23,,1,0,0,,0,0.0%,0.00,1,2,2.00,0,1,1,100.00,5,0,0,87.5,1,1,5.00,5.00,0,0,,0,0,0,,0
6,2008,2008-09-21,3,25.267,KAN,@,ATL,L 14-38,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0
