ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks
1,2000,2000-10-30,9,23.131,WAS,,TEN,L 21-27,,
2,2000,2000-12-24,16,23.186,WAS,,ARI,W 20-3,,
3,2001,2001-09-23,2,24.094,SDG,@,DAL,W 32-21,,
4,2001,2001-09-30,3,24.101,SDG,,CIN,W 28-14,,
5,2001,2001-10-21,6,24.122,SDG,,DEN,W 27-10,,
6,2001,2001-11-04,8,24.136,SDG,,KAN,L 20-25,,
7,2001,2001-11-11,9,24.143,SDG,@,DEN,L 16-26,,
8,2001,2001-11-18,10,24.150,SDG,@,OAK,L 24-34,,
9,2001,2001-11-25,11,24.157,SDG,,ARI,L 17-20,,
10,2001,2001-12-02,12,24.164,SDG,@,SEA,L 10-13,,
11,2001,2001-12-09,13,24.171,SDG,@,PHI,L 14-24,,1.0
12,2001,2001-12-15,14,24.177,SDG,,OAK,L 6-13,,
13,2001,2001-12-23,15,24.185,SDG,@,KAN,L 17-20,,
14,2001,2001-12-30,16,24.192,SDG,,SEA,L 22-25,*,
15,2002,2002-09-08,1,25.079,MIA,,DET,W 49-21,,
16,2002,2002-09-22,3,25.093,MIA,,NYJ,W 30-3,,
