ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1981,1981-09-06,1,22.137,NYJ,@,BUF,L 0-31,3,16,5.33,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0
2,1981,1981-09-13,2,22.144,NYJ,,CIN,L 30-31,13,78,6.00,0,,2,23,11.50,0,,,0,0,,0,0,0,,,,,,0,0
3,1981,1981-09-20,3,22.151,NYJ,@,PIT,L 10-38,7,43,6.14,0,,4,59,14.75,1,,,0,0,,0,0,0,,,,,,1,6
4,1981,1981-09-27,4,22.158,NYJ,,HOU,W 33-17,17,70,4.12,0,,2,10,5.00,0,,,0,0,,0,0,0,,,,,,0,0
5,1981,1981-10-04,5,22.165,NYJ,@,MIA,T 28-28,12,79,6.58,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0
6,1981,1981-11-15,11,22.207,NYJ,@,NWE,W 17-6,13,50,3.85,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0
7,1981,1981-11-22,12,22.214,NYJ,,MIA,W 16-15,19,75,3.95,0,,3,30,10.00,0,,,0,0,,0,0,0,,,,,,0,0
8,1981,1981-11-29,13,22.221,NYJ,,BAL,W 25-0,24,93,3.88,2,,2,16,8.00,0,,,0,0,,0,0,0,,,,,,2,12
9,1981,1981-12-06,14,22.228,NYJ,@,SEA,L 23-27,7,28,4.00,0,,3,23,7.67,0,,,0,0,,0,0,0,,,,,,0,0
10,1981,1981-12-12,15,22.234,NYJ,@,CLE,W 14-13,4,21,5.25,0,,1,1,1.00,0,,,0,0,,0,0,0,,,,,,0,0
11,1981,1981-12-20,16,22.242,NYJ,,GNB,W 28-3,18,70,3.89,0,,1,9,9.00,0,,,0,0,,0,0,0,,,,,,0,0
12,1982,1982-09-12,1,23.143,NYJ,,MIA,L 28-45,13,116,8.92,0,,3,34,11.33,0,,,0,0,,0,0,0,,,,,,0,0
13,1982,1982-09-19,2,23.150,NYJ,@,NWE,W 31-7,19,106,5.58,1,,4,31,7.75,0,,,0,0,,0,0,0,,,,,,1,6
14,1982,1982-11-21,3,23.213,NYJ,,BAL,W 37-0,22,123,5.59,1,,1,32,32.00,1,,,0,0,,0,0,0,,,,,,2,12
15,1982,1982-11-28,4,23.220,NYJ,,GNB,W 15-13,16,85,5.31,0,,3,21,7.00,0,,,0,0,,0,0,0,,,,,,0,0
16,1982,1982-12-06,5,23.228,NYJ,@,DET,W 28-13,16,49,3.06,0,,2,20,10.00,0,,,0,0,,0,0,0,,,,,,0,0
17,1982,1982-12-12,6,23.234,NYJ,,TAM,W 32-17,14,53,3.79,2,,3,49,16.33,0,,,0,0,,0,0,0,,,,,,2,12
18,1982,1982-12-18,7,23.240,NYJ,@,MIA,L 19-20,21,89,4.24,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0
