ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,1968,1968-09-15,1,22.241,NYG,@,PIT,W 34-20,1,16,16.00,0,0,0,0
2,1968,1968-09-22,2,22.248,NYG,@,PHI,W 34-25,1,16,16.00,0,0,0,0
3,1968,1968-10-13,5,22.269,NYG,@,ATL,L 21-24,1,16,16.00,0,0,0,0
4,1968,1968-10-27,7,22.283,NYG,@,WAS,W 13-10,1,20,20.00,0,0,0,0
5,1968,1968-11-03,8,22.290,NYG,,BAL,L 0-26,2,32,16.00,0,0,0,0
6,1968,1968-11-10,9,22.297,NYG,@,DAL,W 27-21,1,11,11.00,0,0,0,0
7,1969,1969-09-21,1,23.246,NYG,,MIN,W 24-23,1,28,28.00,0,0,0,0
8,1969,1969-09-28,2,23.253,NYG,@,DET,L 0-24,3,57,19.00,0,0,0,0
9,1969,1969-10-12,4,23.267,NYG,,PIT,W 10-7,1,25,25.00,0,0,0,0
10,1969,1969-10-19,5,23.274,NYG,@,WAS,L 14-20,1,19,19.00,0,0,0,0
11,1969,1969-10-27,6,23.282,NYG,@,DAL,L 3-25,1,7,7.00,0,0,0,0
12,1969,1969-11-02,7,23.288,NYG,,PHI,L 20-23,1,20,20.00,0,0,0,0
13,1969,1969-11-23,10,23.309,NYG,@,CLE,L 17-28,0,0,,0,1,5,0
