ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1984,1984-09-02,1,23.011,BUF,,NWE,L 17-21,0,0,,0,0,0,,0,0,0,,,,,,0,0,3,134,44.67,0
2,1984,1984-09-09,2,23.018,BUF,@,STL,L 7-37,0,0,,0,0,0,,0,0,0,,,,,,0,0,6,215,35.83,0
3,1984,1984-09-17,3,23.026,BUF,,MIA,L 17-21,0,0,,0,0,0,,0,0,0,,,,,,0,0,4,160,40.00,0
4,1984,1984-09-23,4,23.032,BUF,,NYJ,L 26-28,0,0,,0,0,0,,0,0,0,,,,,,0,0,4,160,40.00,0
5,1984,1984-09-30,5,23.039,BUF,@,IND,L 17-31,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,250,50.00,0
6,1984,1984-10-07,6,23.046,BUF,,PHI,L 17-27,0,0,,0,0,0,,0,0,0,,,,,,0,0,4,195,48.75,0
7,1984,1984-10-14,7,23.053,BUF,@,SEA,L 28-31,0,0,,0,0,0,,0,0,0,,,,,,0,0,2,69,34.50,2
8,1984,1984-10-21,8,23.060,BUF,,DEN,L 7-37,0,0,,0,0,0,,0,0,0,,,,,,0,0,9,403,44.78,0
9,1984,1984-10-28,9,23.067,BUF,@,MIA,L 7-38,0,0,,0,0,0,,0,0,0,,,,,,0,0,6,259,43.17,0
10,1984,1984-11-04,10,23.074,BUF,,CLE,L 10-13,0,0,,0,0,0,,0,0,0,,,,,,0,0,4,162,40.50,0
11,1984,1984-11-11,11,23.081,BUF,@,NWE,L 10-38,0,0,,0,0,0,,0,0,0,,,,,,0,0,6,277,46.17,0
12,1984,1984-11-18,12,23.088,BUF,,DAL,W 14-3,0,0,,0,0,0,,0,0,0,,,,,,0,0,8,348,43.50,0
13,1984,1984-11-25,13,23.095,BUF,@,WAS,L 14-41,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,220,44.00,0
14,1984,1984-12-02,14,23.102,BUF,,IND,W 21-15,0,0,,0,0,0,,0,0,0,,,,,,0,0,7,270,38.57,0
15,1984,1984-12-08,15,23.108,BUF,@,NYJ,L 17-21,0,0,,0,0,0,,0,0,0,,,,,,0,0,9,328,36.44,0
16,1984,1984-12-16,16,23.116,BUF,@,CIN,L 21-52,0,0,,0,0,0,,0,0,0,,,,,,0,0,6,246,41.00,0
17,1985,1985-09-08,1,24.017,BUF,,SDG,L 9-14,0,0,,0,0,0,,0,0,0,,0,,,,0,0,5,199,39.80,0
18,1985,1985-09-15,2,24.024,BUF,@,NYJ,L 3-42,0,0,,0,0,0,,0,0,0,,0,,,,0,0,5,203,40.60,0
19,1985,1985-09-22,3,24.031,BUF,,NWE,L 14-17,0,0,,0,0,0,,0,0,0,,0,,,,0,0,9,420,46.67,0
20,1985,1985-09-29,4,24.038,BUF,,MIN,L 20-27,0,0,,0,0,0,,0,0,0,,0,,,,0,0,5,204,40.80,0
21,1985,1985-10-06,5,24.045,BUF,@,IND,L 17-49,0,0,,0,0,0,,0,0,0,,0,,,,0,0,5,188,37.60,0
22,1985,1985-10-13,6,24.052,BUF,@,NWE,L 3-14,0,0,,0,0,0,,0,0,0,,0,,,,0,0,8,281,35.13,0
23,1985,1985-10-20,7,24.059,BUF,,IND,W 21-9,0,0,,0,0,0,,0,0,0,,0,,,,0,0,8,353,44.13,0
24,1985,1985-10-27,8,24.066,BUF,@,PHI,L 17-21,0,0,,0,0,0,,0,0,0,,0,,,,0,0,5,228,45.60,0
25,1985,1985-11-03,9,24.073,BUF,,CIN,L 17-23,0,0,,0,0,0,,0,0,0,,0,,,,0,0,4,166,41.50,0
26,1985,1985-11-10,10,24.080,BUF,,HOU,W 20-0,0,0,,0,0,0,,0,0,0,,0,,,,0,0,7,288,41.14,0
27,1985,1985-11-17,11,24.087,BUF,@,CLE,L 7-17,0,0,,0,0,0,,0,0,0,,0,,,,0,0,7,320,45.71,0
28,1985,1985-11-24,12,24.094,BUF,,MIA,L 14-23,0,0,,0,0,0,,0,0,0,,0,,,,0,0,7,278,39.71,0
29,1985,1985-12-01,13,24.101,BUF,@,SDG,L 7-40,0,0,,0,0,0,,0,0,0,,0,,,,0,0,4,172,43.00,0
30,1985,1985-12-08,14,24.108,BUF,,NYJ,L 7-27,0,0,,0,0,0,,0,0,0,,0,,,,0,0,5,192,38.40,0
31,1985,1985-12-15,15,24.115,BUF,@,PIT,L 24-30,0,0,,0,0,0,,0,0,0,,0,,,,0,0,4,147,36.75,0
32,1985,1985-12-22,16,24.122,BUF,@,MIA,L 0-28,0,0,,0,0,0,,0,0,0,,0,,,,0,0,4,179,44.75,0
33,1986,1986-09-07,1,25.016,BUF,,NYJ,L 24-28,0,0,,0,0,0,,0,0,0,,,,,,0,0,7,285,40.71,0
34,1986,1986-09-14,2,25.023,BUF,@,CIN,L 33-36,1,0,0.00,0,0,0,,0,0,0,,,,,,0,0,4,159,39.75,0
35,1986,1986-09-21,3,25.030,BUF,,STL,W 17-10,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,245,49.00,0
36,1986,1986-09-28,4,25.037,BUF,,KAN,L 17-20,0,0,,0,0,0,,0,0,0,,,,,,0,0,2,85,42.50,0
37,1986,1986-10-05,5,25.044,BUF,@,NYJ,L 13-14,0,0,,0,0,0,,0,0,0,,,,,,0,0,7,294,42.00,0
38,1986,1986-10-12,6,25.051,BUF,@,MIA,L 14-27,0,0,,0,0,0,,0,0,0,,,,,,0,0,1,34,34.00,0
39,1986,1986-10-19,7,25.058,BUF,,IND,W 24-13,0,0,,0,0,0,,0,0,0,,,,,,0,0,2,46,23.00,0
40,1986,1986-10-26,8,25.065,BUF,,NWE,L 3-23,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,208,41.60,0
41,1986,1986-11-02,9,25.072,BUF,@,TAM,L 28-34,0,0,,0,0,0,,0,0,0,,,,,,0,0,4,143,35.75,0
