ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2004,2004-09-11,1,23.246,TEN,@,MIA,W 17-7,,,,,,,,,,,,,,,
2,2004,2004-09-19,2,23.254,TEN,,IND,L 17-31,,5,81,16.20,0,0,0,,0,0.0,,,0,0,0
3,2004,2004-09-26,3,23.261,TEN,,JAX,L 12-15,,,,,,,,,,,,,,,
4,2004,2004-10-03,4,23.268,TEN,@,SDG,L 17-38,,,,,,,,,,,,,,,
5,2004,2004-10-11,5,23.276,TEN,@,GNB,W 48-27,,1,3,3.00,0,0,0,,0,0.0,,,0,0,0
6,2004,2004-10-17,6,23.282,TEN,,HOU,L 10-20,,,,,,,,,,,,,,,
7,2004,2004-10-24,7,23.289,TEN,@,MIN,L 3-20,,2,53,26.50,0,0,0,,0,0.0,,,0,0,0
8,2004,2004-10-31,8,23.296,TEN,,CIN,W 27-20,,4,96,24.00,0,3,3,1.00,0,0.0,,,0,0,0
9,2004,2004-11-14,9,23.310,TEN,,CHI,L 17-19,,2,51,25.50,0,4,25,6.25,0,0.0,,,0,0,0
10,2004,2004-11-21,10,23.317,TEN,@,JAX,W 18-15,,0,0,,0,1,8,8.00,0,0.0,,,0,0,0
11,2004,2004-11-28,11,23.324,TEN,@,HOU,L 21-31,,2,38,19.00,0,0,0,,0,0.0,,,0,0,0
12,2004,2004-12-05,12,23.331,TEN,@,IND,L 24-51,*,1,20,20.00,0,0,0,,0,0.0,,,0,0,0
13,2004,2004-12-13,13,23.339,TEN,,KAN,L 38-49,*,0,0,,0,1,0,0.00,0,0.0,,,1,0,0
14,2004,2004-12-19,14,23.345,TEN,@,OAK,L 35-40,*,,,,,0,18,,0,,,,,,
15,2004,2004-12-25,15,23.351,TEN,,DEN,L 16-37,*,,,,,,,,,,,,,,
16,2004,2005-01-02,16,23.359,TEN,,DET,W 24-19,,,,,,,,,,,,,,,
17,2005,2005-09-11,1,24.245,TEN,@,PIT,L 7-34,,,,,,,,,,,,,,,
18,2005,2005-09-18,2,24.252,TEN,,BAL,W 25-10,,,,,,,,,,,,,,,
19,2005,2005-09-25,3,24.259,TEN,@,STL,L 27-31,,,,,,,,,,,,,,,
20,2005,2005-10-02,4,24.266,TEN,,IND,L 10-31,,,,,,,,,,,,,,,
21,2005,2005-10-09,5,24.273,TEN,@,HOU,W 34-20,,,,,,,,,,,,,,,
22,2005,2005-10-16,6,24.280,TEN,,CIN,L 23-31,,,,,,,,,,,,,,,
23,2005,2005-10-23,7,24.287,TEN,@,ARI,L 10-20,,,,,,,,,,,,,,,
24,2005,2005-10-30,8,24.294,TEN,,OAK,L 25-34,,0,0,,0,0,0,,0,0.5,,,0,0,0
25,2005,2005-11-06,9,24.301,TEN,@,CLE,L 14-20,,,,,,,,,,,,,,,
26,2005,2005-11-20,10,24.315,TEN,,JAX,L 28-31,*,,,,,,,,,,,,,,
27,2005,2005-11-27,11,24.322,TEN,,SFO,W 33-22,,,,,,,,,,,,,,,
28,2005,2005-12-04,12,24.329,TEN,@,IND,L 3-35,,,,,,,,,,,,,,,
29,2005,2005-12-11,13,24.336,TEN,,HOU,W 13-10,,,,,,,,,,,,,,,
30,2005,2005-12-18,14,24.343,TEN,,SEA,L 24-28,,,,,,,,,,,,,,,
31,2005,2005-12-24,15,24.349,TEN,@,MIA,L 10-24,,,,,,,,,,,,,,,
32,2005,2006-01-01,16,24.357,TEN,@,JAX,L 13-40,,,,,,,,,,,,,,,
33,2008,2008-11-09,9,27.305,OAK,,CAR,L 6-17,,,,,,,,,,,,,,,
