ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1965,1965-09-26,2,21.343,NYG,@,PHI,W 16-14,,,,,1,0.0,0,0
2,1965,1965-10-03,3,21.350,NYG,@,PIT,W 23-13,,,,1,4,25.0,0,3
3,1965,1965-10-09,4,21.356,NYG,@,MIN,L 14-40,,,,,1,0.0,0,0
4,1965,1965-10-17,5,21.364,NYG,,PHI,W 35-27,,,,,1,0.0,0,0
5,1965,1965-10-24,6,22.006,NYG,,CLE,L 14-38,2,2,100.0,,2,0.0,0,2
6,1965,1965-10-31,7,22.013,NYG,,STL,W 14-10,2,2,100.0,,2,0.0,0,2
7,1965,1965-11-07,8,22.020,NYG,,WAS,L 7-23,1,1,100.0,,2,0.0,0,1
8,1965,1965-11-14,9,22.027,NYG,@,CLE,L 21-34,3,3,100.0,,,,0,3
9,1965,1965-11-21,10,22.034,NYG,@,STL,W 28-15,4,4,100.0,,1,0.0,0,4
10,1965,1965-11-28,11,22.041,NYG,,CHI,L 14-35,2,2,100.0,,,,0,2
11,1965,1965-12-05,12,22.048,NYG,,PIT,W 35-10,5,5,100.0,,1,0.0,0,5
12,1965,1965-12-12,13,22.055,NYG,@,WAS,W 27-10,2,3,66.7,,,,0,2
