ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2007,2007-09-09,1,23.162,GNB,,PHI,W 16-13,*,8,4,29,7.25,0,50.0%,3.63,,0,0,0.0,,
2,2007,2007-09-16,2,23.169,GNB,@,NYG,W 35-13,*,4,4,75,18.75,0,100.0%,18.75,,0,0,0.0,,
3,2007,2007-09-23,3,23.176,GNB,,SDG,W 31-24,,9,6,79,13.17,0,66.7%,8.78,,0,0,0.0,,
4,2007,2007-09-30,4,23.183,GNB,@,MIN,W 23-16,*,7,4,49,12.25,1,57.1%,7.00,,1,6,0.0,,
5,2007,2007-10-07,5,23.190,GNB,,CHI,L 20-27,,8,5,61,12.20,0,62.5%,7.63,,0,0,0.0,,
6,2007,2007-10-14,6,23.197,GNB,,WAS,W 17-14,,3,0,0,,0,0.0%,0.00,,0,0,0.0,,
7,2007,2007-10-29,7,23.212,GNB,@,DEN,W 19-13,,4,3,107,35.67,1,75.0%,26.75,,1,6,0.0,,
8,2007,2007-11-04,8,23.218,GNB,@,KAN,W 33-22,*,4,3,32,10.67,0,75.0%,8.00,,0,0,0.0,,
9,2007,2007-11-11,9,23.225,GNB,,MIN,W 34-0,*,5,3,62,20.67,0,60.0%,12.40,,0,0,0.0,,
10,2007,2007-11-18,10,23.232,GNB,,CAR,W 31-17,*,4,3,25,8.33,0,75.0%,6.25,,0,0,0.0,,
11,2007,2007-11-22,11,23.236,GNB,@,DET,W 37-26,,7,5,75,15.00,0,71.4%,10.71,,0,0,0.0,,
12,2007,2007-11-29,12,23.243,GNB,@,DAL,L 27-37,*,7,3,39,13.00,0,42.9%,5.57,,0,0,0.0,,
13,2007,2007-12-09,13,23.253,GNB,,OAK,W 38-7,,,0,0,,0,0.0%,,,0,0,0.0,,
14,2007,2007-12-16,14,23.260,GNB,@,STL,W 33-14,*,4,2,29,14.50,0,50.0%,7.25,,0,0,0.0,,
15,2007,2007-12-23,15,23.267,GNB,@,CHI,L 7-35,,2,0,0,,0,0.0%,0.00,,0,0,0.0,,
16,2007,2007-12-30,16,23.274,GNB,,DET,W 34-13,*,4,2,14,7.00,0,50.0%,3.50,,0,0,0.0,,
17,2008,2008-09-14,2,24.167,GNB,@,DET,W 48-25,*,8,4,29,7.25,1,50.0%,3.63,,1,6,0.0,0,0
18,2008,2008-09-21,3,24.174,GNB,,DAL,L 16-27,*,2,,,,,0.0%,,,,,,,
19,2008,2008-10-05,5,24.188,GNB,,ATL,L 24-27,,1,1,9,9.00,0,100.0%,9.00,,0,0,0.0,0,0
20,2008,2008-11-09,9,24.223,GNB,@,MIN,L 27-28,,1,1,5,5.00,0,100.0%,5.00,,0,0,0.0,0,0
21,2008,2008-11-16,10,24.230,GNB,,CHI,W 37-3,,2,2,26,13.00,0,100.0%,13.00,,0,0,0.0,0,0
22,2008,2008-11-30,12,24.244,GNB,,CAR,L 31-35,,3,2,12,6.00,0,66.7%,4.00,,0,0,0.0,0,0
23,2008,2008-12-07,13,24.251,GNB,,HOU,L 21-24,,3,2,20,10.00,0,66.7%,6.67,,0,0,0.0,1,0
24,2008,2008-12-14,14,24.258,GNB,@,JAX,L 16-20,,5,4,132,33.00,0,80.0%,26.40,,0,0,0.0,0,0
25,2008,2008-12-22,15,24.266,GNB,@,CHI,L 17-20,,2,2,27,13.50,0,100.0%,13.50,,0,0,0.0,0,0
26,2008,2008-12-28,16,24.272,GNB,,DET,W 31-21,,3,2,14,7.00,0,66.7%,4.67,,0,0,0.0,0,0
27,2009,2009-09-13,1,25.166,GNB,,CHI,W 21-15,,1,,,,,0.0%,,,,,,,
28,2009,2009-09-20,2,25.173,GNB,,CIN,L 24-31,,4,2,24,12.00,0,50.0%,6.00,,0,0,0.0,0,0
29,2009,2009-09-27,3,25.180,GNB,@,STL,W 36-17,,2,,,,,0.0%,,,,,,,
30,2009,2009-10-05,4,25.188,GNB,@,MIN,L 23-30,,2,1,34,34.00,0,50.0%,17.00,,0,0,0.0,0,0
31,2009,2009-10-18,5,25.201,GNB,,DET,W 26-0,,3,2,55,27.50,1,66.7%,18.33,,1,6,0.0,1,0
32,2009,2009-10-25,6,25.208,GNB,@,CLE,W 31-3,,1,1,5,5.00,1,100.0%,5.00,,1,6,0.0,0,0
33,2009,2009-11-01,7,25.215,GNB,,MIN,L 26-38,*,5,1,42,42.00,0,20.0%,8.40,,0,0,0.0,0,0
34,2009,2009-11-08,8,25.222,GNB,@,TAM,L 28-38,*,6,4,103,25.75,1,66.7%,17.17,,1,6,0.0,0,0
35,2009,2009-11-15,9,25.229,GNB,,DAL,W 17-7,,6,3,17,5.67,0,50.0%,2.83,,0,0,0.0,0,0
36,2009,2009-11-22,10,25.236,GNB,,SFO,W 30-24,,5,4,22,5.50,0,80.0%,4.40,,0,0,0.0,0,0
37,2009,2009-11-26,11,25.240,GNB,@,DET,W 34-12,,4,4,35,8.75,1,100.0%,8.75,,1,6,0.0,0,0
