ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td
1,1984,1984-09-30,5,24.170,RAM,,NYG,W 33-12,1,6,6.00,0
2,1984,1984-10-07,6,24.177,RAM,,ATL,L 28-30,0,0,,0
3,1984,1984-10-14,7,24.184,RAM,@,NOR,W 28-10,0,0,,0
4,1984,1984-10-22,8,24.192,RAM,@,ATL,W 24-10,0,0,,0
5,1984,1984-10-28,9,24.198,RAM,,SFO,L 0-33,0,0,,0
6,1984,1984-11-04,10,24.205,RAM,@,STL,W 16-13,0,0,,0
7,1984,1984-11-11,11,24.212,RAM,,CHI,W 29-13,0,0,,0
8,1984,1984-11-18,12,24.219,RAM,@,GNB,L 6-31,0,0,,0
9,1985,1985-09-08,1,25.148,SDG,@,BUF,W 14-9,0,0,,0
10,1985,1985-09-15,2,25.155,SDG,,SEA,L 35-49,0,0,,0
11,1985,1985-09-22,3,25.162,SDG,@,CIN,W 44-41,0,0,,0
12,1985,1985-09-29,4,25.169,SDG,,CLE,L 7-21,1,12,12.00,0
13,1985,1985-10-06,5,25.176,SDG,@,SEA,L 21-26,0,0,,0
14,1985,1985-10-13,6,25.183,SDG,,KAN,W 31-20,0,0,,0
15,1985,1985-10-20,7,25.190,SDG,@,MIN,L 17-21,0,0,,0
16,1985,1985-10-28,8,25.198,SDG,@,RAI,L 21-34,0,0,,0
17,1985,1985-11-03,9,25.204,SDG,,DEN,W 30-10,0,0,,0
