ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks
1,2003,2003-10-26,7,24.011,JAX,,TEN,L 17-30,,,,,,
2,2003,2003-11-02,8,24.018,JAX,@,BAL,L 17-24,,,,,,
3,2003,2003-11-09,9,24.025,JAX,,IND,W 28-23,,,,,,
4,2003,2003-11-16,10,24.032,JAX,@,TEN,L 3-10,,,,,,
5,2003,2003-11-23,11,24.039,JAX,@,NYJ,L 10-13,,,,,,
6,2003,2003-11-30,12,24.046,JAX,,TAM,W 17-10,,,,,,
7,2003,2003-12-21,15,24.067,JAX,,NOR,W 20-19,,,,,,
8,2003,2003-12-28,16,24.074,JAX,@,ATL,L 14-21,,,,,,
9,2005,2005-09-11,1,25.331,TAM,@,MIN,W 24-13,,,,,,
10,2005,2005-09-18,2,25.338,TAM,,BUF,W 19-3,,,,,,
11,2005,2005-09-25,3,25.345,TAM,@,GNB,W 17-16,,,,,,
12,2005,2005-10-02,4,25.352,TAM,,DET,W 17-13,,,,,,
13,2005,2005-10-09,5,25.359,TAM,@,NYJ,L 12-14,,,,,,
14,2005,2005-10-16,6,26.001,TAM,,MIA,W 27-13,,,,,,
15,2005,2005-10-30,7,26.015,TAM,@,SFO,L 10-15,,,,,,
16,2005,2005-11-06,8,26.022,TAM,,CAR,L 14-34,,,,,,
17,2005,2005-11-13,9,26.029,TAM,,WAS,W 36-35,,,,,,
18,2005,2005-11-20,10,26.036,TAM,@,ATL,W 30-27,,,,,,
19,2005,2005-11-27,11,26.043,TAM,,CHI,L 10-13,,,,,,
20,2005,2005-12-04,12,26.050,TAM,@,NOR,W 10-3,,,,,,
21,2005,2006-01-01,16,26.078,TAM,,NOR,W 27-13,,,,,,
22,2006,2006-09-10,1,26.330,TAM,,BAL,L 0-27,,,,,,
23,2006,2006-09-17,2,26.337,TAM,@,ATL,L 3-14,,,,,,
24,2006,2006-09-24,3,26.344,TAM,,CAR,L 24-26,,,,,,
25,2006,2006-10-08,4,26.358,TAM,@,NOR,L 21-24,,,,,,
26,2006,2006-10-15,5,27.000,TAM,,CIN,W 14-13,,,,,,
27,2006,2006-10-22,6,27.007,TAM,,PHI,W 23-21,,,,,,
28,2006,2006-10-29,7,27.014,TAM,@,NYG,L 3-17,,1,0,0.00,0,0.0
29,2006,2006-11-05,8,27.021,TAM,,NOR,L 14-31,,,,,,
30,2006,2006-11-13,9,27.029,TAM,@,CAR,L 10-24,,,,,,
31,2006,2006-11-19,10,27.035,TAM,,WAS,W 20-17,,,,,,
32,2006,2006-11-23,11,27.039,TAM,@,DAL,L 10-38,,,,,,
33,2006,2006-12-03,12,27.049,TAM,@,PIT,L 3-20,,,,,,
34,2006,2006-12-10,13,27.056,TAM,,ATL,L 6-17,,,,,,
35,2006,2006-12-17,14,27.063,TAM,@,CHI,L 31-34,,,,,,
36,2006,2006-12-24,15,27.070,TAM,@,CLE,W 22-7,,,,,,
37,2006,2006-12-31,16,27.077,TAM,,SEA,L 7-23,,,,,,
38,2007,2007-10-01,4,27.351,CIN,,NWE,L 13-34,,,,,,
39,2007,2007-10-14,5,27.364,CIN,@,KAN,L 20-27,,0,0,,0,1.0
40,2007,2007-10-21,6,28.006,CIN,,NYJ,W 38-31,,,,,,
41,2007,2007-10-28,7,28.013,CIN,,PIT,L 13-24,,,,,,
42,2007,2007-11-04,8,28.020,CIN,@,BUF,L 21-33,,,,,,
43,2007,2007-11-11,9,28.027,CIN,@,BAL,W 21-7,,,,,,
44,2007,2007-11-18,10,28.034,CIN,,ARI,L 27-35,,,,,,
45,2007,2007-11-25,11,28.041,CIN,,TEN,W 35-6,,,,,,
46,2007,2007-12-02,12,28.048,CIN,@,PIT,L 10-24,,,,,,
47,2007,2007-12-09,13,28.055,CIN,,STL,W 19-10,,,,,,
48,2007,2007-12-15,14,28.061,CIN,@,SFO,L 13-20,,,,,,
49,2007,2007-12-23,15,28.069,CIN,,CLE,W 19-14,,,,,,
50,2007,2007-12-30,16,28.076,CIN,@,MIA,W 38-25,,,,,,
