ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2007,2007-09-10,1,23.147,CIN,,BAL,W 27-20,*,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0.0,,
2,2007,2007-09-16,2,23.153,CIN,@,CLE,L 45-51,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0.0,,
3,2007,2007-09-23,3,23.160,CIN,@,SEA,L 21-24,,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0.0,,
4,2007,2007-10-01,4,23.168,CIN,,NWE,L 13-34,,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,,
5,2007,2007-10-14,5,23.181,CIN,@,KAN,L 20-27,*,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,,
6,2007,2007-10-21,6,23.188,CIN,,NYJ,W 38-31,,,0,0,,0,0.0%,,0,0,,0,0.0,,
7,2007,2007-10-28,7,23.195,CIN,,PIT,L 13-24,,,0,0,,0,0.0%,,0,0,,0,0.0,,
8,2007,2007-11-04,8,23.202,CIN,@,BUF,L 21-33,,3,3,24,8.00,0,100.0%,8.00,0,0,,0,0.0,,
9,2007,2007-11-11,9,23.209,CIN,@,BAL,W 21-7,*,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0.0,,
10,2007,2007-11-18,10,23.216,CIN,,ARI,L 27-35,,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,,
11,2007,2007-11-25,11,23.223,CIN,,TEN,W 35-6,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0.0,,
12,2007,2007-12-09,13,23.237,CIN,,STL,W 19-10,,,0,0,,0,0.0%,,0,0,,0,0.0,,
13,2007,2007-12-15,14,23.243,CIN,@,SFO,L 13-20,,1,1,25,25.00,0,100.0%,25.00,0,0,,0,0.0,,
14,2007,2007-12-23,15,23.251,CIN,,CLE,W 19-14,,0,0,0,,0,0.0%,,0,0,,0,0.0,,
15,2007,2007-12-30,16,23.258,CIN,@,MIA,W 38-25,,3,3,38,12.67,0,100.0%,12.67,0,0,,0,0.0,,
16,2008,2008-09-07,1,24.144,CIN,@,BAL,L 10-17,,,,,,,0.0%,,,,,,,,
17,2008,2008-09-14,2,24.151,CIN,,TEN,L 7-24,,1,,,,,0.0%,,,,,,,,
18,2008,2008-09-21,3,24.158,CIN,@,NYG,L 23-26,,2,,,,,0.0%,,,,,,,,
19,2008,2008-09-28,4,24.165,CIN,,CLE,L 12-20,,,,,,,0.0%,,,,,,,,
20,2008,2008-10-05,5,24.172,CIN,@,DAL,L 22-31,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0.0,1,0
21,2008,2008-10-12,6,24.179,CIN,@,NYJ,L 14-26,,0,,,,,0.0%,,,,,,,,
22,2008,2008-10-19,7,24.186,CIN,,PIT,L 10-38,,0,0,0,,0,0.0%,,1,18,18.00,0,0.0,0,0
23,2008,2008-10-26,8,24.193,CIN,@,HOU,L 6-35,,1,,,,,0.0%,,,,,,,,
24,2008,2008-11-02,9,24.200,CIN,,JAX,W 21-19,*,,,,,,0.0%,,,,,,,,
25,2008,2008-11-16,10,24.214,CIN,,PHI,T 13-13,*,1,,,,,0.0%,,,,,,,,
26,2008,2008-11-20,11,24.218,CIN,@,PIT,L 10-27,,1,,,,,0.0%,,,,,,,,
27,2008,2008-11-30,12,24.228,CIN,,BAL,L 3-34,*,,,,,,0.0%,,,,,,,,
28,2008,2008-12-07,13,24.235,CIN,@,IND,L 3-35,,1,,,,,0.0%,,,,,,,,
29,2008,2008-12-14,14,24.242,CIN,,WAS,W 20-13,*,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0.0,0,0
30,2008,2008-12-21,15,24.249,CIN,@,CLE,W 14-0,,,,,,,0.0%,,,,,,,,
31,2008,2008-12-28,16,24.256,CIN,,KAN,W 16-6,,1,,,,,0.0%,,,,,,,,
32,2009,2009-09-13,1,25.150,CIN,,DEN,L 7-12,*,2,1,16,16.00,0,50.0%,8.00,0,0,,0,0.0,0,0
33,2009,2009-09-20,2,25.157,CIN,@,GNB,W 31-24,*,4,2,26,13.00,0,50.0%,6.50,0,0,,0,0.0,0,0
34,2009,2009-09-27,3,25.164,CIN,,PIT,W 23-20,*,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0.0,0,0
35,2009,2009-10-04,4,25.171,CIN,@,CLE,W 23-20,*,6,4,36,9.00,0,66.7%,6.00,0,0,,0,0.0,0,0
36,2009,2009-10-11,5,25.178,CIN,@,BAL,W 17-14,*,4,,,,,0.0%,,,,,,,,
37,2009,2009-10-18,6,25.185,CIN,,HOU,L 17-28,*,6,4,32,8.00,0,66.7%,5.33,0,0,,0,0.0,0,0
38,2009,2009-10-25,7,25.192,CIN,,CHI,W 45-10,,,,,,,0.0%,,,,,,,,
39,2009,2009-11-08,8,25.206,CIN,,BAL,W 17-7,,1,,,,,0.0%,,,,,,,,
40,2009,2009-11-15,9,25.213,CIN,@,PIT,W 18-12,,,,,,,0.0%,,,,,,,,
41,2009,2009-11-22,10,25.220,CIN,@,OAK,L 17-20,,1,,,,,0.0%,,,,,,,,
42,2009,2009-11-29,11,25.227,CIN,,CLE,W 16-7,,,,,,,0.0%,,,,,,,,
43,2009,2009-12-06,12,25.234,CIN,,DET,W 23-13,*,1,,,,,0.0%,,,,,,,,
44,2009,2009-12-13,13,25.241,CIN,@,MIN,L 10-30,*,3,2,13,6.50,0,66.7%,4.33,0,0,,0,0.0,0,0
45,2009,2009-12-20,14,25.248,CIN,@,SDG,L 24-27,*,,,,,,0.0%,,,,,,,,
46,2009,2009-12-27,15,25.255,CIN,,KAN,W 17-10,*,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0.0,0,0
47,2009,2010-01-03,16,25.262,CIN,@,NYJ,L 0-37,*,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0.0,0,0
48,2010,2010-09-12,1,26.149,CIN,@,NWE,L 24-38,,1,,,,,0.0%,,,,,,,,
49,2010,2010-09-19,2,26.156,CIN,,BAL,W 15-10,,,,,,,0.0%,,,,,,,,
50,2010,2010-09-26,3,26.163,CIN,@,CAR,W 20-7,,,,,,,0.0%,,,,,,,,
51,2010,2010-10-03,4,26.170,CIN,@,CLE,L 20-23,,,,,,,0.0%,,,,,,,,
52,2010,2010-10-10,5,26.177,CIN,,TAM,L 21-24,,,,,,,0.0%,,,,,,,,
53,2010,2010-10-24,6,26.191,CIN,@,ATL,L 32-39,,0,,,,,0.0%,,,,,,,,
54,2010,2010-12-12,13,26.240,DEN,@,ARI,L 13-43,,,,,,,0.0%,,,,,,,,
55,2010,2010-12-19,14,26.247,DEN,@,OAK,L 23-39,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
56,2010,2010-12-26,15,26.254,DEN,,HOU,W 24-23,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
57,2010,2011-01-02,16,26.261,DEN,,SDG,L 28-33,,1,,,,,0.0%,,,,,,,,
