ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1987,1987-10-11,4,25.226,GNB,,DET,L 16-19,,,,
2,1987,1987-10-18,5,25.233,GNB,,PHI,W 16-10,8,18,2.25,0
3,1987,1987-12-13,13,25.289,GNB,,MIN,W 16-10,0,0,,0
4,1987,1987-12-19,14,25.295,GNB,@,NYG,L 10-20,0,0,,0
