ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1969,1969-09-21,1,23.258,PHI,,CLE,L 20-27,2,17,8.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
2,1969,1969-09-28,2,23.265,PHI,,PIT,W 41-27,3,71,23.67,1,1,6,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
3,1969,1969-10-05,3,23.272,PHI,,DAL,L 7-38,5,78,15.60,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
4,1969,1969-10-13,4,23.280,PHI,@,BAL,L 20-24,8,138,17.25,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
5,1969,1969-10-19,5,23.286,PHI,@,DAL,L 14-49,3,107,35.67,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
6,1969,1969-10-26,6,23.293,PHI,,NOR,W 13-10,6,105,17.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
7,1969,1969-11-02,7,23.300,PHI,@,NYG,W 23-20,2,56,28.00,0,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
8,1969,1969-11-09,8,23.307,PHI,@,WAS,T 28-28,8,112,14.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
9,1969,1969-11-16,9,23.314,PHI,,RAM,L 17-23,4,85,21.25,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
10,1969,1969-11-23,10,23.321,PHI,@,STL,W 34-30,8,127,15.88,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
11,1969,1969-11-30,11,23.328,PHI,@,NOR,L 17-26,4,75,18.75,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
12,1969,1969-12-07,12,23.335,PHI,,WAS,L 29-34,5,91,18.20,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12
13,1969,1969-12-14,13,23.342,PHI,,ATL,L 3-27,1,7,7.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
14,1969,1969-12-21,14,23.349,PHI,@,SFO,L 13-14,6,47,7.83,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
15,1970,1970-09-20,1,24.257,PHI,,DAL,L 7-17,,,,,,,,,,,,,,,,,,,,,,,,,
16,1970,1970-09-27,2,24.264,PHI,@,CHI,L 16-20,3,33,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
17,1970,1970-10-04,3,24.271,PHI,,WAS,L 21-33,1,6,6.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
18,1970,1970-10-11,4,24.278,PHI,@,NYG,L 23-30,7,194,27.71,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12
19,1970,1970-10-18,5,24.285,PHI,,STL,L 20-35,3,53,17.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
