ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1976,1976-09-26,3,23.253,ATL,@,CHI,W 10-0,1,5,5.00,0,0,0,,0,1,21,21.00,0
2,1976,1976-10-03,4,23.260,ATL,,PHI,L 13-14,1,7,7.00,0,0,0,,0,3,57,19.00,0
3,1976,1976-10-10,5,23.267,ATL,@,NOR,L 0-30,1,0,0.00,0,1,5,5.00,0,0,0,,0
4,1976,1976-10-23,7,23.280,ATL,@,SFO,L 0-15,3,23,7.67,0,0,0,,0,0,0,,0
5,1976,1976-10-31,8,23.288,ATL,,NOR,W 23-20,15,47,3.13,0,1,20,20.00,0,0,0,,0
6,1976,1976-11-07,9,23.295,ATL,@,SEA,L 13-30,17,100,5.88,0,1,4,4.00,0,0,0,,0
7,1976,1976-11-14,10,23.302,ATL,,SFO,W 21-16,31,107,3.45,0,0,0,,0,0,0,,0
8,1976,1976-11-21,11,23.309,ATL,,DAL,W 17-10,15,17,1.13,0,0,0,,0,1,17,17.00,0
9,1976,1976-11-28,12,23.316,ATL,@,HOU,L 14-20,3,8,2.67,0,0,0,,0,0,0,,0
10,1976,1976-12-04,13,23.322,ATL,@,RAM,L 0-59,4,5,1.25,0,1,8,8.00,0,2,46,23.00,0
11,1976,1976-12-12,14,23.330,ATL,,GNB,L 20-24,,,,,,,,,,,,
