ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2001,2001-12-09,12,25.330,JAX,@,CIN,W 14-10,,2,35,17.50,0
2,2001,2001-12-16,13,25.337,JAX,@,CLE,W 15-10,,1,25,25.00,0
3,2001,2001-12-23,14,25.344,JAX,@,MIN,W 33-3,,1,14,14.00,0
4,2001,2001-12-30,15,25.351,JAX,,KAN,L 26-30,,4,76,19.00,0
5,2001,2002-01-06,16,25.358,JAX,@,CHI,L 13-33,,,,,
6,2002,2002-09-08,1,26.238,JAX,,IND,L 25-28,,,,,
7,2002,2002-09-15,2,26.245,JAX,@,KAN,W 23-16,,,,,
8,2002,2002-09-29,3,26.259,JAX,,NYJ,W 28-3,,,,,
9,2002,2002-10-06,4,26.266,JAX,,PHI,W 28-25,,,,,
10,2002,2002-10-13,5,26.273,JAX,@,TEN,L 14-23,,,,,
11,2002,2002-10-20,6,26.280,JAX,@,BAL,L 10-17,,,,,
12,2002,2002-10-27,7,26.287,JAX,,HOU,L 19-21,,,,,
13,2002,2002-11-03,8,26.294,JAX,@,NYG,L 17-24,,,,,
14,2002,2002-11-10,9,26.301,JAX,,WAS,W 26-7,,,,,
15,2002,2002-11-17,10,26.308,JAX,@,HOU,W 24-21,,,,,
16,2002,2002-11-24,11,26.315,JAX,@,DAL,L 19-21,,,,,
17,2002,2002-12-01,12,26.322,JAX,,PIT,L 23-25,,,,,
18,2002,2002-12-08,13,26.329,JAX,,CLE,L 20-21,,,,,
19,2002,2002-12-15,14,26.336,JAX,@,CIN,W 29-15,,,,,
20,2002,2002-12-22,15,26.343,JAX,,TEN,L 10-28,,,,,
21,2002,2002-12-29,16,26.350,JAX,@,IND,L 13-20,,,,,
22,2003,2003-09-07,1,27.237,JAX,@,CAR,L 23-24,,,,,
23,2003,2003-11-23,11,27.314,SDG,,CIN,L 27-34,,,,,
24,2003,2003-11-30,12,27.321,SDG,,KAN,L 24-28,,,,,
25,2003,2003-12-07,13,27.328,SDG,@,DET,W 14-7,,,,,
26,2003,2003-12-14,14,27.335,SDG,,GNB,L 21-38,,,,,
27,2003,2003-12-21,15,27.342,SDG,@,PIT,L 24-40,,,,,
28,2003,2003-12-28,16,27.349,SDG,,OAK,W 21-14,,,,,
29,2004,2004-09-12,1,28.243,SDG,@,HOU,W 27-20,,,,,
30,2004,2004-09-19,2,28.250,SDG,,NYJ,L 28-34,,,,,
31,2004,2004-09-26,3,28.257,SDG,@,DEN,L 13-23,,,,,
32,2004,2004-10-03,4,28.264,SDG,,TEN,W 38-17,,,,,
33,2004,2004-10-10,5,28.271,SDG,,JAX,W 34-21,,,,,
34,2004,2004-10-17,6,28.278,SDG,@,ATL,L 20-21,,,,,
35,2004,2004-10-24,7,28.285,SDG,@,CAR,W 17-6,,,,,
36,2004,2004-10-31,7,28.292,CAR,@,SEA,L 17-23,,,,,
37,2004,2004-11-07,8,28.299,CAR,,OAK,L 24-27,,,,,
38,2004,2004-11-14,9,28.306,CAR,@,SFO,W 37-27,,,,,
39,2004,2004-11-21,10,28.313,CAR,,ARI,W 35-10,,,,,
40,2004,2004-11-28,11,28.320,CAR,,TAM,W 21-14,,,,,
41,2004,2004-12-05,12,28.327,CAR,@,NOR,W 32-21,,,,,
42,2004,2004-12-12,13,28.334,CAR,,STL,W 20-7,,,,,
43,2004,2004-12-18,14,28.340,CAR,@,ATL,L 31-34,,,,,
44,2004,2004-12-26,15,28.348,CAR,@,TAM,W 37-20,,,,,
45,2004,2005-01-02,16,28.355,CAR,,NOR,L 18-21,,,,,
