ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1972,1972-09-17,1,22.199,SDG,@,SFO,L 3-34,,,,
2,1972,1972-09-24,2,22.206,SDG,,DEN,W 37-14,4,15,3.75,0
3,1972,1972-10-01,3,22.213,SDG,@,OAK,T 17-17,,,,
4,1972,1972-10-08,4,22.220,SDG,@,BAL,W 23-20,,,,
5,1972,1972-10-15,5,22.227,SDG,@,MIA,L 10-24,,,,
6,1972,1972-10-22,6,22.234,SDG,@,DET,L 20-34,,,,
7,1972,1972-10-29,7,22.241,SDG,,KAN,L 14-26,,,,
8,1972,1972-11-05,8,22.248,SDG,,DAL,L 28-34,,,,
9,1972,1972-11-13,9,22.256,SDG,,CLE,L 17-21,,,,
10,1972,1972-11-19,10,22.262,SDG,@,KAN,W 27-17,,,,
11,1972,1972-11-26,11,22.269,SDG,,HOU,W 34-20,5,15,3.00,0
12,1972,1972-12-03,12,22.276,SDG,,OAK,L 19-21,,,,
13,1972,1972-12-10,13,22.283,SDG,@,DEN,L 13-38,,,,
