ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2006,2006-09-10,1,23.177,NYJ,@,TEN,W 23-16,,0,,,,,0.0%,,,,,,,,,,,
2,2006,2006-09-17,2,23.184,NYJ,,NWE,L 17-24,,0,,,,,0.0%,,,,,,,,,,,
3,2006,2006-09-24,3,23.191,NYJ,@,BUF,W 28-20,,,,,,,0.0%,,,,,,,,,,,
4,2006,2006-10-01,4,23.198,NYJ,,IND,L 28-31,,0,,,,,0.0%,,,,,,,,,,,
5,2006,2006-10-08,5,23.205,NYJ,@,JAX,L 0-41,,0,,,,,0.0%,,,,,,,,,,,
6,2006,2006-10-15,6,23.212,NYJ,,MIA,W 20-17,,0,,,,,0.0%,,,,,,,,,,,
7,2006,2006-10-22,7,23.219,NYJ,,DET,W 31-24,,,,,,,0.0%,,,,,,,,,,,
8,2006,2006-10-29,8,23.226,NYJ,@,CLE,L 13-20,,0,0,0,,0,0.0%,,0,0,,0,0.0,,,1,0,0
9,2006,2006-11-12,9,23.240,NYJ,@,NWE,W 17-14,,0,,,,,0.0%,,,,,,,,,,,
10,2006,2006-11-19,10,23.247,NYJ,,CHI,L 0-10,,0,,,,,0.0%,,,,,,,,,,,
11,2006,2006-11-26,11,23.254,NYJ,,HOU,W 26-11,,0,,,,,0.0%,,,,,,,,,,,
12,2006,2006-12-03,12,23.261,NYJ,@,GNB,W 38-10,,0,,,,,0.0%,,,,,,,,,,,
13,2006,2006-12-17,14,23.275,NYJ,@,MIN,W 26-13,,,,,,,0.0%,,,,,,,,,,,
14,2006,2006-12-25,15,23.283,NYJ,@,MIA,W 13-10,,0,,,,,0.0%,,,,,,,,,,,
15,2006,2006-12-31,16,23.289,NYJ,,OAK,W 23-3,,0,0,0,,0,0.0%,,0,0,,0,0.0,,,1,1,0
16,2007,2007-09-16,2,24.183,NYJ,@,BAL,L 13-20,,0,,,,,0.0%,,,,,,,,,,,
17,2007,2007-09-23,3,24.190,NYJ,,MIA,W 31-28,,,,,,,0.0%,,,,,,,,,,,
18,2007,2007-09-30,4,24.197,NYJ,@,BUF,L 14-17,,0,,,,,0.0%,,,,,,,,,,,
19,2007,2007-10-07,5,24.204,NYJ,@,NYG,L 24-35,*,0,,,,,0.0%,,,,,,,,,,,
20,2007,2007-10-14,6,24.211,NYJ,,PHI,L 9-16,*,0,,,,,0.0%,,,,,,,,,,,
21,2007,2007-10-21,7,24.218,NYJ,@,CIN,L 31-38,,0,,,,,0.0%,,,,,,,,,,,
22,2007,2007-10-28,8,24.225,NYJ,,BUF,L 3-13,,,,,,,0.0%,,,,,,,,,,,
23,2007,2007-11-04,9,24.232,NYJ,,WAS,L 20-23,,,,,,,0.0%,,,,,,,,,,,
24,2007,2007-11-18,10,24.246,NYJ,,PIT,W 19-16,,0,,,,,0.0%,,,,,,,,,,,
25,2007,2007-11-22,11,24.250,NYJ,@,DAL,L 3-34,,0,,,,,0.0%,,,,,,,,,,,
26,2007,2007-12-02,12,24.260,NYJ,@,MIA,W 40-13,,0,,,,,0.0%,,,,,,,,,,,
27,2007,2007-12-09,13,24.267,NYJ,,CLE,L 18-24,,0,,,,,0.0%,,,,,,,,,,,
28,2007,2007-12-16,14,24.274,NYJ,@,NWE,L 10-20,*,0,,,,,0.0%,,,,,,,,,,,
29,2007,2007-12-23,15,24.281,NYJ,@,TEN,L 6-10,,0,,,,,0.0%,,,,,,,,,,,
30,2007,2007-12-30,16,24.288,NYJ,,KAN,W 13-10,*,0,,,,,0.0%,,,,,,,,,,,
31,2008,2008-09-07,1,25.174,NYJ,@,MIA,W 20-14,*,0,0,0,,0,0.0%,,0,0,,0,0.0,3,1,0,0,0
32,2008,2008-09-14,2,25.181,NYJ,,NWE,L 10-19,*,0,0,0,,0,0.0%,,0,0,,0,0.0,5,5,0,0,0
33,2008,2008-09-22,3,25.189,NYJ,@,SDG,L 29-48,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0
34,2008,2008-09-28,4,25.195,NYJ,,ARI,W 56-35,*,0,0,0,,0,0.0%,,0,0,,0,0.0,1,1,1,6,0
35,2008,2008-10-19,6,25.216,NYJ,@,OAK,L 13-16,*,0,0,0,,0,0.0%,,0,0,,0,0.0,2,3,0,0,0
36,2008,2008-10-26,7,25.223,NYJ,,KAN,W 28-24,*,0,0,0,,0,0.0%,,0,0,,0,0.0,1,0,0,0,0
37,2008,2008-12-14,14,25.272,NYJ,,BUF,W 31-27,*,0,0,0,,0,0.0%,,0,0,,0,0.0,1,2,0,0,0
38,2008,2008-12-21,15,25.279,NYJ,@,SEA,L 3-13,,0,0,0,,0,0.0%,,0,0,,0,0.0,2,1,0,0,0
39,2008,2008-12-28,16,25.286,NYJ,,MIA,L 17-24,,,,,,,0.0%,,,,,,,,,,,
40,2009,2009-09-13,1,26.180,NYJ,@,HOU,W 24-7,,0,0,0,,0,0.0%,,0,0,,0,0.0,2,1,0,0,0
41,2009,2009-09-20,2,26.187,NYJ,,NWE,W 16-9,,0,0,0,,0,0.0%,,0,0,,0,0.0,3,1,0,0,0
42,2009,2009-09-27,3,26.194,NYJ,,TEN,W 24-17,,0,0,0,,0,0.0%,,0,0,,0,0.0,4,0,1,0,0
43,2009,2009-10-04,4,26.201,NYJ,@,NOR,L 10-24,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,1,0,0,0
44,2009,2009-10-12,5,26.209,NYJ,@,MIA,L 27-31,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0
45,2009,2009-10-18,6,26.215,NYJ,,BUF,L 13-16,,0,0,0,,0,0.0%,,0,0,,0,0.0,2,0,0,0,0
46,2009,2009-10-25,7,26.222,NYJ,@,OAK,W 38-0,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,0,0,0,0
47,2009,2009-11-01,8,26.229,NYJ,,MIA,L 25-30,,,0,0,,0,0.0%,,0,0,,0,0.0,0,1,0,0,0
48,2009,2009-11-15,9,26.243,NYJ,,JAX,L 22-24,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,1,0,0,0
49,2009,2009-11-22,10,26.250,NYJ,@,NWE,L 14-31,,0,0,0,,0,0.0%,,0,0,,0,0.0,2,1,0,0,0
50,2009,2009-11-29,11,26.257,NYJ,,CAR,W 17-6,*,0,0,0,,0,0.0%,,0,0,,0,0.0,8,0,0,0,0
51,2009,2009-12-03,12,26.261,NYJ,@,BUF,W 19-13,*,0,0,0,,0,0.0%,,0,0,,0,0.0,0,3,0,0,0
52,2009,2009-12-13,13,26.271,NYJ,@,TAM,W 26-3,*,1,1,27,27.00,0,100.0%,27.00,0,0,,0,0.0,1,1,0,0,0
53,2009,2009-12-20,14,26.278,NYJ,,ATL,L 7-10,,0,0,0,,0,0.0%,,1,9,9.00,0,0.0,0,0,0,0,0
54,2009,2009-12-27,15,26.285,NYJ,@,IND,W 29-15,*,0,0,0,,0,0.0%,,0,0,,0,0.0,2,0,0,0,0
55,2009,2010-01-03,16,26.292,NYJ,,CIN,W 37-0,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0
56,2010,2010-09-13,1,27.180,NYJ,,BAL,L 9-10,*,0,0,0,,0,0.0%,,0,0,,0,0.0,6,3,0,0,0
57,2010,2010-09-19,2,27.186,NYJ,,NWE,W 28-14,*,0,0,0,,0,0.0%,,0,0,,0,0.0,1,1,0,0,0
58,2010,2010-09-26,3,27.193,NYJ,@,MIA,W 31-23,*,0,0,0,,0,0.0%,,0,0,,0,0.0,3,1,0,0,0
59,2010,2010-10-03,4,27.200,NYJ,@,BUF,W 38-14,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0
60,2010,2010-10-11,5,27.208,NYJ,,MIN,W 29-20,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,2,0,0,0
61,2010,2010-10-17,6,27.214,NYJ,@,DEN,W 24-20,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,0,0,0,0
62,2010,2010-10-31,7,27.228,NYJ,,GNB,L 0-9,,,,,,,0.0%,,,,,,,,,,,
63,2010,2010-11-07,8,27.235,NYJ,@,DET,W 23-20,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,2,0,0,0
64,2010,2010-11-14,9,27.242,NYJ,@,CLE,W 26-20,,0,0,0,,0,0.0%,,0,0,,0,0.0,2,0,0,0,0
65,2010,2010-11-21,10,27.249,NYJ,,HOU,W 30-27,,0,0,0,,0,0.0%,,0,0,,0,0.0,3,0,0,0,0
66,2010,2010-11-25,11,27.253,NYJ,,CIN,W 26-10,*,0,0,0,,0,0.0%,,0,0,,0,0.0,8,0,0,0,0
67,2010,2010-12-06,12,27.264,NYJ,@,NWE,L 3-45,*,0,0,0,,0,0.0%,,0,0,,0,1.0,6,1,0,0,0
68,2010,2010-12-12,13,27.270,NYJ,,MIA,L 6-10,*,0,0,0,,0,0.0%,,0,0,,0,0.0,4,0,0,0,0
69,2011,2011-09-11,1,28.178,NYJ,,DAL,W 27-24,*,0,0,0,,0,0.0%,,0,0,,0,1.0,5,2,0,0,0
70,2011,2011-09-18,2,28.185,NYJ,,JAX,W 32-3,*,0,0,0,,0,0.0%,,0,0,,0,0.0,3,1,1,2,0
71,2011,2011-09-25,3,28.192,NYJ,@,OAK,L 24-34,*,0,0,0,,0,0.0%,,0,0,,0,0.0,7,1,0,0,0
72,2011,2011-10-02,4,28.199,NYJ,@,BAL,L 17-34,*,0,0,0,,0,0.0%,,0,0,,0,0.5,2,2,0,0,0
73,2011,2011-10-09,5,28.206,NYJ,@,NWE,L 21-30,*,0,0,0,,0,0.0%,,0,0,,0,0.0,5,4,0,0,0
74,2011,2011-10-17,6,28.214,NYJ,,MIA,W 24-6,*,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0
75,2011,2011-10-23,7,28.220,NYJ,,SDG,W 27-21,*,0,0,0,,0,0.0%,,0,0,,0,0.0,8,2,0,0,0
76,2011,2011-11-06,8,28.234,NYJ,@,BUF,W 27-11,,0,0,0,,0,0.0%,,0,0,,0,0.0,3,0,0,0,0
77,2011,2011-11-13,9,28.241,NYJ,,NWE,L 16-37,*,0,0,0,,0,0.0%,,0,0,,0,0.0,5,2,0,0,0
78,2011,2011-11-17,10,28.245,NYJ,@,DEN,L 13-17,*,0,0,0,,0,0.0%,,0,0,,0,0.0,4,1,0,0,0
79,2011,2011-11-27,11,28.255,NYJ,,BUF,W 28-24,*,0,0,0,,0,0.0%,,0,0,,0,0.0,4,0,0,0,0
80,2011,2011-12-04,12,28.262,NYJ,@,WAS,W 34-19,*,0,0,0,,0,0.0%,,0,0,,0,0.0,4,2,0,0,0
81,2011,2011-12-11,13,28.269,NYJ,,KAN,W 37-10,,0,0,0,,0,0.0%,,0,0,,0,1.0,2,3,0,0,0
82,2011,2011-12-18,14,28.276,NYJ,@,PHI,L 19-45,*,0,0,0,,0,0.0%,,0,0,,0,0.0,4,1,0,0,0
83,2011,2011-12-24,15,28.282,NYJ,,NYG,L 14-29,*,0,0,0,,0,0.0%,,0,0,,0,0.0,2,0,0,0,0
84,2011,2012-01-01,16,28.290,NYJ,@,MIA,L 17-19,*,0,0,0,,0,0.0%,,0,0,,0,0.0,2,2,0,0,0
85,2012,2012-09-16,2,29.183,NYJ,@,PIT,L 10-27,,,,,,,0.0%,,,,,,,,,,,
86,2012,2012-09-23,3,29.190,NYJ,@,MIA,W 23-20,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,0,0,0,0
87,2012,2012-09-30,4,29.197,NYJ,,SFO,L 0-34,,,,,,,0.0%,,,,,,,,,,,
88,2012,2012-10-08,5,29.205,NYJ,,HOU,L 17-23,,0,0,0,,0,0.0%,,1,19,19.00,0,0.0,1,1,0,0,0
89,2012,2012-11-11,9,29.239,NYJ,@,SEA,L 7-28,*,0,0,0,,0,0.0%,,0,0,,0,0.0,0,1,0,0,0
90,2012,2012-11-18,10,29.246,NYJ,@,STL,W 27-13,,0,0,0,,0,0.0%,,0,0,,0,0.0,3,0,1,5,0
91,2012,2012-11-22,11,29.250,NYJ,,NWE,L 19-49,*,0,0,0,,0,0.0%,,0,0,,0,0.0,2,1,0,0,0
92,2012,2012-12-02,12,29.260,NYJ,,ARI,W 7-6,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0
93,2012,2012-12-09,13,29.267,NYJ,@,JAX,W 17-10,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,0,0,0,0
94,2012,2012-12-17,14,29.275,NYJ,@,TEN,L 10-14,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,0,0,0,0
95,2012,2012-12-23,15,29.281,NYJ,,SDG,L 17-27,,,,,,,0.0%,,,,,,,,,,,
96,2012,2012-12-30,16,29.288,NYJ,@,BUF,L 9-28,,0,0,0,,0,0.0%,,0,0,,0,0.0,2,1,0,0,0
