ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1979,1979-09-02,1,23.116,KAN,,BAL,W 14-0,,,,,,,,,
2,1979,1979-09-09,2,23.123,KAN,,CLE,L 24-27,,,,,,,,,
3,1979,1979-09-16,3,23.130,KAN,@,HOU,L 6-20,,,,,,,,,
4,1979,1979-09-23,4,23.137,KAN,,OAK,W 35-7,,,,,,,,,
5,1979,1979-09-30,5,23.144,KAN,@,SEA,W 24-6,,,,,,,,,
6,1979,1979-10-14,7,23.158,KAN,,DEN,L 10-24,,,,,,,,,
7,1979,1979-10-21,8,23.165,KAN,,NYG,L 17-21,,,,,,,,,
8,1979,1979-10-28,9,23.172,KAN,@,DEN,L 3-20,,,,,,,,,
9,1979,1979-11-04,10,23.179,KAN,,SDG,L 14-20,,,,,,,,,
10,1979,1979-11-11,11,23.186,KAN,,PIT,L 3-30,,,,,,,,,
11,1979,1979-11-18,12,23.193,KAN,@,OAK,W 24-21,,,,,,,,,
12,1979,1979-11-25,13,23.200,KAN,@,SDG,L 7-28,,,,,,,,,
13,1979,1979-12-02,14,23.207,KAN,,SEA,W 37-21,1,-3,-3.00,0,0,0,1,17,0
14,1979,1979-12-09,15,23.214,KAN,@,BAL,W 10-7,,,,,,,,,
15,1979,1979-12-16,16,23.221,KAN,@,TAM,L 0-3,,,,,,,,,
16,1980,1980-09-07,1,24.121,KAN,,OAK,L 14-27,,,,,,,,,
17,1980,1980-09-14,2,24.128,KAN,,SEA,L 16-17,,,,,,,,,
18,1980,1980-09-21,3,24.135,KAN,@,CLE,L 13-20,0,0,,0,0,0,1,18,0
19,1980,1980-09-28,4,24.142,KAN,,SDG,L 7-24,,,,,,,,,
20,1980,1980-10-05,5,24.149,KAN,@,OAK,W 31-17,,,,,,,,,
21,1980,1980-10-12,6,24.156,KAN,,HOU,W 21-20,,,,,,,,,
22,1980,1980-10-19,7,24.163,KAN,@,DEN,W 23-17,,,,,,,,,
23,1980,1980-10-26,8,24.170,KAN,,DET,W 20-17,,,,,,,,,
24,1980,1980-11-02,9,24.177,KAN,,BAL,L 24-31,,,,,,,,,
25,1980,1980-11-09,10,24.184,KAN,@,SEA,W 31-30,0,0,,0,1,6,2,26,1
26,1980,1980-11-16,11,24.191,KAN,@,SDG,L 7-20,,,,,,,,,
27,1980,1980-11-23,12,24.198,KAN,@,STL,W 21-13,,,,,,,,,
28,1980,1980-11-30,13,24.205,KAN,,CIN,L 6-20,,,,,,,,,
29,1980,1980-12-07,14,24.212,KAN,,DEN,W 31-14,,,,,,,,,
30,1980,1980-12-14,15,24.219,KAN,@,PIT,L 16-21,,,,,,,,,
31,1980,1980-12-21,16,24.226,KAN,@,BAL,W 38-28,,,,,,,,,
32,1981,1981-09-06,1,25.120,KAN,@,PIT,W 37-33,,,,,,,,,
33,1981,1981-09-13,2,25.127,KAN,,TAM,W 19-10,,,,,,,,,
34,1981,1981-09-20,3,25.134,KAN,,SDG,L 31-42,0,0,,0,0,0,2,17,0
35,1981,1981-09-27,4,25.141,KAN,@,SEA,W 20-14,,,,,,,,,
