ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1982,1982-11-28,4,23.182,RAM,,KAN,W 20-14,,,,,,,,
2,1982,1982-12-02,5,23.186,RAM,,SFO,L 24-30,,,,,,,,
3,1982,1982-12-12,6,23.196,RAM,,DEN,L 24-27,,,,,,,,
4,1982,1982-12-18,7,23.202,RAM,@,RAI,L 31-37,,,,,,,,
5,1982,1982-12-26,8,23.210,RAM,,CHI,L 26-34,,,,,,,,
6,1982,1983-01-02,9,23.217,RAM,@,SFO,W 21-20,,,,,,,,
7,1983,1983-09-04,1,24.097,RAM,@,NYG,W 16-6,,,,,,,,
8,1983,1983-09-11,2,24.104,RAM,,NOR,W 30-27,,,,,,,,
9,1983,1983-09-18,3,24.111,RAM,@,GNB,L 24-27,,,,,,,,
10,1983,1983-09-25,4,24.118,RAM,@,NYJ,L 24-27,,,,,,,,
11,1983,1983-10-02,5,24.125,RAM,,DET,W 21-10,,,,,,,,
12,1983,1983-10-09,6,24.132,RAM,@,SFO,W 10-7,,,,,,,,
13,1983,1983-10-16,7,24.139,RAM,,ATL,W 27-21,,,,,,,,
14,1983,1983-10-23,8,24.146,RAM,,SFO,L 35-45,,,,,,,,
15,1983,1983-12-18,16,24.202,RAM,@,NOR,W 26-24,,,,,,,,
16,1984,1984-09-03,1,25.096,RAM,,DAL,L 13-20,,,,,,,,
17,1984,1984-09-09,2,25.102,RAM,,CLE,W 20-17,,,,,,,,
18,1984,1984-09-16,3,25.109,RAM,@,PIT,L 14-24,,,,,,,,
19,1984,1984-09-23,4,25.116,RAM,@,CIN,W 24-14,,,,,,,,
20,1984,1984-09-30,5,25.123,RAM,,NYG,W 33-12,,,,,,,,
21,1984,1984-10-07,6,25.130,RAM,,ATL,L 28-30,,,,,,,,
22,1984,1984-10-14,7,25.137,RAM,@,NOR,W 28-10,,,,,,,,
23,1984,1984-10-22,8,25.145,RAM,@,ATL,W 24-10,,,,,,,,
24,1984,1984-10-28,9,25.151,RAM,,SFO,L 0-33,,,,,,,,
25,1984,1984-11-04,10,25.158,RAM,@,STL,W 16-13,,,,,,,,
26,1984,1984-11-11,11,25.165,RAM,,CHI,W 29-13,,,,,,,,
27,1984,1984-11-18,12,25.172,RAM,@,GNB,L 6-31,,,,,,,,
28,1984,1984-11-25,13,25.179,RAM,@,TAM,W 34-33,,,,,,,,
29,1985,1985-09-08,1,26.101,RAM,,DEN,W 20-16,,,,,,,,
30,1985,1985-11-03,9,26.157,DET,@,MIN,L 13-16,0,0,,0,0,0,,0
31,1985,1985-11-10,10,26.164,DET,@,CHI,L 3-24,0,0,,0,0,0,,0
32,1985,1985-11-17,11,26.171,DET,,MIN,W 41-21,0,0,,0,0,0,,0
33,1985,1985-11-24,12,26.178,DET,@,TAM,L 16-19,0,0,,0,3,79,26.33,0
34,1985,1985-11-28,13,26.182,DET,,NYJ,W 31-20,0,0,,0,1,22,22.00,0
35,1985,1985-12-08,14,26.192,DET,@,NWE,L 6-23,1,2,2.00,0,4,77,19.25,0
36,1985,1985-12-15,15,26.199,DET,,GNB,L 23-26,0,0,,0,1,21,21.00,0
37,1985,1985-12-22,16,26.206,DET,,CHI,L 17-37,0,0,,0,1,27,27.00,0
