ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1979,1979-09-03,1,22.237,NWE,,PIT,L 13-16,1,17,17.00,0,0,0,,0,0,0,0,0,0
2,1979,1979-09-09,2,22.243,NWE,,NYJ,W 56-3,0,0,,0,1,1,1.00,0,0,0,0,0,0
3,1979,1979-09-16,3,22.250,NWE,@,CIN,W 20-14,,,,,,,,,,,,,
4,1979,1979-09-23,4,22.257,NWE,,SDG,W 27-21,2,40,20.00,0,0,0,,0,0,0,0,0,0
5,1979,1979-10-01,5,22.265,NWE,@,GNB,L 14-27,1,19,19.00,0,0,0,,0,0,0,0,0,0
6,1979,1979-10-07,6,22.271,NWE,,DET,W 24-17,,,,,,,,,,,,,
7,1979,1979-10-14,7,22.278,NWE,@,CHI,W 27-7,,,,,,,,,,,,,
8,1979,1979-10-21,8,22.285,NWE,,MIA,W 28-13,1,12,12.00,0,0,0,,0,0,0,0,0,0
9,1979,1979-10-28,9,22.292,NWE,@,BAL,L 26-31,1,19,19.00,0,0,0,,0,0,0,0,0,0
10,1979,1979-11-04,10,22.299,NWE,@,BUF,W 26-6,,,,,,,,,,,0,27,0
11,1979,1979-11-11,11,22.306,NWE,@,DEN,L 10-45,1,20,20.00,0,0,0,,0,0,0,0,0,0
12,1979,1979-11-18,12,22.313,NWE,,BAL,W 50-21,1,18,18.00,0,0,0,,0,0,0,0,0,0
13,1979,1979-11-25,13,22.320,NWE,,BUF,L 13-16,0,0,,0,0,0,,0,0,0,1,12,0
14,1979,1979-11-29,14,22.324,NWE,@,MIA,L 24-39,1,21,21.00,0,0,0,,0,0,0,0,0,0
15,1979,1979-12-09,15,22.334,NWE,@,NYJ,L 26-27,1,13,13.00,0,0,0,,0,0,0,0,0,0
16,1979,1979-12-16,16,22.341,NWE,,MIN,W 27-23,,,,,,,,,,,,,
17,1980,1980-09-07,1,23.242,NWE,,CLE,W 34-17,,,,,,,,,,,,,
18,1980,1980-09-14,2,23.249,NWE,,ATL,L 21-37,,,,,,,,,,,,,
19,1980,1980-09-21,3,23.256,NWE,@,SEA,W 37-31,,,,,,,,,,,,,
20,1980,1980-09-29,4,23.264,NWE,,DEN,W 23-14,0,0,,0,0,0,,0,0,0,1,0,0
21,1980,1980-10-05,5,23.270,NWE,@,NYJ,W 21-11,,,,,,,,,,,,,
22,1980,1980-10-12,6,23.277,NWE,,MIA,W 34-0,,,,,,,,,,,,,
23,1980,1980-10-19,7,23.284,NWE,@,BAL,W 37-21,,,,,,,,,,,,,
24,1980,1980-10-26,8,23.291,NWE,@,BUF,L 13-31,,,,,,,,,,,,,
25,1980,1980-11-02,9,23.298,NWE,,NYJ,W 34-21,,,,,,,,,,,,,
26,1980,1980-11-10,10,23.306,NWE,@,HOU,L 34-38,,,,,,,,,,,,,
27,1980,1980-11-16,11,23.312,NWE,,RAM,L 14-17,,,,,,,,,,,,,
28,1980,1980-11-23,12,23.319,NWE,,BAL,W 47-21,,,,,,,,,,,,,
29,1980,1980-11-30,13,23.326,NWE,@,SFO,L 17-21,,,,,,,,,,,,,
30,1980,1980-12-08,14,23.334,NWE,@,MIA,L 13-16,,,,,,,,,,,,,
31,1980,1980-12-14,15,23.340,NWE,,BUF,W 24-2,,,,,,,,,,,,,
32,1980,1980-12-21,16,23.347,NWE,@,NOR,W 38-27,,,,,,,,,,,,,
33,1981,1981-09-06,1,24.240,NWE,,BAL,L 28-29,0,0,,0,,,,,,,,,
34,1981,1981-09-13,2,24.247,NWE,@,PHI,L 3-13,0,0,,0,,,,,,,,,
35,1981,1981-09-21,3,24.255,NWE,,DAL,L 21-35,0,0,,0,,,,,,,,,
36,1981,1981-09-27,4,24.261,NWE,@,PIT,L 21-27,0,0,,0,,,,,,,,,
37,1981,1981-10-04,5,24.268,NWE,,KAN,W 33-17,1,14,14.00,0,0,0,,0,0,0,0,0,0
38,1981,1981-10-11,6,24.275,NWE,@,NYJ,L 24-28,0,0,,0,0,0,,0,0,0,1,21,0
39,1981,1981-10-18,7,24.282,NWE,,HOU,W 38-10,0,0,,0,,,,,,,,,
40,1981,1981-10-25,8,24.289,NWE,@,WAS,L 22-24,0,0,,0,,,,,,,,,
41,1981,1981-11-01,9,24.296,NWE,@,OAK,L 17-27,2,41,20.50,0,0,0,,0,0,0,0,0,0
42,1981,1981-11-08,10,24.303,NWE,,MIA,L 27-30,0,0,,0,,,,,,,,,
