ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1952,1952-10-26,5,22.014,DET,@,GNB,W 52-17,1,2,2.00,0,0,0,,0
2,1952,1952-11-09,7,22.028,DET,@,PIT,W 31-6,3,25,8.33,1,0,0,,0
3,1952,1952-11-16,8,22.035,DET,,DTX,W 43-13,5,8,1.60,0,0,0,,0
4,1952,1952-11-27,10,22.046,DET,,GNB,W 48-24,2,6,3.00,0,1,24,24.00,0
5,1952,1952-12-07,11,22.056,DET,,CHI,W 45-21,6,20,3.33,1,1,4,4.00,0
6,1952,1952-12-13,12,22.062,DET,,DTX,W 41-6,2,13,6.50,0,0,0,,0
7,1953,1953-10-04,2,22.357,GNB,,CHI,L 13-17,4,-5,-1.25,0,4,100,25.00,0
8,1953,1953-10-18,4,23.006,GNB,,BAL,W 37-14,4,20,5.00,0,1,6,6.00,0
9,1953,1953-10-24,5,23.012,GNB,@,PIT,L 14-31,3,6,2.00,0,1,5,5.00,0
10,1953,1953-11-22,9,23.041,GNB,,SFO,L 7-37,2,8,4.00,0,1,2,2.00,0
11,1953,1953-12-06,11,23.055,GNB,@,SFO,L 14-48,0,0,,0,1,6,6.00,0
