ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,1950,1950-09-17,1,25.051,CHI,@,RAM,W 24-20,0,0,,0,3,1,0.33,0,0,0,,0,0,,,,,,
2,1950,1950-09-24,2,25.058,CHI,@,SFO,W 32-20,2,31,15.50,0,2,6,3.00,0,0,0,,0,0,,,,,,
3,1950,1950-10-01,3,25.065,CHI,@,GNB,L 21-31,3,36,12.00,0,4,4,1.00,0,0,0,,0,0,,,,,,
4,1950,1950-11-26,10,25.121,CHI,,RAM,W 24-14,2,52,26.00,0,0,0,,0,0,0,,0,0,,,,,,
5,1951,1951-10-07,2,26.071,CHI,@,CRD,L 14-28,1,17,17.00,0,0,0,,0,0,0,,0,0,,,,,,
6,1951,1951-10-21,4,26.085,CHI,,SFO,W 13-7,3,53,17.67,0,0,0,,0,0,0,,0,0,,,,,,
7,1951,1951-11-11,7,26.106,CHI,,DET,L 28-41,0,0,,0,1,4,4.00,0,0,0,,0,0,,,,,,
8,1951,1951-11-18,8,26.113,CHI,,GNB,W 24-13,2,47,23.50,0,0,0,,0,0,0,,0,0,,,,,,
9,1951,1951-11-25,9,26.120,CHI,@,CLE,L 21-42,0,0,,0,1,-1,-1.00,0,0,0,,0,0,,,,,,
10,1952,1952-09-28,1,27.062,SFO,,DET,W 17-3,5,106,21.20,1,4,15,3.75,0,0,0,,0,0,,,,,,
11,1952,1952-10-05,2,27.069,SFO,@,DTX,W 37-14,0,0,,0,1,6,6.00,0,0,0,,0,0,,,,,,
12,1952,1952-10-12,3,27.076,SFO,@,DET,W 28-0,1,0,0.00,0,2,11,5.50,0,0,0,,0,0,,,,,,
13,1952,1952-10-19,4,27.083,SFO,@,CHI,W 40-16,2,45,22.50,0,3,9,3.00,0,0,0,,0,0,,,,,,
14,1952,1952-10-26,5,27.090,SFO,,DTX,W 48-21,1,4,4.00,0,2,0,0.00,0,0,0,,0,0,,,,,,
15,1952,1952-11-02,6,27.097,SFO,,CHI,L 17-20,3,59,19.67,0,5,19,3.80,0,0,0,,0,0,,,,,,
16,1952,1952-11-09,7,27.104,SFO,@,NYG,L 14-23,1,21,21.00,0,1,0,0.00,0,0,0,,0,0,,,,,,
17,1952,1952-11-16,8,27.111,SFO,@,WAS,W 23-17,0,0,,0,1,4,4.00,0,0,0,,0,0,,,,,,
18,1952,1952-11-23,9,27.118,SFO,@,RAM,L 9-35,0,0,,0,2,4,2.00,0,0,0,,0,0,,,,,,
19,1952,1952-11-30,10,27.125,SFO,,RAM,L 21-34,2,17,8.50,0,1,0,0.00,0,0,0,,0,0,,,,,,
20,1952,1952-12-07,11,27.132,SFO,,PIT,L 7-24,5,101,20.20,0,2,4,2.00,0,0,0,,0,0,,,,,,
21,1952,1952-12-14,12,27.139,SFO,,GNB,W 24-14,5,108,21.60,0,0,0,,0,0,0,,0,0,,,,,,
22,1953,1953-09-27,1,28.061,GNB,,CLE,L 0-27,1,5,5.00,0,2,-11,-5.50,0,0,0,,0,0,,,,,,
23,1953,1953-10-31,6,28.095,GNB,@,BAL,W 35-24,1,9,9.00,1,2,5,2.50,0,0,0,,0,0,,,,,,
24,1953,1953-11-08,7,28.103,GNB,@,CHI,T 21-21,2,24,12.00,0,0,0,,0,0,0,,0,0,,,,,,
25,1953,1953-11-15,8,28.110,GNB,,DET,L 7-14,0,0,,0,1,1,1.00,0,1,1,100.00,-2,0,0,79.2,0,0,-2.00,-2.00
26,1953,1953-11-22,9,28.117,GNB,,SFO,L 7-37,2,17,8.50,0,1,24,24.00,0,0,0,,0,0,,,,,,
27,1953,1953-12-06,11,28.131,GNB,@,SFO,L 14-48,0,0,,0,1,5,5.00,0,0,0,,0,0,,,,,,
