ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1981,1981-09-06,1,22.214,NYG,,PHI,L 10-24,,,,,,
2,1981,1981-09-13,2,22.221,NYG,@,WAS,W 17-7,,,,,,
3,1981,1981-09-20,3,22.228,NYG,,NOR,W 20-7,,,,,,
4,1981,1981-09-27,4,22.235,NYG,@,DAL,L 10-18,,,,,,
5,1981,1981-10-04,5,22.242,NYG,,GNB,L 14-27,,,,,,
6,1981,1981-10-11,6,22.249,NYG,,STL,W 34-14,,,,,,
7,1981,1981-10-18,7,22.256,NYG,@,SEA,W 32-0,,,,,,
8,1981,1981-10-25,8,22.263,NYG,@,ATL,W 27-24,,,,,,
9,1981,1981-11-01,9,22.270,NYG,,NYJ,L 7-26,,,,,,
10,1981,1981-11-08,10,22.277,NYG,@,GNB,L 24-26,,,,,,
11,1981,1981-11-15,11,22.284,NYG,,WAS,L 27-30,,,,,,
12,1981,1981-11-22,12,22.291,NYG,@,PHI,W 20-10,,,,,,
13,1981,1981-11-29,13,22.298,NYG,@,SFO,L 10-17,,,,,,
14,1981,1981-12-06,14,22.305,NYG,,RAM,W 10-7,0,0,0.0,1,1,0
15,1981,1981-12-13,15,22.312,NYG,@,STL,W 20-10,,,,,,
16,1981,1981-12-19,16,22.318,NYG,,DAL,W 13-10,,,,,,
17,1982,1982-09-12,1,23.220,NYG,,ATL,L 14-16,0,0,1.0,0,0,0
18,1982,1982-09-20,2,23.228,NYG,,GNB,L 19-27,0,0,1.5,0,0,0
19,1982,1982-11-21,3,23.290,NYG,,WAS,L 17-27,,,,,,
20,1982,1982-11-25,4,23.294,NYG,@,DET,W 13-6,1,6,1.0,1,97,1
21,1982,1982-12-05,5,23.304,NYG,,HOU,W 17-14,0,0,1.0,0,0,0
22,1982,1982-12-11,6,23.310,NYG,,PHI,W 23-7,0,0,3.0,0,0,0
23,1982,1982-12-19,7,23.318,NYG,@,WAS,L 14-15,,,,,,
24,1982,1982-12-26,8,23.325,NYG,@,STL,L 21-24,,,,,,
25,1982,1983-01-02,9,23.332,NYG,@,PHI,W 26-24,,,,,,
26,1983,1983-09-04,1,24.212,NYG,,RAM,L 6-16,,,,,,
27,1983,1983-09-11,2,24.219,NYG,@,ATL,W 16-13,,,,,,
28,1983,1983-09-18,3,24.226,NYG,@,DAL,L 13-28,,,,,,
29,1983,1983-09-26,4,24.234,NYG,,GNB,W 27-3,,,,,,
