ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1984,1984-09-02,1,22.330,BUF,,NWE,L 17-21,0,0,,0,0,0,,0
2,1984,1984-09-09,2,22.337,BUF,@,STL,L 7-37,0,0,,0,0,0,,0
3,1984,1984-09-17,3,22.345,BUF,,MIA,L 17-21,1,6,6.00,0,0,0,,0
4,1984,1984-09-23,4,22.351,BUF,,NYJ,L 26-28,0,0,,0,0,0,,0
5,1984,1984-09-30,5,22.358,BUF,@,IND,L 17-31,0,0,,0,0,0,,0
6,1984,1984-10-07,6,22.365,BUF,,PHI,L 17-27,0,0,,0,1,5,5.00,0
7,1984,1984-10-14,7,23.006,BUF,@,SEA,L 28-31,1,11,11.00,0,0,0,,0
8,1984,1984-10-21,8,23.013,BUF,,DEN,L 7-37,0,0,,0,0,0,,0
9,1984,1984-10-28,9,23.020,BUF,@,MIA,L 7-38,0,0,,0,0,0,,0
10,1984,1984-11-04,10,23.027,BUF,,CLE,L 10-13,1,8,8.00,0,0,0,,0
11,1984,1984-11-11,11,23.034,BUF,@,NWE,L 10-38,1,3,3.00,0,0,0,,0
12,1984,1984-12-02,14,23.055,BUF,,IND,W 21-15,0,0,,0,0,0,,0
13,1984,1984-12-08,15,23.061,BUF,@,NYJ,L 17-21,0,0,,0,0,0,,0
14,1984,1984-12-16,16,23.069,BUF,@,CIN,L 21-52,0,0,,0,0,0,,0
