ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1985,1985-09-08,1,23.028,KAN,@,NOR,W 47-27,,0,0,,0,,,0,0,,0,,
2,1985,1985-09-12,2,23.032,KAN,,RAI,W 36-20,,0,0,,0,,,0,0,,0,,
3,1985,1985-09-22,3,23.042,KAN,@,MIA,L 0-31,,0,0,,0,,,0,0,,0,,
4,1985,1985-09-29,4,23.049,KAN,,SEA,W 28-7,,0,0,,0,,,0,0,,0,,
5,1985,1985-10-06,5,23.056,KAN,@,RAI,L 10-19,,0,0,,0,,,0,0,,0,,
6,1985,1985-10-13,6,23.063,KAN,@,SDG,L 20-31,,0,0,,0,,,1,0,0.00,0,0,0
7,1985,1985-10-20,7,23.070,KAN,,RAM,L 0-16,,0,0,,0,,,0,0,,0,,
8,1985,1985-10-27,8,23.077,KAN,,DEN,L 10-30,,0,0,,0,,,0,0,,0,,
9,1985,1985-11-03,9,23.084,KAN,@,HOU,L 20-23,,0,0,,0,,,0,0,,0,,
10,1985,1985-11-10,10,23.091,KAN,,PIT,L 28-36,,0,0,,0,,,0,0,,0,,
11,1985,1985-11-17,11,23.098,KAN,@,SFO,L 3-31,,2,16,8.00,0,,,0,0,,0,0,0
12,1985,1985-11-24,12,23.105,KAN,,IND,W 20-7,,0,0,,0,,,0,0,,0,,
13,1985,1985-12-01,13,23.112,KAN,@,SEA,L 6-24,,2,17,8.50,0,,,0,0,,0,0,0
14,1985,1985-12-08,14,23.119,KAN,,ATL,W 38-10,,0,0,,0,,,0,0,,0,,
15,1985,1985-12-14,15,23.125,KAN,@,DEN,L 13-14,,0,0,,0,,,0,0,,0,,
16,1985,1985-12-22,16,23.133,KAN,,SDG,W 38-34,,1,6,6.00,1,,,0,0,,0,1,6
17,1986,1986-09-07,1,24.027,KAN,,CIN,W 24-14,,0,0,,0,,,,,,,,
18,1986,1986-09-14,2,24.034,KAN,@,SEA,L 17-23,,2,19,9.50,0,,,0,0,,0,0,0
19,1986,1986-09-21,3,24.041,KAN,,HOU,W 27-13,,0,0,,0,,,,,,,,
20,1986,1986-09-28,4,24.048,KAN,@,BUF,W 20-17,,1,8,8.00,0,,,0,0,,0,0,0
21,1986,1986-10-05,5,24.055,KAN,,RAI,L 17-24,,1,3,3.00,0,,,0,0,,0,0,0
22,1986,1986-10-12,6,24.062,KAN,@,CLE,L 7-20,,0,0,,0,,,,,,,,
23,1986,1986-10-19,7,24.069,KAN,,SDG,W 42-41,,0,0,,0,,,,,,,,
24,1986,1986-10-26,8,24.076,KAN,,TAM,W 27-20,,0,0,,0,,,,,,,,
25,1986,1986-11-02,9,24.083,KAN,@,SDG,W 24-23,,1,7,7.00,0,,,0,0,,0,0,0
26,1986,1986-11-09,10,24.090,KAN,,SEA,W 27-7,,2,25,12.50,0,,,0,0,,0,0,0
27,1986,1986-11-16,11,24.097,KAN,@,DEN,L 17-38,,0,0,,0,,,,,,,,
28,1986,1986-11-23,12,24.104,KAN,@,STL,L 14-23,,1,7,7.00,0,,,0,0,,0,0,0
29,1986,1986-11-30,13,24.111,KAN,,BUF,L 14-17,,0,0,,0,,,,,,,,
30,1986,1986-12-07,14,24.118,KAN,,DEN,W 37-10,,0,0,,0,,,,,,,,
31,1986,1986-12-14,15,24.125,KAN,@,RAI,W 20-17,,0,0,,0,,,,,,,,
32,1986,1986-12-21,16,24.132,KAN,@,PIT,W 24-19,,0,0,,0,,,,,,,,
33,1987,1987-09-13,1,25.033,KAN,,SDG,W 20-13,,0,0,,0,,,,,,,,
34,1987,1987-09-20,2,25.040,KAN,@,SEA,L 14-43,,2,10,5.00,0,,,0,0,,0,0,0
35,1987,1987-10-25,6,25.075,KAN,@,SDG,L 21-42,,0,0,,0,,,,,,,,
36,1987,1987-11-01,7,25.082,KAN,@,CHI,L 28-31,,1,15,15.00,1,,,0,0,,0,1,6
37,1987,1987-11-08,8,25.089,KAN,,PIT,L 16-17,,3,38,12.67,0,,,0,0,,0,0,0
38,1987,1987-11-15,9,25.096,KAN,,NYJ,L 9-16,,5,105,21.00,0,,,0,0,,0,0,0
39,1987,1987-11-22,10,25.103,KAN,,GNB,L 3-23,,1,11,11.00,0,,,0,0,,0,0,0
40,1987,1987-11-26,11,25.107,KAN,@,DET,W 27-20,,3,26,8.67,1,,,0,0,,0,1,6
41,1987,1987-12-06,12,25.117,KAN,@,CIN,L 27-30,,1,11,11.00,0,,,0,0,,0,0,0
42,1987,1987-12-13,13,25.124,KAN,,RAI,W 16-10,,1,13,13.00,0,,,0,0,,0,0,0
43,1987,1987-12-19,14,25.130,KAN,@,DEN,L 17-20,,3,35,11.67,0,,,0,0,,0,0,0
44,1987,1987-12-27,15,25.138,KAN,,SEA,W 41-20,,1,8,8.00,0,,,0,0,,0,0,0
45,1988,1988-09-04,1,26.024,KAN,,CLE,L 3-6,,0,0,,0,,,,,,,,
46,1988,1988-09-11,2,26.031,KAN,@,SEA,L 10-31,,0,0,,0,,,,,,,,
47,1988,1988-09-18,3,26.038,KAN,,DEN,W 20-13,,0,0,,0,,,,,,,,
