ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1986,1986-09-07,1,25.233,WAS,,PHI,W 41-14,0,0,,0,0,0,,0
2,1986,1986-09-14,2,25.240,WAS,,RAI,W 10-6,0,0,,0,1,12,12.00,0
3,1986,1986-09-21,3,25.247,WAS,@,SDG,W 30-27,0,0,,0,2,32,16.00,0
4,1986,1986-09-28,4,25.254,WAS,,SEA,W 19-14,1,7,7.00,0,0,0,,0
5,1986,1986-10-05,5,25.261,WAS,@,NOR,W 14-6,0,0,,0,0,0,,0
6,1986,1986-10-12,6,25.268,WAS,@,DAL,L 6-30,0,0,,0,0,0,,0
7,1986,1986-10-19,7,25.275,WAS,,STL,W 28-21,0,0,,0,0,0,,0
8,1986,1986-10-27,8,25.283,WAS,@,NYG,L 20-27,0,0,,0,0,0,,0
9,1986,1986-11-02,9,25.289,WAS,,MIN,W 44-38,0,0,,0,0,0,,0
10,1987,1987-09-13,1,26.239,TAM,,ATL,W 48-10,,,,,,,,
