ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1992,1992-11-08,9,23.319,NYG,,GNB,W 27-7,,,,,,,,,
2,1992,1992-11-15,10,23.326,NYG,@,DEN,L 13-27,,,,,,,,,
3,1992,1992-11-22,11,23.333,NYG,,PHI,L 34-47,,,,,,,,,
4,1992,1992-11-26,12,23.337,NYG,@,DAL,L 3-30,,,,,,,,,
5,1992,1992-12-06,13,23.347,NYG,,WAS,L 10-28,,,,,,,,,
6,1992,1992-12-12,14,23.353,NYG,@,PHO,L 0-19,,,,,,,,,
7,1992,1992-12-19,15,23.360,NYG,,KAN,W 35-21,,,,,,,,,
8,1992,1992-12-27,16,24.002,NYG,@,PHI,L 10-20,,,,,,,,,
9,1993,1993-09-19,3,24.268,NYG,,RAM,W 20-10,,,,,,,,,
10,1993,1993-10-10,5,24.289,NYG,@,WAS,W 41-7,,,,,,,,,
11,1993,1993-10-17,6,24.296,NYG,,PHI,W 21-10,,,,,,,,,
12,1993,1993-11-14,9,24.324,NYG,,WAS,W 20-6,,,,,,,,,
13,1993,1993-11-21,10,24.331,NYG,@,PHI,W 7-3,,,,,,,,,
14,1993,1993-11-28,11,24.338,NYG,,PHO,W 19-17,,,,,,,,,
15,1993,1993-12-05,12,24.345,NYG,@,MIA,W 19-14,,,,,,,,,
16,1993,1993-12-12,13,24.352,NYG,,IND,W 20-6,,,,,,,,,
17,1993,1993-12-20,14,24.360,NYG,@,NOR,W 24-14,,,,,,,,,
18,1993,1993-12-26,15,25.001,NYG,@,PHO,L 6-17,,,,,,,,,
19,1993,1994-01-02,16,25.008,NYG,,DAL,L 13-16,,,,,,,,,
20,1994,1994-09-04,1,25.253,NYG,,PHI,W 28-23,,,,,,,,,
21,1994,1994-09-11,2,25.260,NYG,@,ARI,W 20-17,,,,,,,,,
22,1994,1994-09-18,3,25.267,NYG,,WAS,W 31-23,,0,0,,0,1.0,0,0,0
23,1994,1994-10-02,4,25.281,NYG,@,NOR,L 22-27,,,,,,,,,
24,1994,1994-10-10,5,25.289,NYG,,MIN,L 10-27,,,,,,,,,
25,1994,1994-10-16,6,25.295,NYG,@,RAM,L 10-17,,,,,,,,,
26,1994,1994-10-23,7,25.302,NYG,,PIT,L 6-10,,,,,,,,,
27,1994,1994-10-30,8,25.309,NYG,,DET,L 25-28,,,,,,,,,
28,1994,1994-11-07,9,25.317,NYG,@,DAL,L 10-38,,,,,,,,,
29,1994,1994-11-13,10,25.323,NYG,,ARI,L 9-10,,,,,,,,,
30,1994,1994-11-21,11,25.331,NYG,@,HOU,W 13-10,,,,,,,,,
31,1994,1994-11-27,12,25.337,NYG,@,WAS,W 21-19,,,,,,,,,
32,1994,1994-12-04,13,25.344,NYG,@,CLE,W 16-13,,,,,,,,,
33,1994,1994-12-11,14,25.351,NYG,,CIN,W 27-20,,,,,,,,,
34,1994,1994-12-18,15,25.358,NYG,@,PHI,W 16-13,,,,,,,,,
35,1994,1994-12-24,16,25.364,NYG,,DAL,W 15-10,,,,,,,,,
36,1995,1995-09-04,1,26.253,NYG,,DAL,L 0-35,,0,0,,0,,,,
