ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1986,1986-09-22,3,22.039,CHI,@,GNB,W 25-12,1,3,3.00,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
2,1986,1986-09-28,4,22.045,CHI,@,CIN,W 44-7,6,23,3.83,0,,0,0,,0,,,0,0,,0,0,0,,,,,,2,6,3.00,0,0,0
3,1986,1986-10-05,5,22.052,CHI,,MIN,W 23-0,4,8,2.00,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
4,1986,1986-10-12,6,22.059,CHI,@,HOU,W 20-7,3,8,2.67,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
5,1986,1986-10-19,7,22.066,CHI,@,MIN,L 7-23,0,0,,0,,0,0,,0,,,,,,,,,,,,,,0,0,,0,0,
6,1986,1986-10-26,8,22.073,CHI,,DET,W 13-7,0,0,,0,,1,9,9.00,0,,,0,0,,0,0,0,,,,,,1,13,13.00,0,0,0
7,1986,1986-11-03,9,22.081,CHI,,RAM,L 17-20,1,7,7.00,0,,1,8,8.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
8,1986,1986-11-09,10,22.087,CHI,@,TAM,W 23-3,1,1,1.00,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
9,1986,1986-11-16,11,22.094,CHI,@,ATL,W 13-10,0,0,,0,,0,0,,0,,,,,,,,,,,,,,0,0,,0,0,
10,1986,1986-11-23,12,22.101,CHI,,GNB,W 12-10,0,0,,0,,0,0,,0,,,,,,,,,,,,,,0,0,,0,0,
11,1986,1986-11-30,13,22.108,CHI,,PIT,W 13-10,3,20,6.67,0,,0,0,,0,,,0,0,,0,0,0,,,,,,1,7,7.00,0,0,0
12,1986,1986-12-07,14,22.115,CHI,,TAM,W 48-14,5,33,6.60,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
13,1986,1986-12-15,15,22.123,CHI,@,DET,W 16-13,2,13,6.50,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
14,1986,1986-12-21,16,22.129,CHI,@,DAL,W 24-10,9,30,3.33,0,,2,63,31.50,1,,,0,0,,0,0,0,,,,,,0,0,,0,1,6
15,1987,1987-09-14,1,23.031,CHI,,NYG,W 34-19,13,62,4.77,0,,6,81,13.50,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
16,1987,1987-09-20,2,23.037,CHI,,TAM,W 20-3,16,117,7.31,1,,4,28,7.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,1,6
17,1987,1987-10-25,6,23.072,CHI,@,TAM,W 27-26,6,52,8.67,1,,7,45,6.43,1,,,0,0,,0,0,0,,,,,,0,0,,0,2,12
18,1987,1987-11-01,7,23.079,CHI,,KAN,W 31-28,17,59,3.47,0,,6,66,11.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
19,1987,1987-11-08,8,23.086,CHI,@,GNB,W 26-24,13,22,1.69,0,,5,102,20.40,1,,,0,0,,0,0,0,,,,,,0,0,,0,1,6
20,1987,1987-11-16,9,23.094,CHI,@,DEN,L 29-31,11,44,4.00,0,,7,38,5.43,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
21,1987,1987-11-22,10,23.100,CHI,,DET,W 30-10,13,67,5.15,1,,2,23,11.50,0,,,0,0,,0,0,0,,,,,,0,0,,0,1,6
22,1987,1987-11-29,11,23.107,CHI,,GNB,W 23-10,13,32,2.46,0,,1,20,20.00,1,,,0,0,,0,0,0,,,,,,0,0,,0,1,6
23,1987,1987-12-06,12,23.114,CHI,@,MIN,W 30-24,13,75,5.77,0,,1,6,6.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
24,1987,1987-12-14,13,23.122,CHI,@,SFO,L 0-41,10,47,4.70,0,,6,42,7.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
25,1987,1987-12-20,14,23.128,CHI,,SEA,L 21-34,4,9,2.25,0,,2,16,8.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
26,1988,1988-09-04,1,24.021,CHI,,MIA,W 34-7,24,123,5.13,2,,2,17,8.50,0,,,0,0,,0,0,0,,0,,,,0,0,,0,2,12
