ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1996,1996-09-01,1,22.065,MIA,,NWE,W 24-10,,26,115,4.42,1,2,2,2,1.00,0,100.0%,1.00,1,6
2,1996,1996-09-08,2,22.072,MIA,@,ARI,W 38-10,,16,41,2.56,2,3,0,0,,0,0.0%,0.00,2,12
3,1996,1996-09-15,3,22.079,MIA,,NYJ,W 36-27,,23,124,5.39,2,2,0,0,,0,0.0%,0.00,2,12
4,1996,1996-09-23,4,22.087,MIA,@,IND,L 6-10,,9,18,2.00,0,6,3,27,9.00,0,50.0%,4.50,0,0
5,1996,1996-10-06,5,22.100,MIA,,SEA,L 15-22,,6,19,3.17,0,0,0,0,,0,0.0%,,0,0
6,1996,1996-10-13,6,22.107,MIA,@,BUF,W 21-7,,25,37,1.48,1,5,3,30,10.00,0,60.0%,6.00,1,6
7,1996,1996-10-20,7,22.114,MIA,@,PHI,L 28-35,,22,80,3.64,0,3,1,3,3.00,0,33.3%,1.00,0,0
8,1996,1996-10-27,8,22.121,MIA,,DAL,L 10-29,,7,29,4.14,0,1,0,0,,0,0.0%,0.00,0,0
9,1996,1996-11-03,9,22.128,MIA,@,NWE,L 23-42,,29,104,3.59,2,6,3,16,5.33,0,50.0%,2.67,2,12
10,1996,1996-11-10,10,22.135,MIA,,IND,W 37-13,,18,70,3.89,2,3,2,11,5.50,0,66.7%,3.67,2,12
11,1996,1996-11-17,11,22.142,MIA,@,HOU,W 23-20,,18,59,3.28,0,3,1,0,0.00,0,33.3%,0.00,0,0
12,1996,1996-11-25,12,22.150,MIA,,PIT,L 17-24,,16,57,3.56,0,3,0,0,,0,0.0%,0.00,0,0
13,1996,1996-12-01,13,22.156,MIA,@,OAK,L 7-17,,18,39,2.17,0,1,1,7,7.00,0,100.0%,7.00,0,0
