ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1990,1990-12-30,16,23.358,BUF,@,WAS,L 14-29,,,,,,,,,,,,,,,,,,,,,
2,1991,1991-09-01,1,24.238,RAM,,PHO,L 14-24,0,0,,0,,0,0,,0,,,1,36,36.00,0,4,31,7.75,0,0,0
3,1991,1991-09-08,2,24.245,RAM,@,NYG,W 19-13,0,0,,0,,0,0,,0,,,1,36,36.00,0,0,0,,0,0,0
4,1991,1991-09-15,3,24.252,RAM,@,NOR,L 7-24,0,0,,0,,0,0,,0,,,1,13,13.00,0,0,0,,0,0,0
5,1991,1991-09-22,4,24.259,RAM,@,SFO,L 10-27,2,19,9.50,0,,0,0,,0,,,4,78,19.50,0,0,0,,0,0,0
6,1991,1991-09-29,5,24.266,RAM,,GNB,W 23-21,0,0,,0,,0,0,,0,,,0,0,,0,1,15,15.00,0,0,0
7,1991,1991-10-13,6,24.280,RAM,,SDG,W 30-24,0,0,,0,,0,0,,0,,,1,23,23.00,0,2,12,6.00,0,0,0
8,1991,1991-10-20,7,24.287,RAM,@,RAI,L 17-20,0,0,,0,,1,19,19.00,1,,,0,0,,0,2,10,5.00,0,1,6
9,1991,1991-10-27,8,24.294,RAM,@,ATL,L 14-31,1,-1,-1.00,0,,0,0,,0,,,1,20,20.00,0,5,60,12.00,0,0,0
10,1991,1991-11-03,9,24.301,RAM,,NOR,L 17-24,0,0,,0,,1,14,14.00,0,,,1,27,27.00,0,2,27,13.50,0,0,0
11,1991,1991-11-10,10,24.308,RAM,,KAN,L 20-27,0,0,,0,,0,0,,0,,,1,6,6.00,0,1,3,3.00,0,0,0
12,1991,1991-11-17,11,24.315,RAM,@,DET,L 10-21,0,0,,0,,1,8,8.00,0,,,2,46,23.00,0,2,17,8.50,0,0,0
13,1991,1991-11-25,12,24.323,RAM,,SFO,L 10-33,0,0,,0,,0,0,,0,,,2,32,16.00,0,1,8,8.00,0,0,0
14,1991,1991-12-01,13,24.329,RAM,,WAS,L 6-27,1,5,5.00,0,,0,0,,0,,,4,44,11.00,0,3,18,6.00,0,0,0
15,1991,1991-12-08,14,24.336,RAM,,ATL,L 14-31,3,21,7.00,0,,0,0,,0,,,5,96,19.20,0,0,0,,0,0,0
16,1991,1991-12-22,16,24.350,RAM,@,SEA,L 9-23,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,0,0,
