ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1995,1995-09-03,1,23.129,SFO,@,NOR,W 24-22,2,79,39.50,0
2,1995,1995-09-10,2,23.136,SFO,,ATL,W 41-10,1,41,41.00,0
3,1995,1995-09-17,3,23.143,SFO,,NWE,W 28-3,7,264,37.71,0
4,1995,1995-09-25,4,23.151,SFO,@,DET,L 24-27,2,62,31.00,0
5,1995,1995-10-01,5,23.157,SFO,,NYG,W 20-6,3,103,34.33,0
6,1995,1995-10-15,6,23.171,SFO,@,IND,L 17-18,3,138,46.00,0
7,1995,1995-10-22,7,23.178,SFO,@,STL,W 44-10,6,291,48.50,0
8,1995,1995-10-29,8,23.185,SFO,,NOR,L 7-11,4,162,40.50,0
9,1995,1995-11-05,9,23.192,SFO,,CAR,L 7-13,3,117,39.00,0
10,1995,1995-11-12,10,23.199,SFO,@,DAL,W 38-20,4,143,35.75,0
11,1995,1995-11-20,11,23.207,SFO,@,MIA,W 44-20,3,124,41.33,0
12,1995,1995-11-26,12,23.213,SFO,,STL,W 41-13,3,123,41.00,0
13,1995,1995-12-03,13,23.220,SFO,,BUF,W 27-17,7,292,41.71,0
14,1995,1995-12-10,14,23.227,SFO,@,CAR,W 31-10,3,120,40.00,0
15,1995,1995-12-18,15,23.235,SFO,,MIN,W 37-30,3,127,42.33,0
16,1995,1995-12-24,16,23.241,SFO,@,ATL,L 27-28,3,126,42.00,0
17,1996,1996-09-01,1,24.127,SFO,,NOR,W 27-11,7,319,45.57,0
18,1996,1996-09-08,2,24.134,SFO,,STL,W 34-0,3,125,41.67,0
19,1996,1996-09-22,3,24.148,SFO,@,CAR,L 7-23,7,331,47.29,0
20,1996,1996-09-29,4,24.155,SFO,,ATL,W 39-17,2,67,33.50,0
21,1996,1996-10-06,5,24.162,SFO,@,STL,W 28-11,2,81,40.50,1
22,1996,1996-10-14,6,24.170,SFO,@,GNB,L 20-23,9,375,41.67,0
23,1996,1996-10-20,7,24.176,SFO,,CIN,W 28-21,4,203,50.75,0
24,1996,1996-10-27,8,24.183,SFO,@,HOU,W 10-9,6,245,40.83,0
25,1996,1996-11-03,9,24.190,SFO,@,NOR,W 24-17,6,258,43.00,0
26,1996,1996-11-10,10,24.197,SFO,,DAL,L 17-20,5,241,48.20,0
27,1996,1996-11-17,11,24.204,SFO,,BAL,W 38-20,4,174,43.50,0
28,1996,1996-11-24,12,24.211,SFO,@,WAS,W 19-16,3,117,39.00,0
29,1996,1996-12-02,13,24.219,SFO,@,ATL,W 34-10,2,101,50.50,1
30,1996,1996-12-08,14,24.225,SFO,,CAR,L 24-30,4,182,45.50,0
31,1996,1996-12-15,15,24.232,SFO,@,PIT,W 25-15,6,261,43.50,0
32,1996,1996-12-23,16,24.240,SFO,,DET,W 24-14,3,137,45.67,0
33,1997,1997-08-31,1,25.126,SFO,@,TAM,L 6-13,5,177,35.40,0
34,1997,1997-09-07,2,25.133,SFO,@,STL,W 15-12,7,329,47.00,0
35,1997,1997-09-14,3,25.140,SFO,,NOR,W 33-7,3,136,45.33,0
36,1997,1997-09-21,4,25.147,SFO,,ATL,W 34-7,6,262,43.67,0
37,1997,1997-09-29,5,25.155,SFO,@,CAR,W 34-21,5,231,46.20,0
38,1997,1997-10-12,6,25.168,SFO,,STL,W 30-10,4,180,45.00,0
39,1997,1997-10-19,7,25.175,SFO,@,ATL,W 35-28,3,144,48.00,0
40,1997,1997-10-26,8,25.182,SFO,@,NOR,W 23-0,6,234,39.00,0
41,1997,1997-11-02,9,25.189,SFO,,DAL,W 17-10,5,225,45.00,0
42,1997,1997-11-10,10,25.197,SFO,@,PHI,W 24-12,8,296,37.00,0
43,1997,1997-11-16,11,25.203,SFO,,CAR,W 27-19,3,119,39.67,0
44,1997,1997-11-23,12,25.210,SFO,,SDG,W 17-10,8,310,38.75,0
45,1997,1997-11-30,13,25.217,SFO,@,KAN,L 9-44,3,112,37.33,1
46,1997,1997-12-07,14,25.224,SFO,,MIN,W 28-17,2,64,32.00,0
47,1997,1997-12-15,15,25.232,SFO,,DEN,W 34-17,5,181,36.20,0
48,1997,1997-12-21,16,25.238,SFO,@,SEA,L 9-38,5,182,36.40,0
