ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2006,2006-09-10,1,24.028,BAL,@,TAM,W 27-0,,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,,6,282,47.00,0
2,2006,2006-09-17,2,24.035,BAL,,OAK,W 28-6,,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,,7,303,43.29,0
3,2006,2006-09-24,3,24.042,BAL,@,CLE,W 15-14,,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,,6,235,39.17,0
4,2006,2006-10-01,4,24.049,BAL,,SDG,W 16-13,,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,,7,336,48.00,0
5,2006,2006-10-09,5,24.057,BAL,@,DEN,L 3-13,,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,,6,253,42.17,0
6,2006,2006-10-15,6,24.063,BAL,,CAR,L 21-23,,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,,5,216,43.20,0
7,2006,2006-10-29,7,24.077,BAL,@,NOR,W 35-22,,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,,6,259,43.17,0
8,2006,2006-11-05,8,24.084,BAL,,CIN,W 26-20,,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,,4,182,45.50,0
9,2006,2006-11-12,9,24.091,BAL,@,TEN,W 27-26,,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,,5,194,38.80,0
10,2006,2006-11-19,10,24.098,BAL,,ATL,W 24-10,,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,,4,146,36.50,0
11,2006,2006-11-26,11,24.105,BAL,,PIT,W 27-0,,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,,6,259,43.17,0
12,2006,2006-11-30,12,24.109,BAL,@,CIN,L 7-13,,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,,7,330,47.14,0
13,2006,2006-12-10,13,24.119,BAL,@,KAN,W 20-10,,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,,4,162,40.50,0
14,2006,2006-12-17,14,24.126,BAL,,CLE,W 27-17,,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,,5,201,40.20,0
15,2006,2006-12-24,15,24.133,BAL,@,PIT,W 31-7,,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,,4,184,46.00,0
16,2006,2006-12-31,16,24.140,BAL,,BUF,W 19-7,,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,,4,153,38.25,0
17,2007,2007-09-10,1,25.028,BAL,@,CIN,L 20-27,,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,,5,223,44.60,0
18,2007,2007-09-16,2,25.034,BAL,,NYJ,W 20-13,,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,,6,285,47.50,0
19,2007,2007-09-23,3,25.041,BAL,,ARI,W 26-23,,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,,3,94,31.33,0
20,2007,2007-09-30,4,25.048,BAL,@,CLE,L 13-27,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2007,2007-10-07,5,25.055,BAL,@,SFO,W 9-7,,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,,7,291,41.57,0
22,2007,2007-10-14,6,25.062,BAL,,STL,W 22-3,,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,,5,254,50.80,0
23,2007,2007-10-21,7,25.069,BAL,@,BUF,L 14-19,,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,,6,305,50.83,0
24,2007,2007-11-05,8,25.084,BAL,@,PIT,L 7-38,,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,,10,436,43.60,0
25,2007,2007-11-11,9,25.090,BAL,,CIN,L 7-21,,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,,3,110,36.67,0
26,2007,2007-11-18,10,25.097,BAL,,CLE,L 30-33,,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,,4,194,48.50,0
