ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1992,1992-09-13,2,24.175,IND,,HOU,L 10-20,,,,,,,,,,0.0%,,,,,
2,1992,1992-10-04,4,24.196,IND,@,TAM,W 24-14,,,,,,,,,,0.0%,,,,,
3,1992,1992-11-15,10,24.238,IND,,NWE,L 34-37,,,,,,,,,,0.0%,,,,,
4,1992,1992-11-29,12,24.252,IND,,BUF,W 16-13,,,,,,,,,,0.0%,,,,,
5,1992,1992-12-06,13,24.259,IND,@,NWE,W 6-0,,,,,,,,,,0.0%,,,,,
6,1992,1992-12-13,14,24.266,IND,@,NYJ,W 10-6,,,,,,,,,,0.0%,,,,,
7,1992,1992-12-20,15,24.273,IND,,PHO,W 16-13,,,,,,,,,,0.0%,,,,,
8,1992,1992-12-27,16,24.280,IND,@,CIN,W 21-17,,,,,,,,,,0.0%,,,,,
9,1993,1993-09-05,1,25.167,IND,,MIA,L 20-24,0,0,,0,,0,0,,0,0.0%,,,,,
10,1993,1993-09-12,2,25.174,IND,@,CIN,W 9-6,0,0,,0,,0,0,,0,0.0%,,,,,
11,1993,1993-09-26,3,25.188,IND,,CLE,W 23-10,1,0,0.00,0,,0,0,,0,0.0%,,0,0,,0
12,1993,1993-10-03,4,25.195,IND,@,DEN,L 13-35,0,0,,0,,0,0,,0,0.0%,,,,,
13,1993,1993-10-10,5,25.202,IND,,DAL,L 3-27,0,0,,0,,0,0,,0,0.0%,,,,,
14,1993,1993-10-24,6,25.216,IND,@,MIA,L 27-41,0,0,,0,,0,0,,0,0.0%,,,,,
15,1993,1993-10-31,7,25.223,IND,,NWE,W 9-6,0,0,,0,,0,0,,0,0.0%,,,,,
16,1993,1993-11-07,8,25.230,IND,@,WAS,L 24-30,0,0,,0,,0,0,,0,0.0%,,,,,
17,1993,1993-11-14,9,25.237,IND,,NYJ,L 17-31,0,0,,0,,0,0,,0,0.0%,,,,,
18,1993,1993-11-21,10,25.244,IND,@,BUF,L 9-23,1,6,6.00,0,,0,0,,0,0.0%,,0,0,,0
19,1993,1993-11-29,11,25.252,IND,,SDG,L 0-31,0,0,,0,,0,0,,0,0.0%,,,,,
20,1993,1993-12-05,12,25.258,IND,@,NYJ,W 9-6,0,0,,0,,0,0,,0,0.0%,,,,,
21,1993,1993-12-12,13,25.265,IND,@,NYG,L 6-20,0,0,,0,,0,0,,0,0.0%,,,,,
22,1993,1993-12-19,14,25.272,IND,,PHI,L 10-20,0,0,,0,,0,0,,0,0.0%,,,,,
23,1993,1993-12-26,15,25.279,IND,@,NWE,L 0-38,0,0,,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0
24,1993,1994-01-02,16,25.286,IND,,BUF,L 10-30,0,0,,0,,0,0,,0,0.0%,,,,,
25,1994,1994-09-04,1,26.166,IND,,HOU,W 45-21,1,11,11.00,0,0,0,0,,0,0.0%,,0,0,,0
26,1994,1994-09-11,2,26.173,IND,@,TAM,L 10-24,0,0,,0,,,,,,0.0%,,0,0,,0
27,1994,1994-09-18,3,26.180,IND,@,PIT,L 21-31,0,0,,0,,,,,,0.0%,,0,0,,0
28,1994,1994-09-25,4,26.187,IND,,CLE,L 14-21,0,0,,0,0,,,,,0.0%,,0,0,,0
29,1994,1994-10-02,5,26.194,IND,,SEA,W 17-15,0,0,,0,,,,,,0.0%,,0,0,,0
30,1994,1994-10-09,6,26.201,IND,@,NYJ,L 6-16,0,0,,0,,,,,,0.0%,,0,0,,0
31,1994,1994-10-16,7,26.208,IND,@,BUF,W 27-17,0,0,,0,0,,,,,0.0%,,0,0,,0
32,1994,1994-10-23,8,26.215,IND,,WAS,L 27-41,0,0,,0,0,0,0,,0,0.0%,,1,8,8.00,0
33,1994,1994-10-30,9,26.222,IND,,NYJ,W 28-25,0,0,,0,,,,,,0.0%,,0,0,,0
