ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1982,1982-09-12,1,22.258,BAL,,NWE,L 13-24,,1,15,15.00,0,,,0,0,,0,0,0
2,1982,1982-09-19,2,22.265,BAL,@,MIA,L 20-24,,0,0,,0,,,,,,,,
3,1982,1982-11-21,3,22.328,BAL,@,NYJ,L 0-37,,1,9,9.00,0,,,0,0,,0,0,0
4,1982,1982-11-28,4,22.335,BAL,@,BUF,L 0-20,,0,0,,0,,,,,,,,
5,1982,1982-12-05,5,22.342,BAL,,CIN,L 17-20,,1,4,4.00,1,,,0,0,,0,1,6
6,1982,1982-12-12,6,22.349,BAL,@,MIN,L 10-13,,1,17,17.00,0,,,0,0,,0,0,0
7,1982,1982-12-19,7,22.356,BAL,,GNB,T 20-20,,0,0,,0,,,,,,,,
8,1982,1982-12-26,8,22.363,BAL,@,SDG,L 26-44,,0,0,,0,,,,,,,,
9,1982,1983-01-02,9,23.005,BAL,,MIA,L 7-34,,0,0,,0,,,,,,,,
10,1983,1983-09-04,1,23.250,BAL,@,NWE,W 29-23,,0,0,,0,,,0,0,,0,,
11,1983,1983-09-11,2,23.257,BAL,,DEN,L 10-17,,0,0,,0,,,0,0,,0,,
12,1983,1983-09-18,3,23.264,BAL,@,BUF,L 23-28,,0,0,,0,,,0,0,,0,,
13,1983,1983-09-25,4,23.271,BAL,,CHI,W 22-19,,0,0,,0,,,0,0,,0,,
14,1983,1983-10-02,5,23.278,BAL,@,CIN,W 34-31,,0,0,,0,,,0,0,,0,,
15,1983,1983-10-09,6,23.285,BAL,,NWE,W 12-7,,0,0,,0,,,0,0,,0,,
16,1983,1983-10-16,7,23.292,BAL,,BUF,L 7-30,,0,0,,0,,,1,0,0.00,0,0,0
17,1983,1983-10-23,8,23.299,BAL,,MIA,L 7-21,,0,0,,0,,,0,0,,0,,
18,1983,1983-10-30,9,23.306,BAL,@,PHI,W 22-21,,0,0,,0,,,0,0,,0,,
19,1983,1983-11-06,10,23.313,BAL,@,NYJ,W 17-14,,0,0,,0,,,0,0,,0,,
20,1983,1983-11-13,11,23.320,BAL,,PIT,L 13-24,,0,0,,0,,,0,0,,0,,
21,1983,1983-11-20,12,23.327,BAL,@,MIA,L 0-37,,0,0,,0,,,0,0,,0,,
22,1983,1983-11-27,13,23.334,BAL,@,CLE,L 23-41,,0,0,,0,,,0,0,,0,,
23,1983,1983-12-04,14,23.341,BAL,,NYJ,L 6-10,,2,28,14.00,0,,,0,0,,0,0,0
24,1983,1983-12-11,15,23.348,BAL,@,DEN,L 19-21,,2,16,8.00,0,,,0,0,,0,0,0
25,1983,1983-12-18,16,23.355,BAL,,HOU,W 20-10,,1,12,12.00,1,,,0,0,,0,1,6
26,1985,1985-09-08,1,25.254,IND,@,PIT,L 3-45,,1,12,12.00,0,,,0,0,,0,0,0
27,1985,1985-09-15,2,25.261,IND,@,MIA,L 13-30,,3,23,7.67,1,,,0,0,,0,1,6
28,1985,1985-09-22,3,25.268,IND,,DET,W 14-6,,0,0,,0,,,,,,,,
29,1985,1985-09-29,4,25.275,IND,@,NYJ,L 20-25,,1,16,16.00,1,,,0,0,,0,1,6
30,1985,1985-10-06,5,25.282,IND,,BUF,W 49-17,,1,9,9.00,0,,,0,0,,0,0,0
31,1985,1985-10-13,6,25.289,IND,,DEN,L 10-15,,2,23,11.50,0,,,0,0,,0,0,0
