ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1979,1979-09-03,1,22.341,PIT,@,NWE,W 16-13,0,0,,0,1,13,13.00,0,0,0
2,1979,1979-09-09,2,22.347,PIT,,HOU,W 38-7,,,,,,,,,,
3,1979,1979-09-16,3,22.354,PIT,@,STL,W 24-21,,,,,,,,,,
4,1979,1979-09-23,4,22.361,PIT,,BAL,W 17-13,0,0,,0,1,12,12.00,0,0,0
5,1979,1979-09-30,5,23.003,PIT,@,PHI,L 14-17,0,0,,0,1,18,18.00,0,0,0
6,1979,1979-10-07,6,23.010,PIT,@,CLE,W 51-35,,,,,,,,,,
7,1979,1979-10-14,7,23.017,PIT,@,CIN,L 10-34,0,0,,0,1,25,25.00,0,0,0
8,1979,1979-10-22,8,23.025,PIT,,DEN,W 42-7,5,34,6.80,1,0,0,,0,1,6
9,1979,1979-10-28,9,23.031,PIT,,DAL,W 14-3,,,,,,,,,,
10,1979,1979-11-04,10,23.038,PIT,,WAS,W 38-7,6,56,9.33,0,0,0,,0,0,0
11,1979,1979-11-11,11,23.045,PIT,@,KAN,W 30-3,5,20,4.00,0,0,0,,0,0,0
12,1979,1979-11-18,12,23.052,PIT,@,SDG,L 7-35,,,,,,,,,,
13,1979,1979-11-25,13,23.059,PIT,,CLE,W 33-30,0,0,,0,6,80,13.33,0,0,0
14,1979,1979-12-02,14,23.066,PIT,,CIN,W 37-17,0,0,,0,3,52,17.33,0,0,0
15,1979,1979-12-10,15,23.074,PIT,@,HOU,L 17-20,,,,,,,,,,
16,1979,1979-12-16,16,23.080,PIT,,BUF,W 28-0,2,8,4.00,0,0,0,,0,0,0
17,1980,1980-09-07,1,23.346,ATL,@,MIN,L 23-24,,,,,,,,,,
18,1980,1980-09-14,2,23.353,ATL,@,NWE,W 37-21,,,,,,,,,,
19,1980,1980-09-21,3,23.360,ATL,,MIA,L 17-20,,,,,,,,,,
20,1980,1980-09-28,4,24.001,ATL,@,SFO,W 20-17,,,,,,,,,,
21,1980,1980-10-05,5,24.008,ATL,,DET,W 43-28,,,,,,,,,,
22,1980,1980-10-12,6,24.015,ATL,,NYJ,L 7-14,,,,,,,,,,
23,1980,1980-10-19,7,24.022,ATL,@,NOR,W 41-14,2,-4,-2.00,0,1,9,9.00,0,0,0
24,1980,1980-10-26,8,24.029,ATL,,RAM,W 13-10,,,,,,,,,,
25,1980,1980-11-02,9,24.036,ATL,@,BUF,W 30-14,0,0,,0,2,37,18.50,0,0,0
26,1980,1980-11-09,10,24.043,ATL,@,STL,W 33-27,0,0,,0,1,12,12.00,0,0,0
27,1980,1980-11-16,11,24.050,ATL,,NOR,W 31-13,3,13,4.33,0,0,0,,0,0,0
28,1980,1980-11-23,12,24.057,ATL,,CHI,W 28-17,0,0,,0,1,23,23.00,0,0,0
29,1980,1980-11-30,13,24.064,ATL,,WAS,W 10-6,0,0,,0,1,11,11.00,0,0,0
30,1980,1980-12-07,14,24.071,ATL,@,PHI,W 20-17,0,0,,0,1,5,5.00,0,0,0
31,1980,1980-12-14,15,24.078,ATL,,SFO,W 35-10,1,-4,-4.00,0,0,0,,0,0,0
32,1980,1980-12-21,16,24.085,ATL,@,RAM,L 17-20,,,,,,,,,,
