ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1962,1962-09-30,3,22.132,DTX,,BUF,W 41-21,0,0,,0,1,9,9.00,0,0,0,,0,0,0,,0
2,1962,1962-10-07,4,22.139,DTX,@,SDG,L 28-32,0,0,,0,0,0,,0,1,21,21.00,0,0,0,,0
3,1962,1962-10-21,6,22.153,DTX,,NYT,W 20-17,0,0,,0,1,-13,-13.00,0,0,0,,0,0,0,,0
4,1962,1962-10-28,7,22.160,DTX,@,HOU,W 31-7,2,18,9.00,0,0,0,,0,0,0,,0,0,0,,0
5,1962,1962-11-04,8,22.167,DTX,,HOU,L 6-14,1,33,33.00,0,0,0,,0,0,0,,0,0,0,,0
6,1962,1962-12-02,12,22.195,DTX,@,BUF,L 14-23,0,0,,0,0,0,,0,1,4,4.00,0,0,0,,0
7,1962,1962-12-09,13,22.202,DTX,,DEN,W 17-10,0,0,,0,0,0,,0,0,0,,0,2,101,50.50,0
8,1962,1962-12-16,14,22.209,DTX,,SDG,W 26-17,2,13,6.50,0,1,5,5.00,0,2,52,26.00,0,1,38,38.00,0
