ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1970,1970-09-20,1,22.344,DEN,@,BUF,W 25-10,8,49,6.13,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,35,35.00,0,1,6
2,1970,1970-09-27,2,22.351,DEN,,PIT,W 16-13,2,6,3.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,18,18.00,0,0,0
3,1970,1970-10-04,3,22.358,DEN,,KAN,W 26-13,7,49,7.00,0,1,2,2.00,0,0,0,,0,0,0,,0,0,,,2,72,36.00,0,0,0
4,1970,1970-10-11,4,23.000,DEN,@,OAK,L 23-35,3,9,3.00,0,1,13,13.00,0,0,0,,0,0,0,,0,0,,,1,19,19.00,0,0,0
5,1970,1970-10-18,5,23.007,DEN,,ATL,W 24-10,6,2,0.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,17,17.00,0,0,0
6,1970,1970-10-25,6,23.014,DEN,@,SFO,L 14-19,6,14,2.33,0,3,49,16.33,0,1,1,100.00,13,0,0,118.7,0,0,13.00,13.00,2,40,20.00,0,0,0
7,1970,1970-11-01,7,23.021,DEN,,WAS,L 3-19,6,29,4.83,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,19,19.00,0,0,0
8,1970,1970-11-08,8,23.028,DEN,@,SDG,L 21-24,7,36,5.14,1,0,0,,0,0,0,,0,0,0,,0,0,,,2,59,29.50,0,1,6
9,1970,1970-11-15,9,23.035,DEN,,OAK,L 19-24,7,28,4.00,0,2,21,10.50,0,0,0,,0,0,0,,0,0,,,3,68,22.67,0,0,0
10,1970,1970-11-22,10,23.042,DEN,@,NOR,W 31-6,10,43,4.30,1,0,0,,0,1,2,50.00,8,0,0,60.4,0,0,4.00,4.00,1,20,20.00,0,1,6
11,1970,1970-11-29,11,23.049,DEN,@,HOU,L 21-31,4,9,2.25,1,1,18,18.00,0,1,1,100.00,25,0,0,118.7,0,0,25.00,25.00,2,60,30.00,0,1,6
12,1970,1970-12-06,12,23.056,DEN,@,KAN,L 0-16,1,6,6.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,93,23.25,0,0,0
13,1970,1970-12-13,13,23.063,DEN,,SDG,T 17-17,12,64,5.33,0,1,37,37.00,0,1,2,50.00,13,0,0,70.8,0,0,6.50,6.50,0,0,,0,0,0
14,1970,1970-12-20,14,23.070,DEN,,CLE,L 13-27,4,24,6.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
15,1971,1971-09-19,1,23.343,DEN,,MIA,T 10-10,8,25,3.13,0,5,31,6.20,0,1,1,100.00,48,0,0,118.7,0,0,48.00,48.00,0,0,,0,0,0
16,1971,1971-09-26,2,23.350,DEN,@,GNB,L 13-34,3,6,2.00,0,4,45,11.25,0,0,0,,0,0,0,,0,0,,,2,44,22.00,0,0,0
17,1971,1971-10-03,3,23.357,DEN,,KAN,L 3-16,11,34,3.09,0,1,7,7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
18,1971,1971-10-10,4,23.364,DEN,,OAK,L 16-27,6,45,7.50,0,3,57,19.00,0,0,0,,0,0,0,,0,0,,,1,27,27.00,0,0,0
19,1971,1971-10-17,5,24.006,DEN,,SDG,W 20-16,25,106,4.24,1,3,43,14.33,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,1,6
20,1971,1971-10-24,6,24.013,DEN,@,CLE,W 27-0,16,71,4.44,1,1,8,8.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
21,1971,1971-10-31,7,24.020,DEN,@,PHI,L 16-17,13,35,2.69,0,1,7,7.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
22,1971,1971-11-07,8,24.027,DEN,,DET,L 20-24,16,85,5.31,1,3,28,9.33,1,0,0,,0,0,0,,0,0,,,3,74,24.67,0,2,12
23,1971,1971-11-14,9,24.034,DEN,,CIN,L 10-24,6,18,3.00,0,2,19,9.50,0,0,0,,0,0,0,,0,0,,,1,15,15.00,0,0,0
24,1971,1971-11-21,10,24.041,DEN,@,KAN,L 10-28,12,35,2.92,0,7,37,5.29,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
25,1971,1971-11-28,11,24.048,DEN,@,PIT,W 22-10,13,38,2.92,0,3,30,10.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
26,1971,1971-12-05,12,24.055,DEN,,CHI,W 6-3,4,8,2.00,0,2,2,1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
27,1971,1971-12-12,13,24.062,DEN,@,SDG,L 17-45,6,27,4.50,0,2,39,19.50,0,0,0,,0,0,0,,0,0,,,1,27,27.00,0,0,0
28,1972,1972-09-17,1,24.342,DEN,,HOU,W 30-17,2,6,3.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,13,13.00,0,0,0
29,1972,1972-10-01,3,24.356,DEN,,KAN,L 24-45,8,48,6.00,1,1,0,0.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,1,6
30,1972,1972-10-08,4,24.363,DEN,@,CIN,L 10-21,9,48,5.33,0,2,47,23.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
31,1972,1972-10-15,5,25.004,DEN,,MIN,L 20-23,14,58,4.14,0,4,18,4.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
32,1972,1972-10-22,6,25.011,DEN,@,OAK,W 30-23,8,3,0.38,0,2,11,5.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
33,1972,1972-10-29,7,25.018,DEN,,CLE,L 20-27,8,67,8.38,0,7,86,12.29,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
34,1972,1972-11-05,8,25.025,DEN,@,NYG,L 17-29,8,35,4.38,0,2,14,7.00,0,1,2,50.00,14,1,0,112.5,0,0,7.00,17.00,0,0,,0,0,0
35,1972,1972-11-12,9,25.032,DEN,@,RAM,W 16-10,14,53,3.79,0,4,33,8.25,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
36,1972,1972-11-19,10,25.039,DEN,,OAK,L 20-37,1,1,1.00,0,1,6,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
37,1973,1973-09-16,1,25.340,DEN,,CIN,W 28-10,,,,,,,,,,,,,,,,,,,,,,,,,
38,1973,1973-09-23,2,25.347,DEN,,SFO,L 34-36,6,26,4.33,0,0,0,,0,1,1,100.00,28,0,0,118.7,0,0,28.00,28.00,0,0,,0,0,0
39,1973,1973-09-30,3,25.354,DEN,,CHI,L 14-33,1,1,1.00,1,13,143,11.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
40,1973,1973-10-07,4,25.361,DEN,@,KAN,L 14-16,,,,,,,,,,,,,,,,,,,,,,,,,
41,1973,1973-10-14,5,26.003,DEN,@,HOU,W 48-20,7,27,3.86,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
42,1973,1973-10-22,6,26.011,DEN,,OAK,T 23-23,0,0,,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
43,1973,1973-10-28,7,26.017,DEN,@,NYJ,W 40-28,,,,,,,,,,,,,,,,,,,,,,,,,
44,1973,1973-11-04,8,26.024,DEN,@,STL,T 17-17,1,-5,-5.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
45,1973,1973-11-11,9,26.031,DEN,,SDG,W 30-19,,,,,,,,,,,,,,,,,,,,,,,,,
46,1973,1973-12-02,12,26.052,DEN,,DAL,L 10-22,,,,,,,,,,,,,,,,,,,,,,,,,
47,1973,1973-12-09,13,26.059,DEN,@,SDG,W 42-28,4,12,3.00,0,2,10,5.00,0,1,1,100.00,19,0,0,118.7,0,0,19.00,19.00,0,0,,0,0,0
48,1973,1973-12-16,14,26.066,DEN,@,OAK,L 17-21,,,,,,,,,,,,,,,,,,,,,,,,,
49,1975,1975-10-26,6,28.015,NWE,,SFO,W 24-16,,,,,,,,,,,,,,,,,,,,,,,,,
50,1975,1975-11-02,7,28.022,NWE,@,STL,L 17-24,1,1,1.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
51,1975,1975-11-09,8,28.029,NWE,@,SDG,W 33-19,,,,,,,,,,,,,,,,,,,,,,,,,
52,1975,1975-11-16,9,28.036,NWE,,DAL,L 31-34,,,,,,,,,,,,,,,,,,,,,,,,,
53,1975,1975-11-23,10,28.043,NWE,@,BUF,L 31-45,,,,,,,,,,,,,,,,,,,,,,,,,
54,1975,1975-12-21,14,28.071,WAS,,PHI,L 3-26,0,0,,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
