ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1965,1965-10-17,6,22.224,SDG,@,BOS,T 13-13,0,0,,0,0,0,0,7,279,39.86,0
2,1965,1965-10-23,7,22.230,SDG,@,NYJ,W 34-9,0,0,,0,0,0,0,4,118,29.50,0
3,1965,1965-10-31,8,22.238,SDG,,BOS,L 6-22,0,0,,0,0,0,0,8,348,43.50,0
4,1965,1965-11-07,9,22.245,SDG,@,DEN,W 35-21,0,0,,0,1,11,0,5,205,41.00,0
5,1965,1965-11-14,10,22.252,SDG,@,KAN,L 7-31,0,0,,0,0,0,0,5,195,39.00,0
6,1966,1966-09-04,1,23.181,SDG,,BUF,W 27-7,0,0,,0,0,0,0,4,123,30.75,0
7,1966,1966-09-10,2,23.187,SDG,,BOS,W 24-0,0,0,,0,0,0,0,11,412,37.45,0
8,1966,1966-09-25,3,23.202,SDG,@,OAK,W 29-20,0,0,,0,1,7,0,5,166,33.20,0
9,1966,1966-10-02,4,23.209,SDG,,MIA,W 44-10,0,0,,0,0,0,0,4,143,35.75,0
10,1966,1966-10-08,5,23.215,SDG,@,NYJ,L 16-17,0,0,,0,0,0,0,4,159,39.75,0
11,1966,1966-10-16,6,23.223,SDG,@,BUF,T 17-17,0,0,,0,0,0,0,5,191,38.20,0
12,1966,1966-10-23,7,23.230,SDG,@,BOS,L 17-35,0,0,,0,0,0,0,6,199,33.17,0
13,1966,1966-10-30,8,23.237,SDG,,DEN,W 24-17,0,0,,0,0,0,0,2,90,45.00,0
14,1966,1966-11-06,9,23.244,SDG,@,KAN,L 14-24,0,0,,0,0,0,0,5,205,41.00,0
15,1966,1966-11-13,10,23.251,SDG,,OAK,L 19-41,1,-18,-18.00,0,0,0,0,2,83,41.50,0
16,1966,1966-11-27,11,23.265,SDG,@,DEN,L 17-20,0,0,,0,0,0,0,4,134,33.50,0
17,1966,1966-12-04,12,23.272,SDG,@,HOU,W 28-22,0,0,,0,0,0,0,7,247,35.29,0
18,1966,1966-12-11,13,23.279,SDG,,NYJ,W 42-27,0,0,,0,1,0,0,3,116,38.67,0
19,1966,1966-12-18,14,23.286,SDG,,KAN,L 17-27,1,32,32.00,0,0,0,0,4,176,44.00,0
20,1967,1967-09-09,1,24.186,SDG,,BOS,W 28-14,0,0,,0,1,3,0,5,153,30.60,0
21,1967,1967-09-24,2,24.201,SDG,,HOU,W 13-3,0,0,,0,0,0,0,4,146,36.50,0
22,1967,1967-10-01,3,24.208,SDG,@,BUF,W 37-17,0,0,,0,0,0,0,1,38,38.00,0
23,1967,1967-10-08,4,24.215,SDG,,BOS,T 31-31,0,0,,0,0,0,0,6,229,38.17,0
24,1967,1967-10-15,5,24.222,SDG,,KAN,W 45-31,1,-13,-13.00,0,1,23,0,2,78,39.00,0
