ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1993,1993-10-31,7,22.344,NYG,,NYJ,L 6-10,,,0,0,,0,0.0%,,,,,,,,,
2,1993,1993-11-07,8,22.351,NYG,@,DAL,L 9-31,,,0,0,,0,0.0%,,,,,,,,,
3,1993,1993-11-14,9,22.358,NYG,,WAS,W 20-6,,,0,0,,0,0.0%,,,,,,,,,
4,1993,1993-11-21,10,23.000,NYG,@,PHI,W 7-3,,,0,0,,0,0.0%,,,,,,,,,
5,1993,1993-11-28,11,23.007,NYG,,PHO,W 19-17,,4,1,6,6.00,0,25.0%,1.50,0,0,,0,0,0,,0
6,1993,1993-12-12,13,23.021,NYG,,IND,W 20-6,,1,0,0,,0,0.0%,0.00,,,,,,,,
7,1993,1993-12-20,14,23.029,NYG,@,NOR,W 24-14,,,0,0,,0,0.0%,,,,,,,,,
8,1995,1995-09-03,1,24.286,GNB,,STL,L 14-17,,,,,,,0.0%,,,,,,,,,
9,1995,1995-09-11,2,24.294,GNB,@,CHI,W 27-24,,,,,,,0.0%,,,,,,,,,
10,1995,1995-09-17,3,24.300,GNB,,NYG,W 14-6,,,,,,,0.0%,,,,,,,,,
11,1995,1995-09-24,4,24.307,GNB,@,JAX,W 24-14,,,,,,,0.0%,,,,,,,,,
12,1995,1995-10-08,5,24.321,GNB,@,DAL,L 24-34,,,,,,,0.0%,,,,,,,,,
13,1995,1995-10-15,6,24.328,GNB,,DET,W 30-21,,,,,,,0.0%,,,,,,,,,
14,1995,1995-10-22,7,24.335,GNB,,MIN,W 38-21,,,,,,,0.0%,,,,,,,,,
15,1995,1995-10-29,8,24.342,GNB,@,DET,L 16-24,,,,,,,0.0%,,,,,,,,,
16,1995,1995-11-26,12,25.005,GNB,,TAM,W 35-13,,,,,,,0.0%,,,,,,,,,
17,1995,1995-12-03,13,25.012,GNB,,CIN,W 24-10,,,,,,,0.0%,,,,,,,,,
18,1995,1995-12-10,14,25.019,GNB,@,TAM,L 10-13,,,,,,,0.0%,,,,,,,,,
19,1995,1995-12-16,15,25.025,GNB,@,NOR,W 34-23,,,,,,,0.0%,,,,,,,,,
