ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2005,2005-09-11,1,22.315,SFO,,STL,W 28-25,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
2,2005,2005-09-18,2,22.322,SFO,@,PHI,L 3-42,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,,
3,2005,2005-10-02,4,22.336,SFO,@,ARI,L 14-31,*,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
4,2005,2005-10-09,5,22.343,SFO,,IND,L 3-28,,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0,0,0.0,,
5,2005,2005-10-23,6,22.357,SFO,@,WAS,L 17-52,*,1,1,24,24.00,0,100.0%,24.00,0,0,,0,0,0,0.0,,
6,2005,2005-10-30,7,22.364,SFO,,TAM,W 15-10,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,0.0,,
7,2005,2005-11-06,8,23.006,SFO,,NYG,L 6-24,*,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
8,2005,2005-11-13,9,23.013,SFO,@,CHI,L 9-17,*,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,,
9,2005,2005-11-20,10,23.020,SFO,,SEA,L 25-27,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,0.0,,
10,2005,2005-11-27,11,23.027,SFO,@,TEN,L 22-33,,2,1,20,20.00,0,50.0%,10.00,0,0,,0,0,0,0.0,,
11,2005,2005-12-04,12,23.034,SFO,,ARI,L 10-17,,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
12,2005,2005-12-11,13,23.041,SFO,@,SEA,L 3-41,,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
13,2005,2005-12-18,14,23.048,SFO,@,JAX,L 9-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
14,2005,2005-12-24,15,23.054,SFO,@,STL,W 24-20,*,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
15,2005,2006-01-01,16,23.062,SFO,,HOU,W 20-17,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,,
16,2006,2006-09-10,1,23.314,SFO,@,ARI,L 27-34,,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
17,2006,2006-09-17,2,23.321,SFO,,STL,W 20-13,,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
18,2006,2006-09-24,3,23.328,SFO,,PHI,L 24-38,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
19,2006,2006-10-01,4,23.335,SFO,@,KAN,L 0-41,*,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
20,2006,2006-10-08,5,23.342,SFO,,OAK,W 34-20,*,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
21,2006,2006-10-15,6,23.349,SFO,,SDG,L 19-48,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,,
22,2006,2006-10-29,7,23.363,SFO,@,CHI,L 10-41,*,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
23,2006,2006-11-05,8,24.005,SFO,,MIN,W 9-3,,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
24,2006,2006-11-12,9,24.012,SFO,@,DET,W 19-13,*,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
25,2006,2006-11-19,10,24.019,SFO,,SEA,W 20-14,,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
26,2006,2006-11-26,11,24.026,SFO,@,STL,L 17-20,,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
27,2006,2006-12-03,12,24.033,SFO,@,NOR,L 10-34,,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
28,2006,2006-12-10,13,24.040,SFO,,GNB,L 19-30,,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
29,2006,2006-12-14,14,24.044,SFO,@,SEA,W 24-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
30,2006,2006-12-24,15,24.054,SFO,,ARI,L 20-26,,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
