ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1984,1984-09-02,1,22.278,TAM,@,CHI,L 14-34,,,,,,,,,,,,,,,,,,,,,,
2,1984,1984-09-09,2,22.285,TAM,@,NOR,L 13-17,,,,,,,,,,,,,,,,,,,,,,
3,1984,1984-09-16,3,22.292,TAM,,DET,W 21-17,,,,,,,,,,,,,,,,,,,,,,
4,1984,1984-09-23,4,22.299,TAM,@,NYG,L 14-17,,,,,,,,,,,,,,,,,,,,,,
5,1984,1984-09-30,5,22.306,TAM,,GNB,W 30-27,,,,,,,,,,,,,,,,,,,,,,
6,1984,1984-10-07,6,22.313,TAM,,MIN,W 35-31,,,,,,,,,,,,,,,,,,,,,,
7,1984,1984-10-14,7,22.320,TAM,@,DET,L 7-13,,,,,,,,,,,,,,,,,,,,,,
8,1984,1984-10-21,8,22.327,TAM,,CHI,L 9-44,,,,,,,,,,,,,,,,,,,,,,
9,1984,1984-11-04,10,22.341,TAM,@,MIN,L 24-27,,,,,,,,,,,,,,,,,,,,,,
10,1984,1984-11-11,11,22.348,TAM,,NYG,W 20-17,,,,,,,,,,,,,,,,,,,,,,
11,1986,1986-09-21,3,24.296,IND,,RAM,L 7-24,,4,10,40.00,90,0,0,72.9,4,33,9.00,9.00,1,9,9.00,0,0,0,0,0,,0
12,1986,1986-09-28,4,24.303,IND,,NYJ,L 7-26,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,5,190,38.00,0
13,1986,1986-11-23,12,24.359,IND,@,HOU,L 17-31,,7,15,46.67,146,2,0,121.1,1,9,9.73,12.40,2,11,5.50,0,0,0,0,0,,0
14,1987,1987-09-13,1,25.288,IND,,CIN,L 21-23,,0,0,,0,0,0,,0,,,,1,8,8.00,0,0,0,0,0,,0
15,1987,1987-10-11,4,25.316,IND,,NYJ,W 6-0,,0,3,0.00,0,0,0,39.6,0,0,0.00,0.00,1,-1,-1.00,0,0,0,7,242,34.57,0
16,1987,1987-10-18,5,25.323,IND,@,PIT,L 7-21,*,17,30,56.67,195,1,3,47.9,0,0,6.50,2.67,2,23,11.50,0,0,0,5,198,39.60,0
17,1987,1987-11-08,8,25.344,IND,,SDG,L 13-16,,0,0,,0,0,0,,0,,,,0,0,,0,,,0,0,,
18,1988,1988-11-13,11,26.350,GNB,,IND,L 13-20,,,,,,,,,,,,,,,,,,,,,,
19,1990,1990-12-09,13,29.010,GNB,,SEA,L 14-20,,23,31,74.19,198,2,0,112.0,3,24,6.39,7.68,1,4,4.00,0,0,0,0,0,,0
20,1990,1990-12-16,14,29.017,GNB,@,PHI,L 0-31,,8,18,44.44,67,0,1,31.5,4,33,3.72,1.22,1,4,4.00,0,0,0,0,0,,0
21,1990,1990-12-22,15,29.023,GNB,,DET,L 17-24,*,20,36,55.56,239,0,1,64.5,1,5,6.64,5.39,3,1,0.33,1,1,6,0,0,,0
22,1991,1991-09-01,1,29.276,GNB,,PHI,L 3-20,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,
23,1991,1991-09-15,3,29.290,GNB,,TAM,W 15-13,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,
24,1991,1991-09-29,5,29.304,GNB,@,RAM,L 21-23,,11,15,73.33,149,2,0,144.2,0,0,9.93,12.60,2,29,14.50,0,0,0,0,0,,0
25,1991,1991-10-06,6,29.311,GNB,,DAL,L 17-20,*,18,35,51.43,212,1,2,55.9,2,13,6.06,4.06,2,17,8.50,0,0,0,0,0,,0
