ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1987,1987-09-13,1,27.258,RAI,@,GNB,W 20-0,,2,33,16.50,0,,,0,0,,0,0,0
2,1987,1987-09-20,2,27.265,RAI,,DET,W 27-7,,2,24,12.00,0,,,0,0,,0,0,0
3,1987,1987-10-18,5,27.293,RAI,,SDG,L 17-23,,4,94,23.50,0,,,0,0,,0,0,0
4,1987,1987-10-25,6,27.300,RAI,,SEA,L 13-35,,3,33,11.00,0,,,0,0,,0,0,0
5,1987,1987-11-01,7,27.307,RAI,@,NWE,L 23-26,,1,23,23.00,0,,,0,0,,0,0,0
6,1987,1987-11-08,8,27.314,RAI,@,MIN,L 20-31,,1,13,13.00,0,,,0,0,,0,0,0
7,1987,1987-11-15,9,27.321,RAI,@,SDG,L 14-16,,1,16,16.00,0,,,0,0,,0,0,0
8,1988,1988-09-04,1,28.250,RAI,,SDG,W 24-13,,1,16,16.00,0,,,0,0,,0,0,0
9,1988,1988-09-11,2,28.257,RAI,@,HOU,L 35-38,,,,,,,,,,,,,
10,1988,1988-09-18,3,28.264,RAI,,RAM,L 17-22,,3,58,19.33,0,,,0,0,,0,0,0
11,1988,1988-09-26,4,28.272,RAI,@,DEN,W 30-27,,1,48,48.00,0,,,0,0,,0,0,0
12,1988,1988-10-02,5,28.278,RAI,,CIN,L 21-45,,4,104,26.00,1,,,0,0,,0,1,6
13,1988,1988-10-09,6,28.285,RAI,,MIA,L 14-24,,3,55,18.33,1,,,0,0,,0,1,6
14,1988,1988-10-16,7,28.292,RAI,@,KAN,W 27-17,,2,48,24.00,0,,,0,0,,0,0,0
15,1988,1988-10-23,8,28.299,RAI,@,NOR,L 6-20,,4,155,38.75,1,,,1,9,9.00,0,1,6
16,1988,1988-10-30,9,28.306,RAI,,KAN,W 17-10,,2,53,26.50,0,,,0,0,,0,0,0
17,1988,1988-11-06,10,28.313,RAI,@,SDG,W 13-3,,2,61,30.50,0,,,0,0,,0,0,0
18,1988,1988-11-13,11,28.320,RAI,@,SFO,W 9-3,,1,23,23.00,0,,,0,0,,0,0,0
19,1988,1988-11-20,12,28.327,RAI,,ATL,L 6-12,,1,12,12.00,0,,,0,0,,0,0,0
20,1988,1988-11-28,13,28.335,RAI,@,SEA,L 27-35,,1,18,18.00,0,,,0,0,,0,0,0
21,1988,1988-12-04,14,28.341,RAI,,DEN,W 21-20,,1,15,15.00,0,,,0,0,,0,0,0
22,1988,1988-12-11,15,28.348,RAI,@,BUF,L 21-37,,1,26,26.00,0,,,0,0,,0,0,0
23,1988,1988-12-18,16,28.355,RAI,,SEA,L 37-43,,4,113,28.25,1,,,0,0,,0,1,6
24,1989,1989-09-10,1,29.255,RAI,,SDG,W 40-14,,4,65,16.25,1,,,2,16,8.00,0,1,6
25,1989,1989-09-17,2,29.262,RAI,@,KAN,L 19-24,,2,44,22.00,1,,,0,0,,0,1,6
26,1989,1989-09-24,3,29.269,RAI,@,DEN,L 21-31,,4,124,31.00,1,,,0,0,,0,1,6
27,1989,1989-10-01,4,29.276,RAI,,SEA,L 20-24,,7,113,16.14,1,,,0,0,,0,1,6
28,1989,1989-10-09,5,29.284,RAI,@,NYJ,W 14-7,,1,73,73.00,1,,,0,0,,0,1,6
29,1989,1989-10-15,6,29.290,RAI,,KAN,W 20-14,,1,15,15.00,0,,,0,0,,0,0,0
30,1989,1989-10-22,7,29.297,RAI,@,PHI,L 7-10,,2,25,12.50,0,,,0,0,,0,0,0
31,1989,1989-10-29,8,29.304,RAI,,WAS,W 37-24,,4,58,14.50,2,,,0,0,,0,2,12
32,1989,1989-11-05,9,29.311,RAI,,CIN,W 28-7,,2,18,9.00,0,,,0,0,,0,0,0
33,1989,1989-11-12,10,29.318,RAI,@,SDG,L 12-14,,3,49,16.33,0,,,0,0,,0,0,0
34,1989,1989-11-19,11,29.325,RAI,@,HOU,L 7-23,,5,102,20.40,0,,,0,0,,0,0,0
35,1989,1989-11-26,12,29.332,RAI,,NWE,W 24-21,,2,16,8.00,1,,,0,0,,0,1,6
36,1989,1989-12-03,13,29.339,RAI,,DEN,W 16-13,,3,50,16.67,0,,,0,0,,0,0,0
37,1989,1989-12-10,14,29.346,RAI,,PHO,W 16-14,,5,119,23.80,0,,,0,0,,0,0,0
38,1989,1989-12-17,15,29.353,RAI,@,SEA,L 17-23,,6,73,12.17,0,,,0,0,,0,0,0
39,1989,1989-12-24,16,29.360,RAI,@,NYG,L 17-34,,6,125,20.83,1,,,0,0,,0,1,6
40,1990,1990-09-09,1,30.254,RAI,,DEN,W 14-9,,3,37,12.33,0,,,0,0,,0,0,0
41,1990,1990-09-16,2,30.261,RAI,@,SEA,W 17-13,,4,93,23.25,1,,,0,0,,0,1,6
42,1990,1990-09-23,3,30.268,RAI,,PIT,W 20-3,,5,130,26.00,1,,,0,0,,0,1,6
43,1990,1990-09-30,4,30.275,RAI,,CHI,W 24-10,,3,57,19.00,0,,,1,9,9.00,0,0,0
44,1990,1990-10-07,5,30.282,RAI,@,BUF,L 24-38,,8,134,16.75,0,,,0,0,,0,0,0
45,1990,1990-10-14,6,30.289,RAI,,SEA,W 24-17,,5,71,14.20,1,,,1,2,2.00,0,1,6
46,1990,1990-10-21,7,30.296,RAI,@,SDG,W 24-9,,2,26,13.00,0,,,0,0,,0,0,0
47,1990,1990-11-04,8,30.310,RAI,@,KAN,L 7-9,,3,34,11.33,0,,,0,0,,0,0,0
48,1990,1990-11-11,9,30.317,RAI,,GNB,L 16-29,,3,45,15.00,0,,,0,0,,0,0,0
49,1990,1990-11-19,10,30.325,RAI,@,MIA,W 13-10,,1,3,3.00,0,,,0,0,,0,0,0
50,1990,1990-11-25,11,30.331,RAI,,KAN,L 24-27,,1,18,18.00,0,,,0,0,,0,0,0
51,1990,1990-12-02,12,30.338,RAI,@,DEN,W 23-20,,3,30,10.00,0,,,0,0,,0,0,0
52,1990,1990-12-10,13,30.346,RAI,@,DET,W 38-31,,3,51,17.00,1,,,0,0,,0,1,6
53,1990,1990-12-16,14,30.352,RAI,,CIN,W 24-7,,1,32,32.00,0,,,1,-1,-1.00,0,0,0
54,1990,1990-12-22,15,30.358,RAI,@,MIN,W 28-24,,4,41,10.25,1,,,0,0,,0,1,6
55,1990,1990-12-30,16,31.001,RAI,,SDG,W 17-12,,3,37,12.33,0,,,0,0,,0,0,0
56,1991,1991-09-01,1,31.246,RAI,@,HOU,L 17-47,,1,7,7.00,0,,,0,0,,0,0,0
57,1991,1991-09-08,2,31.253,RAI,,DEN,W 16-13,,3,56,18.67,0,,,0,0,,0,0,0
58,1991,1991-09-15,3,31.260,RAI,,IND,W 16-0,,7,90,12.86,1,,,0,0,,0,1,6
59,1991,1991-09-22,4,31.267,RAI,@,ATL,L 17-21,,3,57,19.00,0,,,0,0,,0,0,0
60,1991,1991-09-29,5,31.274,RAI,,SFO,W 12-6,,3,26,8.67,0,,,0,0,,0,0,0
61,1991,1991-10-06,6,31.281,RAI,,SDG,L 13-21,,4,43,10.75,0,,,0,0,,0,0,0
62,1991,1991-10-13,7,31.288,RAI,@,SEA,W 23-20,,9,96,10.67,0,,,0,0,,0,0,0
63,1991,1991-10-20,8,31.295,RAI,,RAM,W 20-17,,3,35,11.67,0,,,0,0,,0,0,0
64,1991,1991-10-28,9,31.303,RAI,@,KAN,L 21-24,,3,107,35.67,0,,,0,0,,0,0,0
65,1991,1991-11-10,10,31.316,RAI,@,DEN,W 17-16,,1,27,27.00,0,,,0,0,,0,0,0
