ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1980,1980-09-07,1,24.054,ATL,@,MIN,L 23-24,4,88,22.00,0,2,31,15.50,0
2,1980,1980-09-14,2,24.061,ATL,@,NWE,W 37-21,4,69,17.25,0,5,74,14.80,0
3,1980,1980-09-21,3,24.068,ATL,,MIA,L 17-20,5,141,28.20,0,3,24,8.00,0
4,1980,1980-09-28,4,24.075,ATL,@,SFO,W 20-17,1,23,23.00,0,2,35,17.50,0
5,1980,1980-10-05,5,24.082,ATL,,DET,W 43-28,4,37,9.25,0,3,22,7.33,0
6,1980,1980-10-12,6,24.089,ATL,,NYJ,L 7-14,2,52,26.00,0,4,17,4.25,0
7,1980,1980-10-19,7,24.096,ATL,@,NOR,W 41-14,2,44,22.00,0,3,30,10.00,0
8,1980,1980-10-26,8,24.103,ATL,,RAM,W 13-10,3,58,19.33,0,5,29,5.80,0
9,1981,1981-09-06,1,25.053,ATL,,NOR,W 27-0,1,22,22.00,0,2,4,2.00,0
10,1981,1981-09-13,2,25.060,ATL,@,GNB,W 31-17,3,74,24.67,0,2,61,30.50,0
11,1981,1981-09-20,3,25.067,ATL,,SFO,W 34-17,2,55,27.50,0,1,9,9.00,0
12,1981,1981-09-27,4,25.074,ATL,@,CLE,L 17-28,2,44,22.00,0,2,2,1.00,0
13,1981,1981-10-05,5,25.082,ATL,@,PHI,L 13-16,3,58,19.33,0,3,8,2.67,0
14,1981,1981-10-11,6,25.088,ATL,,RAM,L 35-37,7,156,22.29,0,0,0,,0
15,1981,1981-10-18,7,25.095,ATL,,STL,W 41-20,4,113,28.25,0,0,0,,0
16,1981,1981-11-01,9,25.109,ATL,@,NOR,W 41-10,0,0,,0,0,0,,0
17,1981,1981-11-08,10,25.116,ATL,@,SFO,L 14-17,1,26,26.00,0,1,8,8.00,0
18,1981,1981-11-15,11,25.123,ATL,,PIT,L 20-34,5,157,31.40,0,1,7,7.00,0
19,1981,1981-11-23,12,25.131,ATL,,MIN,W 31-30,3,54,18.00,0,0,0,,0
20,1981,1981-11-29,13,25.137,ATL,@,HOU,W 31-27,3,68,22.67,0,0,0,,0
21,1981,1981-12-06,14,25.144,ATL,@,TAM,L 23-24,5,116,23.20,0,0,0,,0
22,1981,1981-12-14,15,25.152,ATL,@,RAM,L 16-21,2,68,34.00,0,0,0,,0
23,1981,1981-12-20,16,25.158,ATL,,CIN,L 28-30,6,132,22.00,0,0,0,,0
24,1987,1987-10-18,5,31.095,NYJ,,MIA,W 37-31,4,60,15.00,0,2,9,4.50,0
