ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2011,2011-09-11,1,22.033,WAS,,NYG,W 28-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0.0,0,0
2,2011,2011-09-18,2,22.040,WAS,,ARI,W 22-21,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,1
3,2011,2011-09-26,3,22.048,WAS,@,DAL,L 16-18,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
4,2011,2011-10-02,4,22.054,WAS,@,STL,W 17-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
5,2011,2011-10-16,5,22.068,WAS,,PHI,L 13-20,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
6,2011,2011-10-23,6,22.075,WAS,@,CAR,L 20-33,*,2,2,25,12.50,0,100.0%,12.50,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
7,2011,2011-10-30,7,22.082,WAS,@,BUF,L 0-23,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
8,2011,2011-11-06,8,22.089,WAS,,SFO,L 11-19,,1,0,0,,0,0.0%,0.00,0,0,,0,1,15,15.00,0,0,0,,0,0,0,0.0,0,0
9,2011,2011-12-04,12,22.117,WAS,,NYJ,L 19-34,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,1
10,2011,2011-12-11,13,22.124,WAS,,NWE,L 27-34,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
11,2011,2011-12-18,14,22.131,WAS,@,NYG,W 23-10,,0,0,0,,0,0.0%,,1,7,7.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
12,2011,2011-12-24,15,22.137,WAS,,MIN,L 26-33,*,,,,,,0.0%,,,,,,,,,,,,,,,,,,
13,2011,2012-01-01,16,22.145,WAS,@,PHI,L 10-34,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
14,2012,2012-09-09,1,23.031,WAS,@,NOR,W 40-32,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
15,2012,2012-09-16,2,23.038,WAS,@,STL,L 28-31,*,3,3,13,4.33,0,100.0%,4.33,0,0,,0,1,0,0.00,0,0,0,,0,0,0,0.0,0,0
16,2012,2012-09-23,3,23.045,WAS,,CIN,L 31-38,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
17,2012,2012-09-30,4,23.052,WAS,@,TAM,W 24-22,,2,1,30,30.00,0,50.0%,15.00,0,0,,0,2,42,21.00,0,0,0,,0,0,0,0.0,0,0
18,2012,2012-10-07,5,23.059,WAS,,ATL,L 17-24,*,,,,,,0.0%,,,,,,,,,,,,,,,,,,
19,2012,2012-10-14,6,23.066,WAS,,MIN,W 38-26,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
20,2012,2012-10-21,7,23.073,WAS,@,NYG,L 23-27,,1,0,0,,0,0.0%,0.00,1,-1,-1.00,0,1,17,17.00,0,0,0,,0,0,0,0.0,0,0
21,2012,2012-10-28,8,23.080,WAS,@,PIT,L 12-27,,1,1,37,37.00,0,100.0%,37.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
22,2012,2012-11-04,9,23.087,WAS,,CAR,L 13-21,,2,1,22,22.00,0,50.0%,11.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
23,2012,2012-11-18,10,23.101,WAS,,PHI,W 31-6,*,,,,,,0.0%,,,,,,,,,,,,,,,,,,
24,2012,2012-11-22,11,23.105,WAS,@,DAL,W 38-31,,1,1,29,29.00,1,100.0%,29.00,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0
25,2012,2012-12-03,12,23.116,WAS,,NYG,W 17-16,*,1,0,0,,0,0.0%,0.00,0,0,,0,1,39,39.00,0,0,0,,0,0,0,0.0,0,0
26,2012,2012-12-09,13,23.122,WAS,,BAL,W 31-28,,1,0,0,,0,0.0%,0.00,0,0,,0,2,37,18.50,0,0,0,,0,0,0,0.0,0,0
27,2012,2012-12-16,14,23.129,WAS,@,CLE,W 38-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
28,2012,2012-12-23,15,23.136,WAS,@,PHI,W 27-20,,2,1,21,21.00,0,50.0%,10.50,0,0,,0,3,56,18.67,0,0,0,,0,0,0,0.0,0,0
29,2012,2012-12-30,16,23.143,WAS,,DAL,W 28-18,,1,0,0,,0,0.0%,0.00,0,0,,0,3,92,30.67,0,0,0,,0,0,0,0.0,0,0
30,2013,2013-09-09,1,24.031,WAS,,PHI,L 27-33,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
31,2013,2013-09-15,2,24.037,WAS,@,GNB,L 20-38,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,
32,2013,2013-09-22,3,24.044,WAS,,DET,L 20-27,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
33,2013,2013-09-29,4,24.051,WAS,@,OAK,W 24-14,,3,2,20,10.00,0,66.7%,6.67,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,0
34,2013,2013-10-13,5,24.065,WAS,@,DAL,L 16-31,,0,0,0,,0,0.0%,,0,0,,0,1,9,9.00,0,0,0,,0,0,0,0.0,0,0
35,2013,2013-10-20,6,24.072,WAS,,CHI,W 45-41,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,2
36,2013,2013-10-27,7,24.079,WAS,@,DEN,L 21-45,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
37,2013,2013-11-03,8,24.086,WAS,,SDG,W 30-24,*,2,1,6,6.00,0,50.0%,3.00,0,0,,0,1,24,24.00,0,0,0,,0,0,0,0.0,0,0
38,2013,2013-11-07,9,24.090,WAS,@,MIN,L 27-34,,0,0,0,,0,0.0%,,0,0,,0,3,74,24.67,0,0,0,,0,0,0,0.0,0,0
