ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks
1,1975,1975-09-21,1,22.247,HOU,@,NWE,W 7-0,,,,,,,,,,,,,
2,1975,1975-09-28,2,22.254,HOU,,SDG,W 33-17,,,,,,,,,,,,,
3,1975,1975-10-05,3,22.261,HOU,,CIN,L 19-21,,,,,,,,,,,,,
4,1975,1975-10-12,4,22.268,HOU,@,CLE,W 40-10,,,,,,,,,,,,,
5,1975,1975-10-19,5,22.275,HOU,,WAS,W 13-10,,,,,,,,,,,,,
6,1975,1975-10-26,6,22.282,HOU,,DET,W 24-8,,,,,,,,,,,,,
7,1975,1975-11-02,7,22.289,HOU,@,KAN,W 17-13,,,,,,,,,,,,,
8,1975,1975-11-09,8,22.296,HOU,@,PIT,L 17-24,,,,,,,,,,,,,
9,1975,1975-11-16,9,22.303,HOU,,MIA,W 20-19,,,,,,,,,,,,,
10,1975,1975-11-24,10,22.311,HOU,,PIT,L 9-32,,,,,,,,,,,,,
11,1975,1975-11-30,11,22.317,HOU,@,CIN,L 19-23,,,,,,,,,,,,,
12,1975,1975-12-07,12,22.324,HOU,@,SFO,W 27-13,1,-5,-5.00,0,,,,,,,0,0,0.0
13,1975,1975-12-14,13,22.331,HOU,@,OAK,W 27-26,,,,,,,,,,,,,
14,1975,1975-12-21,14,22.338,HOU,,CLE,W 21-10,,,,,,,,,,,,,
15,1976,1976-09-12,1,23.239,HOU,,TAM,W 20-0,,,,,,,,,,,,,
16,1976,1976-09-19,2,23.246,HOU,@,BUF,W 13-3,,,,,,,,,,,,,
17,1976,1976-09-26,3,23.253,HOU,,OAK,L 13-14,,,,,,,,,,,,,
18,1976,1976-10-03,4,23.260,HOU,@,NOR,W 31-26,,,,,,,,,,,,,
19,1976,1976-10-10,5,23.267,HOU,,DEN,W 17-3,,,,,,,,,,,,,
20,1976,1976-10-17,6,23.274,HOU,@,SDG,L 27-30,,,,,,,,,,,,,
21,1976,1976-10-24,7,23.281,HOU,,CIN,L 7-27,,,,,,,,,,,,,
22,1976,1976-11-01,8,23.289,HOU,@,BAL,L 14-38,,,,,,,,,,,,,
23,1976,1976-11-07,9,23.295,HOU,,CLE,L 7-21,,,,,,,,,,,,,
24,1976,1976-11-14,10,23.302,HOU,@,CIN,L 27-31,,,,,,,,,,,,,
25,1976,1976-11-21,11,23.309,HOU,@,PIT,L 16-32,,,,,,,,,,,,,
26,1976,1976-11-28,12,23.316,HOU,,ATL,W 20-14,,,,,,,,,,,,,
27,1976,1976-12-05,13,23.323,HOU,@,CLE,L 10-13,,,,,,,,,,,,,
28,1976,1976-12-11,14,23.329,HOU,,PIT,L 0-21,,,,,,,,,,,,,
29,1977,1977-09-18,1,24.244,HOU,,NYJ,W 20-0,,,,,,,,,,,,,
30,1977,1977-09-25,2,24.251,HOU,@,GNB,W 16-10,,,,,,,,,,,,,
31,1977,1977-10-02,3,24.258,HOU,@,MIA,L 7-27,,,,,,,,,,,,,
32,1977,1977-10-09,4,24.265,HOU,,PIT,W 27-10,,,,,,,,,,,,,
33,1977,1977-10-16,5,24.272,HOU,,CLE,L 23-24,,,,,,,,,,,,,
34,1977,1977-10-23,6,24.279,HOU,@,PIT,L 10-27,,,,,,,,,,,,,
35,1977,1977-10-30,7,24.286,HOU,@,CIN,L 10-13,,,,,,,,,,,,,
36,1977,1977-11-06,8,24.293,HOU,,CHI,W 47-0,,,,,,,,,,,,,
37,1977,1977-11-13,9,24.300,HOU,@,OAK,L 29-34,,,,,,,,,,,,,
38,1977,1977-11-20,10,24.307,HOU,@,SEA,W 22-10,,,,,,,,,,,,,
39,1977,1977-11-27,11,24.314,HOU,,KAN,W 34-20,1,9,9.00,0,,,,,,,0,0,0.0
40,1977,1977-12-04,12,24.321,HOU,,DEN,L 14-24,,,,,,,,,,,,,
41,1977,1977-12-11,13,24.328,HOU,@,CLE,W 19-15,,,,,,,,,,,,,
42,1977,1977-12-18,14,24.335,HOU,,CIN,W 21-16,,,,,,,,,,,,,
43,1978,1978-09-03,1,25.229,HOU,@,ATL,L 14-20,,,,,,,,,,,,,
44,1978,1978-09-10,2,25.236,HOU,@,KAN,W 20-17,,,,,,,,,,,,,
45,1978,1978-09-17,3,25.243,HOU,,SFO,W 20-19,,,,,,,,,,,,,
46,1978,1978-09-24,4,25.250,HOU,,RAM,L 6-10,,,,,,,,,,,,,
47,1978,1978-10-01,5,25.257,HOU,@,CLE,W 16-13,,,,,,,,,,,,,
48,1978,1978-10-08,6,25.264,HOU,@,OAK,L 17-21,,,,,,,,,,,,,
49,1978,1978-10-15,7,25.271,HOU,,BUF,W 17-10,,,,,,,,,,,,,
50,1978,1978-10-23,8,25.279,HOU,@,PIT,W 24-17,,,,,,,,,,,,,
51,1978,1978-10-29,9,25.285,HOU,@,CIN,L 13-28,,,,,,,,,,,,,
52,1978,1978-11-05,10,25.292,HOU,,CLE,W 14-10,,,,,,,,,,,,,
53,1978,1978-11-12,11,25.299,HOU,@,NWE,W 26-23,,,,,,,,,,,,,
54,1978,1978-11-20,12,25.307,HOU,,MIA,W 35-30,,,,,,,,,,,,,
55,1978,1978-11-26,13,25.313,HOU,,CIN,W 17-10,,,,,,,,,,,,,
56,1978,1978-12-03,14,25.320,HOU,,PIT,L 3-13,,,,,,,,,,,,,
57,1978,1978-12-10,15,25.327,HOU,@,NOR,W 17-12,,,,,,,,,,,,,
58,1978,1978-12-17,16,25.334,HOU,,SDG,L 24-45,,,,,,,,,,,,,
59,1979,1979-09-02,1,26.228,HOU,@,WAS,W 29-27,,,,,,,,,,,,,
60,1979,1979-09-09,2,26.235,HOU,@,PIT,L 7-38,,,,,,,,,,,,,
61,1979,1979-09-16,3,26.242,HOU,,KAN,W 20-6,,,,,,,,,,,,,
62,1979,1979-09-23,4,26.249,HOU,@,CIN,W 30-27,,,,,,,,,,,,,
63,1979,1979-09-30,5,26.256,HOU,,CLE,W 31-10,,,,,,,,,,,,,
64,1979,1979-10-07,6,26.263,HOU,,STL,L 17-24,,,,,,,,,,,,,
65,1979,1979-10-14,7,26.270,HOU,@,BAL,W 28-16,,,,,,,,,,,,,
66,1979,1979-10-21,8,26.277,HOU,@,SEA,L 14-34,,,,,,,,,,,,,
67,1979,1979-10-28,9,26.284,HOU,,NYJ,W 27-24,,,,,,,,,,,,,
68,1979,1979-11-05,10,26.292,HOU,@,MIA,W 9-6,,,,,,,,,,,,,
69,1979,1979-11-11,11,26.298,HOU,,OAK,W 31-17,,,,,,,,,,,,,
70,1979,1979-11-18,12,26.305,HOU,,CIN,W 42-21,,,,,,,,,,,,,
71,1979,1979-11-22,13,26.309,HOU,@,DAL,W 30-24,,,,,,,,,,,,,
72,1979,1979-12-02,14,26.319,HOU,@,CLE,L 7-14,,,,,,,,,,,,,
73,1979,1979-12-10,15,26.327,HOU,,PIT,W 20-17,,,,,,,,,,,,,
74,1979,1979-12-16,16,26.333,HOU,,PHI,L 20-26,,,,,,,,,,,,,
75,1980,1980-09-07,1,27.234,HOU,@,PIT,L 17-31,,,,,,,,,,,,,
76,1980,1980-09-21,3,27.248,HOU,,BAL,W 21-16,,,,,,,,,,,,,
77,1980,1980-09-28,4,27.255,HOU,@,CIN,W 13-10,,,,,,,,,,,,,
78,1980,1980-10-05,5,27.262,HOU,,SEA,L 7-26,,,,,,,,,,,,,
79,1980,1980-10-12,6,27.269,HOU,@,KAN,L 20-21,,,,,,,,,,,,,
80,1980,1980-10-19,7,27.276,HOU,,TAM,W 20-14,,,,,,,,,,,,,
81,1980,1980-10-26,8,27.283,HOU,,CIN,W 23-3,,,,,,,,,,,,,
82,1980,1980-11-02,9,27.290,HOU,@,DEN,W 20-16,,,,,,,,,,,,,
83,1980,1980-11-10,10,27.298,HOU,,NWE,W 38-34,,,,,,,,,,,,,
84,1980,1980-11-16,11,27.304,HOU,@,CHI,W 10-6,,,,,,,,,,,,,
85,1980,1980-11-23,12,27.311,HOU,@,NYJ,L 28-31,,,,,4,4,100.0,,,,0,4,
86,1980,1980-11-30,13,27.318,HOU,,CLE,L 14-17,,,,,,,,,,,,,
87,1980,1980-12-04,14,27.322,HOU,,PIT,W 6-0,,,,,,,,,,,,,
88,1980,1980-12-14,15,27.332,HOU,@,GNB,W 22-3,,,,,,,,,,,,,
89,1980,1980-12-21,16,27.339,HOU,,MIN,W 20-16,,,,,,,,,,,,,
90,1981,1981-09-06,1,28.232,HOU,@,RAM,W 27-20,,,,,,,,,,,,,
91,1981,1981-09-13,2,28.239,HOU,@,CLE,W 9-3,,,,,,,,,,,,,
92,1981,1981-09-20,3,28.246,HOU,,MIA,L 10-16,,,,,,,,,,,,,
93,1981,1981-09-27,4,28.253,HOU,@,NYJ,L 17-33,,,,,,,,,,,,,
94,1981,1981-10-04,5,28.260,HOU,,CIN,W 17-10,,,,,,,,,,,,,
95,1981,1981-10-11,6,28.267,HOU,,SEA,W 35-17,,,,,,,,,,,,,
96,1981,1981-10-18,7,28.274,HOU,@,NWE,L 10-38,,,,,,,,,,,,,
97,1981,1981-10-26,8,28.282,HOU,@,PIT,L 13-26,,,,,,,,,,,,,
98,1981,1981-11-01,9,28.288,HOU,@,CIN,L 21-34,,,,,,,,,,,,,
99,1981,1981-11-08,10,28.295,HOU,,OAK,W 17-16,,,,,,,,,,,,,
100,1981,1981-11-15,11,28.302,HOU,@,KAN,L 10-23,,,,,,,,,,,,,
101,1981,1981-11-22,12,28.309,HOU,,NOR,L 24-27,,,,,,,,,,,,,
102,1981,1981-11-29,13,28.316,HOU,,ATL,L 27-31,,,,,,,,,,,,,
