ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1993,1993-11-14,10,24.104,SEA,,CLE,W 22-5,,,,,,,,
2,1993,1993-12-26,15,24.146,SEA,,PIT,W 16-6,,,,,,,,
3,1994,1994-09-04,1,25.033,SEA,@,WAS,W 28-7,0,0,,0,0,0,,0
4,1994,1994-09-11,2,25.040,SEA,@,RAI,W 38-9,0,0,,0,0,0,,0
5,1994,1994-09-18,3,25.047,SEA,,SDG,L 10-24,0,0,,0,0,0,,0
6,1994,1994-09-25,4,25.054,SEA,,PIT,W 30-13,0,0,,0,1,30,30.00,0
7,1994,1994-10-02,5,25.061,SEA,@,IND,L 15-17,0,0,,0,3,58,19.33,0
8,1994,1994-10-09,6,25.068,SEA,,DEN,L 9-16,0,0,,0,0,0,,0
9,1994,1994-10-23,7,25.082,SEA,@,KAN,L 23-38,0,0,,0,0,0,,0
10,1994,1994-10-30,8,25.089,SEA,@,SDG,L 15-35,3,15,5.00,0,0,0,,0
11,1994,1994-11-06,9,25.096,SEA,,CIN,L 17-20,0,0,,0,5,128,25.60,0
12,1994,1994-11-13,10,25.103,SEA,@,DEN,L 10-17,0,0,,0,0,0,,0
13,1994,1994-11-20,11,25.110,SEA,,TAM,W 22-21,0,0,,0,0,0,,0
14,1994,1994-11-27,12,25.117,SEA,,KAN,W 10-9,0,0,,0,0,0,,0
15,1994,1994-12-04,13,25.124,SEA,,IND,L 19-31,0,0,,0,4,121,30.25,0
16,1994,1994-12-11,14,25.131,SEA,@,HOU,W 16-14,0,0,,0,1,13,13.00,0
17,1995,1995-09-03,1,26.032,SFO,@,NOR,W 24-22,0,0,,0,4,67,16.75,0
