ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1992,1992-09-06,1,22.300,PHI,,NOR,W 15-13,,,,,,0.0%,,0,0,,0,0,0,,0
2,1992,1992-09-13,2,22.307,PHI,@,PHO,W 31-14,,,,,,0.0%,,0,0,,0,0,0,,0
3,1992,1992-09-20,3,22.314,PHI,,DEN,W 30-0,,0,0,,0,0.0%,,0,0,,0,1,11,11.00,0
4,1992,1992-10-05,4,22.329,PHI,,DAL,W 31-7,,,,,,0.0%,,0,0,,0,0,0,,0
5,1992,1992-10-11,5,22.335,PHI,@,KAN,L 17-24,,0,0,,0,0.0%,,1,20,20.00,0,0,0,,0
6,1992,1992-10-18,6,22.342,PHI,@,WAS,L 12-16,2,0,0,,0,0.0%,0.00,2,38,19.00,0,0,0,,0
7,1992,1992-10-25,7,22.349,PHI,,PHO,W 7-3,,0,0,,0,0.0%,,0,0,,0,1,0,0.00,0
8,1992,1992-11-01,8,22.356,PHI,@,DAL,L 10-20,,,,,,0.0%,,0,0,,0,0,0,,0
9,1992,1992-11-08,9,22.363,PHI,,RAI,W 31-10,,0,0,,0,0.0%,,0,0,,0,1,13,13.00,0
10,1992,1992-11-22,11,23.011,PHI,@,NYG,W 47-34,,0,0,,0,0.0%,,1,17,17.00,0,0,0,,0
11,1992,1992-11-29,12,23.018,PHI,@,SFO,L 14-20,2,0,0,,0,0.0%,0.00,5,136,27.20,0,0,0,,0
12,1992,1992-12-06,13,23.025,PHI,,MIN,W 28-17,,0,0,,0,0.0%,,2,43,21.50,0,0,0,,0
13,1992,1992-12-13,14,23.032,PHI,@,SEA,W 20-17,,0,0,,0,0.0%,,2,25,12.50,0,2,11,5.50,0
14,1992,1992-12-20,15,23.039,PHI,,WAS,W 17-13,,0,0,,0,0.0%,,2,43,21.50,0,0,0,,0
15,1992,1992-12-27,16,23.046,PHI,,NYG,W 20-10,,0,0,,0,0.0%,,2,46,23.00,0,2,17,8.50,0
16,1993,1993-09-05,1,23.298,PHI,,PHO,W 23-17,1,1,31,31.00,0,100.0%,31.00,5,90,18.00,0,0,0,,0
17,1993,1993-09-12,2,23.305,PHI,@,GNB,W 20-17,,0,0,,0,0.0%,,2,39,19.50,0,0,0,,0
18,1993,1993-09-19,3,23.312,PHI,,WAS,W 34-31,1,1,11,11.00,0,100.0%,11.00,2,29,14.50,0,0,0,,0
19,1993,1993-10-03,4,23.326,PHI,@,NYJ,W 35-30,,0,0,,0,0.0%,,0,0,,0,,,,
20,1994,1994-09-04,1,24.297,PHI,@,NYG,L 23-28,0,0,0,,0,0.0%,,4,95,23.75,0,3,10,3.33,0
21,1994,1994-09-12,2,24.305,PHI,,CHI,W 30-22,0,0,0,,0,0.0%,,3,50,16.67,0,3,51,17.00,0
22,1994,1994-09-18,3,24.311,PHI,,GNB,W 13-7,0,0,0,,0,0.0%,,1,11,11.00,0,1,11,11.00,0
23,1994,1994-10-02,4,24.325,PHI,@,SFO,W 40-8,0,0,0,,0,0.0%,,3,63,21.00,0,1,17,17.00,0
24,1994,1994-10-09,5,24.332,PHI,,WAS,W 21-17,0,0,0,,0,0.0%,,3,71,23.67,0,3,18,6.00,0
25,1994,1994-10-16,6,24.339,PHI,@,DAL,L 13-24,0,0,0,,0,0.0%,,2,27,13.50,0,3,50,16.67,0
26,1994,1994-10-24,7,24.347,PHI,,HOU,W 21-6,0,0,0,,0,0.0%,,1,8,8.00,0,4,52,13.00,0
27,1994,1994-10-30,8,24.353,PHI,@,WAS,W 31-29,0,0,0,,0,0.0%,,0,0,,0,2,-3,-1.50,0
28,1994,1994-11-06,9,24.360,PHI,,ARI,W 17-7,0,0,0,,0,0.0%,,0,0,,0,1,11,11.00,0
29,1994,1994-11-13,10,25.002,PHI,,CLE,L 7-26,0,0,0,,0,0.0%,,0,0,,0,4,28,7.00,0
30,1994,1994-11-20,11,25.009,PHI,@,ARI,L 6-12,0,0,0,,0,0.0%,,0,0,,0,2,16,8.00,0
31,1994,1994-11-27,12,25.016,PHI,@,ATL,L 21-28,0,0,0,,0,0.0%,,0,0,,0,2,15,7.50,0
32,1994,1994-12-04,13,25.023,PHI,,DAL,L 19-31,0,0,0,,0,0.0%,,0,0,,0,3,57,19.00,0
33,1994,1994-12-11,14,25.030,PHI,@,PIT,L 3-14,0,0,0,,0,0.0%,,1,19,19.00,0,5,15,3.00,0
34,1994,1994-12-18,15,25.037,PHI,,NYG,L 13-16,0,0,0,,0,0.0%,,2,48,24.00,0,2,29,14.50,0
35,1994,1994-12-24,16,25.043,PHI,@,CIN,L 30-33,1,1,10,10.00,0,100.0%,10.00,0,0,,0,1,4,4.00,0
36,1995,1995-11-19,11,26.008,NYJ,,BUF,L 26-28,0,0,0,,0,0.0%,,0,0,,0,2,11,5.50,0
37,1995,1995-11-26,12,26.015,NYJ,@,SEA,W 16-10,0,0,0,,0,0.0%,,0,0,,0,3,43,14.33,0
38,1995,1995-12-03,13,26.022,NYJ,,STL,L 20-23,0,0,0,,0,0.0%,,0,0,,0,5,57,11.40,0
39,1995,1995-12-10,14,26.029,NYJ,@,NWE,L 28-31,0,0,0,,0,0.0%,,0,0,,0,3,20,6.67,0
40,1995,1995-12-17,15,26.036,NYJ,@,HOU,L 6-23,0,0,0,,0,0.0%,,1,20,20.00,0,3,39,13.00,0
41,1995,1995-12-24,16,26.043,NYJ,,NOR,L 0-12,0,0,0,,0,0.0%,,3,60,20.00,0,1,8,8.00,0
