ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2006,2006-10-29,7,22.307,DEN,,IND,L 31-34,,0,0,0,,0,0.0%,,2,50,25.00,0,0.0,,
2,2006,2006-11-05,8,22.314,DEN,@,PIT,W 31-20,,0,0,0,,0,0.0%,,4,71,17.75,0,0.0,,
3,2006,2006-11-12,9,22.321,DEN,@,OAK,W 17-13,,0,0,0,,0,0.0%,,3,66,22.00,0,0.0,,
4,2006,2006-11-23,11,22.332,DEN,@,KAN,L 10-19,,0,0,0,,0,0.0%,,5,126,25.20,0,0.0,,
5,2006,2006-12-03,12,22.342,DEN,,SEA,L 20-23,,0,0,0,,0,0.0%,,3,84,28.00,0,0.0,,
6,2006,2006-12-10,13,22.349,DEN,@,SDG,L 20-48,,0,0,0,,0,0.0%,,6,115,19.17,0,0.0,,
7,2007,2007-10-07,5,23.285,DEN,,SDG,L 3-41,,1,0,0,,0,0.0%,0.00,3,70,23.33,0,0.0,,
8,2007,2007-10-21,6,23.299,DEN,,PIT,W 31-28,,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0.0,,
9,2007,2007-10-29,7,23.307,DEN,,GNB,L 13-19,,,0,0,,0,0.0%,,0,0,,0,0.0,,
10,2007,2007-11-04,8,23.313,DEN,@,DET,L 7-44,,2,2,9,4.50,0,100.0%,4.50,0,0,,0,0.0,,
11,2007,2007-12-30,16,24.004,TAM,,CAR,L 23-31,,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,,
12,2008,2008-10-19,7,24.298,TAM,,SEA,W 20-10,,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0.0,0,0
13,2008,2008-10-26,8,24.305,TAM,@,DAL,L 9-13,,,,,,,0.0%,,,,,,,,
14,2008,2008-11-02,9,24.312,TAM,@,KAN,W 30-27,,1,0,0,,0,0.0%,0.00,1,22,22.00,0,0.0,0,1
15,2008,2008-11-16,10,24.326,TAM,,MIN,W 19-13,,0,0,0,,0,0.0%,,1,17,17.00,0,0.0,0,0
16,2008,2008-11-23,11,24.333,TAM,@,DET,W 38-20,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
17,2008,2008-11-30,12,24.340,TAM,,NOR,W 23-20,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
18,2008,2008-12-08,13,24.348,TAM,@,CAR,L 23-38,,0,0,0,,0,0.0%,,1,15,15.00,0,0.0,0,1
19,2008,2008-12-14,14,24.354,TAM,@,ATL,L 10-13,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,1
20,2008,2008-12-21,15,24.361,TAM,,SDG,L 24-41,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
21,2009,2009-09-13,1,25.261,TAM,,DAL,L 21-34,,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0.0,0,0
22,2009,2009-09-20,2,25.268,TAM,@,BUF,L 20-33,,4,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
23,2009,2009-09-27,3,25.275,TAM,,NYG,L 0-24,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
24,2009,2009-10-04,4,25.282,TAM,@,WAS,L 13-16,,,,,,,0.0%,,,,,,,,
25,2009,2009-10-11,5,25.289,TAM,@,PHI,L 14-33,,,,,,,0.0%,,,,,,,,
26,2009,2009-10-18,6,25.296,TAM,,CAR,L 21-28,,,,,,,0.0%,,,,,,,,
27,2009,2009-10-25,7,25.303,TAM,,NWE,L 7-35,,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0.0,0,1
28,2009,2009-11-08,8,25.317,TAM,,GNB,W 38-28,,2,,,,,0.0%,,,,,,,,
29,2009,2009-11-15,9,25.324,TAM,@,MIA,L 23-25,,0,,,,,0.0%,,,,,,,,
30,2009,2009-12-06,12,25.345,TAM,@,CAR,L 6-16,,1,,,,,0.0%,,,,,,,,
31,2009,2009-12-13,13,25.352,TAM,,NYJ,L 3-26,,7,3,20,6.67,0,42.9%,2.86,0,0,,0,0.0,0,0
32,2009,2009-12-20,14,25.359,TAM,@,SEA,W 24-7,,1,,,,,0.0%,,,,,,,,
33,2009,2009-12-27,15,26.001,TAM,@,NOR,W 20-17,,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0.0,0,0
34,2009,2010-01-03,16,26.008,TAM,,ATL,L 10-20,,,,,,,0.0%,,,,,,,,
35,2010,2010-12-12,13,26.351,DET,,GNB,W 7-3,,,,,,,0.0%,,,,,,,,
36,2010,2010-12-19,14,26.358,DET,@,TAM,W 23-20,,,,,,,0.0%,,,,,,,,
37,2010,2010-12-26,15,27.000,DET,@,MIA,W 34-27,,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
38,2010,2011-01-02,16,27.007,DET,,MIN,W 20-13,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
