ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td
1,2014,2014-09-07,1,25.097,STL,,MIN,L 6-34,,16,23,69.57,192,0,1,76.7,4,21,8.35,6.39,1,0,0.00,0
2,2014,2014-09-14,2,25.104,STL,@,TAM,W 19-17,*,22,29,75.86,235,0,0,99.1,2,15,8.10,8.10,1,0,0.00,0
3,2014,2014-09-21,3,25.111,STL,,DAL,L 31-34,*,30,42,71.43,327,3,2,98.0,0,0,7.79,7.07,2,-1,-0.50,0
4,2014,2014-10-05,4,25.125,STL,@,PHI,L 28-34,*,29,49,59.18,375,3,0,103.7,4,34,7.65,8.88,3,30,10.00,0
5,2014,2014-10-13,5,25.133,STL,,SFO,L 17-31,*,21,42,50.00,236,1,1,65.2,5,20,5.62,5.02,1,-1,-1.00,0
6,2014,2014-10-19,6,25.139,STL,,SEA,W 28-26,*,17,20,85.00,155,2,0,132.3,0,0,7.75,9.75,2,-2,-1.00,0
7,2014,2014-10-26,7,25.146,STL,@,KAN,L 7-34,*,15,25,60.00,160,1,1,75.4,7,44,6.40,5.40,1,1,1.00,0
8,2014,2014-11-02,8,25.153,STL,@,SFO,W 13-10,*,13,24,54.17,105,1,2,44.6,1,3,4.38,1.46,2,9,4.50,0
9,2014,2014-11-09,9,25.160,STL,@,ARI,L 14-31,*,17,30,56.67,216,1,2,62.6,6,42,7.20,4.87,3,0,0.00,0
10,2014,2014-11-30,12,25.181,STL,,OAK,W 52-0,,,,,,,,,,,,,,,,
11,2015,2015-11-30,11,26.181,CLE,,BAL,L 27-33,,7,10,70.00,77,1,0,125.8,1,8,7.70,9.70,1,7,7.00,0
12,2015,2015-12-06,12,26.187,CLE,,CIN,L 3-37,*,25,38,65.79,230,0,1,71.2,3,25,6.05,4.87,3,4,1.33,0
13,2015,2016-01-03,16,26.215,CLE,,PIT,L 12-28,*,24,46,52.17,240,0,2,49.2,7,63,5.22,3.26,3,22,7.33,0
14,2017,2017-10-22,6,28.142,SEA,@,NYG,W 24-7,,0,0,,0,0,0,,0,0,,,1,-1,-1.00,0
15,2017,2017-11-09,9,28.160,SEA,@,ARI,W 22-16,,0,0,,0,0,0,,0,0,,,0,0,,0
16,2017,2017-12-17,14,28.198,SEA,,LAR,L 7-42,,0,0,,0,0,0,,0,0,,,0,0,,0
