ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2009,2009-09-13,1,22.155,IND,,JAX,W 14-12,,11,33,3.00,0,2,2,16,8.00,0,100.0%,8.00,0,0,,0,,0,0,0.0,0,0
2,2009,2009-09-21,2,22.163,IND,@,MIA,W 27-23,,4,26,6.50,1,1,1,24,24.00,0,100.0%,24.00,0,0,,0,,1,6,0.0,0,0
3,2009,2009-09-27,3,22.169,IND,@,ARI,W 31-10,,14,40,2.86,0,2,1,72,72.00,0,50.0%,36.00,1,21,21.00,0,,0,0,0.0,0,0
4,2009,2009-10-04,4,22.176,IND,,SEA,W 34-17,,9,33,3.67,1,1,1,13,13.00,0,100.0%,13.00,0,0,,0,,1,6,0.0,0,0
5,2009,2009-10-11,5,22.183,IND,@,TEN,W 31-9,,6,22,3.67,0,3,2,13,6.50,0,66.7%,4.33,0,0,,0,,0,0,0.0,0,0
6,2009,2009-10-25,6,22.197,IND,@,STL,W 42-6,,2,58,29.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
7,2009,2009-11-15,9,22.218,IND,,NWE,W 35-34,,4,14,3.50,0,2,1,8,8.00,0,50.0%,4.00,0,0,,0,,0,0,0.0,0,0
8,2009,2009-11-22,10,22.225,IND,@,BAL,W 17-15,,4,10,2.50,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,1,0
9,2009,2009-11-29,11,22.232,IND,@,HOU,W 35-27,,5,27,5.40,0,2,2,11,5.50,0,100.0%,5.50,0,0,,0,,0,0,0.0,0,0
10,2009,2009-12-27,15,22.260,IND,,NYJ,L 15-29,,15,22,1.47,1,1,1,12,12.00,0,100.0%,12.00,0,0,,0,,1,6,0.0,0,0
11,2009,2010-01-03,16,22.267,IND,@,BUF,L 7-30,*,4,-4,-1.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
12,2010,2010-09-12,1,23.154,IND,@,HOU,L 24-34,,0,0,,0,3,1,7,7.00,0,33.3%,2.33,0,0,,0,,0,0,0.0,0,0
13,2010,2010-09-19,2,23.161,IND,,NYG,W 38-14,,16,69,4.31,1,1,1,19,19.00,0,100.0%,19.00,0,0,,0,,1,6,0.0,0,0
14,2010,2010-09-26,3,23.168,IND,@,DEN,W 27-13,,7,12,1.71,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
15,2010,2010-11-01,7,23.204,IND,,HOU,W 30-17,,9,16,1.78,0,2,2,13,6.50,0,100.0%,6.50,0,0,,0,,0,0,0.0,0,0
16,2010,2010-11-07,8,23.210,IND,@,PHI,L 24-26,*,15,50,3.33,0,3,3,47,15.67,0,100.0%,15.67,0,0,,0,,0,0,0.0,0,0
17,2010,2010-11-14,9,23.217,IND,,CIN,W 23-17,*,12,50,4.17,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
18,2010,2010-11-21,10,23.224,IND,@,NWE,L 28-31,*,17,68,4.00,0,3,3,40,13.33,0,100.0%,13.33,0,0,,0,,0,0,0.0,0,0
19,2010,2010-11-28,11,23.231,IND,,SDG,L 14-36,*,11,24,2.18,0,6,5,47,9.40,0,83.3%,7.83,0,0,,0,,0,0,0.0,1,0
20,2010,2010-12-05,12,23.238,IND,,DAL,L 35-38,*,4,4,1.00,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,,0,0,0.0,0,0
21,2010,2010-12-09,13,23.242,IND,@,TEN,W 30-28,*,15,38,2.53,0,5,3,24,8.00,0,60.0%,4.80,0,0,,0,,0,0,0.0,0,0
22,2010,2010-12-19,14,23.252,IND,,JAX,W 34-24,*,14,129,9.21,1,1,1,4,4.00,0,100.0%,4.00,0,0,,0,,1,6,0.0,0,0
23,2010,2010-12-26,15,23.259,IND,@,OAK,W 31-26,*,6,28,4.67,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
24,2010,2011-01-02,16,23.266,IND,,TEN,W 23-20,,3,9,3.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
25,2011,2011-09-11,1,24.153,IND,@,HOU,L 7-34,,,,,,,,,,,0.0%,,,,,,,,,,,
26,2011,2011-09-18,2,24.160,IND,,CLE,L 19-27,,,,,,,,,,,0.0%,,,,,,,,,,,
27,2011,2011-09-25,3,24.167,IND,,PIT,L 20-23,,,,,,,,,,,0.0%,,,,,,,,,,,
28,2011,2011-10-03,4,24.175,IND,@,TAM,L 17-24,,,,,,,,,,,0.0%,,,,,,,,,,,
29,2011,2011-10-09,5,24.181,IND,,KAN,L 24-28,,8,38,4.75,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
30,2011,2011-10-16,6,24.188,IND,@,CIN,L 17-27,,5,35,7.00,1,2,2,16,8.00,0,100.0%,8.00,0,0,,0,,1,6,0.0,0,0
31,2011,2011-10-23,7,24.195,IND,@,NOR,L 7-62,,9,47,5.22,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
32,2011,2011-10-30,8,24.202,IND,@,TEN,L 10-27,,10,33,3.30,1,1,1,1,1.00,0,100.0%,1.00,0,0,,0,,1,6,0.0,0,0
33,2011,2011-11-06,9,24.209,IND,,ATL,L 7-31,,16,70,4.38,0,3,1,1,1.00,0,33.3%,0.33,0,0,,0,,0,0,0.0,0,0
34,2011,2011-11-13,10,24.216,IND,,JAX,L 3-17,*,14,53,3.79,0,4,4,12,3.00,0,100.0%,3.00,0,0,,0,,0,0,0.0,1,0
35,2011,2011-11-27,11,24.230,IND,,CAR,L 19-27,,14,80,5.71,1,1,1,17,17.00,0,100.0%,17.00,0,0,,0,,1,6,0.0,0,0
36,2011,2011-12-04,12,24.237,IND,@,NWE,L 24-31,,14,41,2.93,1,1,1,15,15.00,0,100.0%,15.00,0,0,,0,,1,6,0.0,0,0
37,2011,2011-12-11,13,24.244,IND,@,BAL,L 10-24,*,9,28,3.11,0,1,1,-6,-6.00,0,100.0%,-6.00,0,0,,0,,0,0,0.0,0,0
38,2011,2011-12-18,14,24.251,IND,,TEN,W 27-13,,16,161,10.06,1,1,1,2,2.00,0,100.0%,2.00,0,0,,0,,1,6,0.0,0,0
39,2011,2011-12-22,15,24.255,IND,,HOU,W 19-16,,11,35,3.18,0,3,2,13,6.50,0,66.7%,4.33,0,0,,0,,0,0,0.0,0,0
40,2011,2012-01-01,16,24.265,IND,@,JAX,L 13-19,,8,24,3.00,0,2,2,15,7.50,0,100.0%,7.50,0,0,,0,,0,0,0.0,0,0
41,2012,2012-09-09,1,25.151,IND,@,CHI,L 21-41,*,9,48,5.33,1,2,0,0,,0,0.0%,0.00,0,0,,0,,1,6,0.0,0,0
42,2012,2012-09-16,2,25.158,IND,,MIN,W 23-20,*,16,45,2.81,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
43,2012,2012-09-23,3,25.165,IND,,JAX,L 17-22,*,18,62,3.44,0,1,1,39,39.00,0,100.0%,39.00,0,0,,0,,0,0,0.0,0,0
