ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,1979,1979-09-02,1,23.272,CIN,@,DEN,L 0-10,,,,,,,
2,1979,1979-09-09,2,23.279,CIN,@,BUF,L 24-51,,,,,,,
3,1979,1979-09-16,3,23.286,CIN,,NWE,L 14-20,,,,,,,
4,1979,1979-09-23,4,23.293,CIN,,HOU,L 27-30,2,24,12.00,0,0,0,0
5,1979,1979-09-30,5,23.300,CIN,@,DAL,L 13-38,,,,,,,
6,1979,1979-10-07,6,23.307,CIN,,KAN,L 7-10,,,,,,,
7,1979,1979-10-14,7,23.314,CIN,,PIT,W 34-10,2,39,19.50,0,0,0,0
8,1979,1979-10-21,8,23.321,CIN,@,CLE,L 27-28,,,,,,,
9,1979,1979-10-28,9,23.328,CIN,,PHI,W 37-13,0,0,,0,1,15,0
10,1979,1979-11-04,10,23.335,CIN,@,BAL,L 28-38,1,0,0.00,0,0,0,0
11,1979,1979-11-11,11,23.342,CIN,,SDG,L 24-26,1,24,24.00,0,0,0,0
12,1979,1979-11-18,12,23.349,CIN,@,HOU,L 21-42,,,,,,,
13,1979,1979-11-25,13,23.356,CIN,,STL,W 34-28,,,,,,,
14,1979,1979-12-02,14,23.363,CIN,@,PIT,L 17-37,,,,,,,
15,1979,1979-12-09,15,24.005,CIN,@,WAS,L 14-28,,,,,,,
16,1979,1979-12-16,16,24.012,CIN,,CLE,W 16-12,,,,,,,
17,1980,1980-11-16,11,24.348,CIN,,BUF,L 0-14,,,,,,,
18,1980,1980-11-23,12,24.355,CIN,@,CLE,L 7-31,2,10,5.00,0,0,0,0
