ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,sacks
1,1984,1984-09-02,1,23.348,HOU,,RAI,L 14-24,
2,1984,1984-09-09,2,23.355,HOU,,IND,L 21-35,
3,1984,1984-09-16,3,23.362,HOU,@,SDG,L 14-31,
4,1984,1984-09-23,4,24.003,HOU,@,ATL,L 10-42,
5,1984,1984-09-30,5,24.010,HOU,,NOR,L 10-27,
6,1984,1984-10-07,6,24.017,HOU,@,CIN,L 3-13,
7,1985,1985-11-17,11,25.058,TAM,@,NYJ,L 28-62,
8,1985,1985-11-24,12,25.065,TAM,,DET,W 19-16,
9,1985,1985-12-01,13,25.072,TAM,@,GNB,L 0-21,
10,1985,1985-12-08,14,25.079,TAM,@,MIN,L 7-26,
11,1985,1985-12-15,15,25.086,TAM,,IND,L 23-31,
12,1985,1985-12-22,16,25.093,TAM,,GNB,L 17-20,
13,1987,1987-10-04,3,27.014,ATL,,PIT,L 12-28,
14,1987,1987-10-11,4,27.021,ATL,,SFO,L 17-25,0.5
