ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1955,1955-09-25,1,22.116,BAL,,CHI,W 23-17,21,194,9.24,1,0,0,,0,1,
2,1955,1955-10-01,2,22.122,BAL,,DET,W 28-13,21,153,7.29,2,0,0,,0,2,
3,1955,1955-10-08,3,22.129,BAL,@,GNB,W 24-20,20,63,3.15,1,2,18,9.00,0,1,
4,1955,1955-10-16,4,22.137,BAL,@,CHI,L 10-38,15,72,4.80,1,2,14,7.00,0,1,
5,1955,1955-10-23,5,22.144,BAL,,WAS,L 13-14,17,36,2.12,1,3,10,3.33,0,1,
6,1955,1955-10-29,6,22.150,BAL,,GNB,W 14-10,22,117,5.32,0,3,24,8.00,0,0,
7,1955,1955-11-05,7,22.157,BAL,@,DET,L 14-24,13,32,2.46,0,1,9,9.00,0,0,
8,1955,1955-11-13,8,22.165,BAL,@,NYG,L 7-17,13,40,3.08,0,3,-5,-1.67,0,0,
9,1955,1955-11-20,9,22.172,BAL,,RAM,T 17-17,22,73,3.32,1,2,24,12.00,0,1,
10,1955,1955-11-27,10,22.179,BAL,,SFO,W 26-14,21,87,4.14,1,2,9,4.50,0,1,
11,1955,1955-12-04,11,22.186,BAL,@,RAM,L 14-20,12,65,5.42,1,5,22,4.40,0,1,
12,1955,1955-12-11,12,22.193,BAL,@,SFO,L 24-35,16,29,1.81,0,4,16,4.00,0,0,
13,1956,1956-09-30,1,23.121,BAL,,CHI,W 28-21,15,54,3.60,2,1,2,2.00,0,2,
14,1956,1956-10-06,2,23.127,BAL,,DET,L 14-31,6,13,2.17,0,2,17,8.50,0,0,
15,1956,1956-10-14,3,23.135,BAL,@,GNB,L 33-38,14,81,5.79,0,2,4,2.00,0,0,
16,1956,1956-10-21,4,23.142,BAL,@,CHI,L 27-58,13,60,4.62,1,0,0,,0,1,
17,1956,1956-10-28,5,23.149,BAL,,GNB,W 28-21,14,76,5.43,0,1,6,6.00,0,0,
18,1956,1956-11-11,6,23.163,BAL,@,CLE,W 21-7,18,108,6.00,1,1,3,3.00,0,1,
19,1956,1956-11-18,7,23.170,BAL,@,DET,L 3-27,12,41,3.42,0,3,32,10.67,0,0,
20,1956,1956-11-25,8,23.177,BAL,,RAM,W 56-21,20,162,8.10,1,5,54,10.80,0,1,
21,1956,1956-12-02,9,23.184,BAL,,SFO,L 17-20,19,83,4.37,2,4,11,2.75,0,2,
22,1956,1956-12-09,10,23.191,BAL,@,RAM,L 7-31,15,49,3.27,0,6,50,8.33,0,0,
23,1956,1956-12-16,11,23.198,BAL,@,SFO,L 17-30,17,89,5.24,0,0,0,,0,0,
24,1956,1956-12-23,12,23.205,BAL,,WAS,W 19-17,15,42,2.80,1,1,10,10.00,0,1,
25,1957,1957-09-29,1,24.120,BAL,,DET,W 34-14,9,44,4.89,0,2,27,13.50,0,0,
26,1957,1957-10-05,2,24.126,BAL,,CHI,W 21-10,14,44,3.14,0,1,9,9.00,1,1,
27,1957,1957-10-13,3,24.134,BAL,@,GNB,W 45-17,16,27,1.69,3,1,0,0.00,0,3,
28,1957,1957-10-20,4,24.141,BAL,@,DET,L 27-31,11,70,6.36,0,1,5,5.00,0,0,
29,1957,1957-10-27,5,24.148,BAL,,GNB,L 21-24,10,35,3.50,1,1,7,7.00,0,1,
30,1957,1957-11-03,6,24.155,BAL,,PIT,L 13-19,10,56,5.60,0,0,0,,0,0,
