ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2009,2009-09-13,1,22.171,DET,@,NOR,L 27-45,,,0,0,0.0,0,0,0,0,0
2,2009,2009-09-20,2,22.178,DET,,MIN,L 13-27,,,,,,,,,,
3,2009,2009-09-27,3,22.185,DET,,WAS,W 19-14,*,,0,0,0.0,3,3,0,0,0
4,2009,2009-10-04,4,22.192,DET,@,CHI,L 24-48,,,0,0,0.0,7,1,0,0,0
5,2009,2009-10-11,5,22.199,DET,,PIT,L 20-28,*,,0,0,0.0,4,0,0,0,0
6,2009,2009-10-18,6,22.206,DET,@,GNB,L 0-26,*,,0,0,0.0,5,2,1,5,0
7,2009,2009-11-01,7,22.220,DET,,STL,L 10-17,,,0,0,0.0,2,0,0,0,0
8,2009,2009-11-08,8,22.227,DET,@,SEA,L 20-32,,,0,0,0.0,3,1,0,0,0
9,2009,2009-11-15,9,22.234,DET,@,MIN,L 10-27,*,,0,0,0.0,3,0,0,0,0
10,2009,2009-11-22,10,22.241,DET,,CLE,W 38-37,*,,0,0,0.0,4,4,0,0,0
11,2009,2009-11-26,11,22.245,DET,,GNB,L 12-34,*,,0,0,0.0,5,3,0,0,0
12,2009,2009-12-06,12,22.255,DET,@,CIN,L 13-23,*,,0,0,0.0,4,3,0,0,0
13,2009,2009-12-13,13,22.262,DET,@,BAL,L 3-48,*,,0,0,0.0,1,0,0,0,0
14,2009,2009-12-20,14,22.269,DET,,ARI,L 24-31,,,0,0,0.0,0,0,0,0,0
15,2009,2009-12-27,15,22.276,DET,@,SFO,L 6-20,*,,0,0,0.0,5,3,0,0,0
16,2009,2010-01-03,16,22.283,DET,,CHI,L 23-37,*,,0,0,0.0,8,4,0,0,0
17,2010,2010-09-26,3,23.184,DET,@,MIN,L 10-24,*,,0,0,0.0,2,0,0,0,0
18,2010,2010-10-31,7,23.219,DET,,WAS,W 37-25,*,,0,0,0.0,4,0,0,0,0
19,2010,2010-11-07,8,23.226,DET,,NYJ,L 20-23,*,,0,0,0.0,9,1,0,0,0
20,2010,2010-11-14,9,23.233,DET,@,BUF,L 12-14,*,,0,0,0.0,3,3,0,0,0
