ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1974,1974-09-15,1,22.053,KAN,,NYJ,W 24-16,,,,,,,,
2,1974,1974-09-22,2,22.060,KAN,@,OAK,L 7-27,,,,,,,,
3,1974,1974-09-29,3,22.067,KAN,@,HOU,W 17-7,,,,,,,,
4,1974,1974-10-06,4,22.074,KAN,,DEN,L 14-17,,,,,,,,
5,1974,1974-10-13,5,22.081,KAN,,PIT,L 24-34,,,,,,,,
6,1974,1974-10-20,6,22.088,KAN,@,MIA,L 3-9,,,,,,,,
7,1974,1974-10-27,7,22.095,KAN,@,SDG,W 24-14,,,,,,,,
8,1974,1974-11-03,8,22.102,KAN,,NYG,L 27-33,,,,,,,,
9,1974,1974-11-10,9,22.109,KAN,,SDG,L 7-14,,,,,,,,
10,1974,1974-11-18,10,22.117,KAN,@,DEN,W 42-34,,,,,,,,
11,1974,1974-11-24,11,22.123,KAN,@,CIN,L 6-33,,,,,,,,
12,1974,1974-12-01,12,22.130,KAN,@,STL,W 17-13,,,,,,,,
13,1974,1974-12-08,13,22.137,KAN,,OAK,L 6-7,,,,,,,,
14,1974,1974-12-14,14,22.143,KAN,,MIN,L 15-35,,,,,,,,
15,1975,1975-09-21,1,23.059,KAN,@,DEN,L 33-37,,,,,,,,
16,1975,1975-09-28,2,23.066,KAN,,NYJ,L 24-30,,,,,,,,
17,1975,1975-10-05,3,23.073,KAN,,SFO,L 3-20,,,,,,,,
18,1975,1975-10-12,4,23.080,KAN,,OAK,W 42-10,,,,,,,,
19,1975,1975-10-19,5,23.087,KAN,@,SDG,W 12-10,,,,,,,,
20,1975,1975-10-26,6,23.094,KAN,,DEN,W 26-13,,,,,,,,
21,1975,1975-11-02,7,23.101,KAN,,HOU,L 13-17,,,,,,,,
22,1975,1975-11-10,8,23.109,KAN,@,DAL,W 34-31,,,,,,,,
23,1975,1975-11-16,9,23.115,KAN,@,PIT,L 3-28,,,,,,,,
24,1975,1975-11-23,10,23.122,KAN,,DET,W 24-21,,,,,,,,
25,1975,1975-11-30,11,23.129,KAN,@,BAL,L 14-28,,,,,,,,
26,1975,1975-12-07,12,23.136,KAN,,SDG,L 20-28,,,,,,,,
27,1975,1975-12-14,13,23.143,KAN,@,CLE,L 14-40,,,,,,,,
28,1975,1975-12-21,14,23.150,KAN,@,OAK,L 20-28,,,,,,,,
29,1976,1976-09-12,1,24.050,KAN,,SDG,L 16-30,,,,,,,,
30,1976,1976-09-20,2,24.058,KAN,,OAK,L 21-24,,,,,,,,
31,1976,1976-09-26,3,24.064,KAN,,NOR,L 17-27,,,,,,,,
32,1976,1976-10-03,4,24.071,KAN,@,BUF,L 17-50,,,,,,,,
33,1976,1976-10-10,5,24.078,KAN,@,WAS,W 33-30,,,,,,,,
34,1976,1976-10-17,6,24.085,KAN,@,MIA,W 20-17,,,,,,,,
35,1976,1976-10-24,7,24.092,KAN,,DEN,L 26-35,,,,,,,,
36,1976,1976-10-31,8,24.099,KAN,@,TAM,W 28-19,,,,,,,,
37,1976,1976-11-07,9,24.106,KAN,,PIT,L 0-45,,,,,,,,
38,1976,1976-11-14,10,24.113,KAN,@,OAK,L 10-21,,,,,,,,
39,1976,1976-11-21,11,24.120,KAN,,CIN,L 24-27,,,,,,,,
40,1976,1976-11-28,12,24.127,KAN,@,SDG,W 23-20,1,-5,-5.00,0,0,0,,0
41,1976,1976-12-05,13,24.134,KAN,@,DEN,L 16-17,,,,,,,,
42,1976,1976-12-12,14,24.141,KAN,,CLE,W 39-14,,,,,,,,
43,1977,1977-09-18,1,25.056,KAN,@,NWE,L 17-21,,,,,,,,
44,1977,1977-09-25,2,25.063,KAN,,SDG,L 7-23,,,,,,,,
45,1977,1977-10-03,3,25.071,KAN,,OAK,L 28-37,,,,,,,,
46,1977,1977-10-09,4,25.077,KAN,@,DEN,L 7-23,,,,,,,,
47,1977,1977-10-16,5,25.084,KAN,,BAL,L 6-17,,,,,,,,
48,1977,1977-10-23,6,25.091,KAN,@,SDG,W 21-16,,,,,,,,
49,1977,1977-10-30,7,25.098,KAN,@,CLE,L 7-44,,,,,,,,
50,1977,1977-11-06,8,25.105,KAN,,GNB,W 20-10,,,,,,,,
51,1977,1977-11-13,9,25.112,KAN,@,CHI,L 27-28,,,,,,,,
52,1977,1977-11-20,10,25.119,KAN,,DEN,L 7-14,,,,,,,,
53,1977,1977-11-27,11,25.126,KAN,@,HOU,L 20-34,,,,,,,,
54,1977,1977-12-04,12,25.133,KAN,,CIN,L 7-27,0,0,,0,1,15,15.00,0
55,1977,1977-12-11,13,25.140,KAN,,SEA,L 31-34,,,,,,,,
56,1977,1977-12-18,14,25.147,KAN,@,OAK,L 20-21,,,,,,,,
57,1978,1978-09-03,1,26.041,KAN,@,CIN,W 24-23,,,,,,,,
58,1978,1978-09-10,2,26.048,KAN,,HOU,L 17-20,,,,,,,,
59,1978,1978-09-17,3,26.055,KAN,@,NYG,L 10-26,,,,,,,,
60,1978,1978-09-24,4,26.062,KAN,,DEN,L 17-23,,,,,,,,
61,1978,1978-10-01,5,26.069,KAN,@,BUF,L 13-28,,,,,,,,
62,1978,1978-10-08,6,26.076,KAN,,TAM,L 13-30,,,,,,,,
63,1978,1978-10-15,7,26.083,KAN,@,OAK,L 6-28,,,,,,,,
64,1978,1978-10-22,8,26.090,KAN,,CLE,W 17-3,,,,,,,,
65,1978,1978-10-29,9,26.097,KAN,@,PIT,L 24-27,,,,,,,,
66,1978,1978-11-05,10,26.104,KAN,,OAK,L 10-20,,,,,,,,
67,1978,1978-11-12,11,26.111,KAN,@,SDG,L 23-29,,,,,,,,
68,1978,1978-11-19,12,26.118,KAN,,SEA,L 10-13,,,,,,,,
69,1978,1978-11-26,13,26.125,KAN,,SDG,W 23-0,,,,,,,,
70,1978,1978-12-03,14,26.132,KAN,,BUF,W 14-10,,,,,,,,
71,1978,1978-12-10,15,26.139,KAN,@,DEN,L 3-24,,,,,,,,
72,1978,1978-12-17,16,26.146,KAN,@,SEA,L 19-23,,,,,,,,
73,1979,1979-09-02,1,27.040,KAN,,BAL,W 14-0,,,,,,,,
74,1979,1979-09-09,2,27.047,KAN,,CLE,L 24-27,,,,,,,,
75,1979,1979-09-16,3,27.054,KAN,@,HOU,L 6-20,,,,,,,,
76,1979,1979-09-23,4,27.061,KAN,,OAK,W 35-7,,,,,,,,
77,1979,1979-09-30,5,27.068,KAN,@,SEA,W 24-6,,,,,,,,
78,1979,1979-10-07,6,27.075,KAN,@,CIN,W 10-7,,,,,,,,
79,1979,1979-10-14,7,27.082,KAN,,DEN,L 10-24,,,,,,,,
80,1979,1979-10-21,8,27.089,KAN,,NYG,L 17-21,,,,,,,,
81,1979,1979-10-28,9,27.096,KAN,@,DEN,L 3-20,,,,,,,,
82,1979,1979-11-04,10,27.103,KAN,,SDG,L 14-20,,,,,,,,
83,1979,1979-11-11,11,27.110,KAN,,PIT,L 3-30,,,,,,,,
84,1979,1979-11-18,12,27.117,KAN,@,OAK,W 24-21,,,,,,,,
85,1979,1979-11-25,13,27.124,KAN,@,SDG,L 7-28,,,,,,,,
86,1979,1979-12-02,14,27.131,KAN,,SEA,W 37-21,,,,,,,,
87,1979,1979-12-09,15,27.138,KAN,@,BAL,W 10-7,,,,,,,,
88,1979,1979-12-16,16,27.145,KAN,@,TAM,L 0-3,,,,,,,,
89,1980,1980-10-05,5,28.073,KAN,@,OAK,W 31-17,,,,,,,,
90,1980,1980-10-12,6,28.080,KAN,,HOU,W 21-20,,,,,,,,
91,1980,1980-10-19,7,28.087,KAN,@,DEN,W 23-17,,,,,,,,
92,1980,1980-10-26,8,28.094,KAN,,DET,W 20-17,,,,,,,,
93,1980,1980-11-02,9,28.101,KAN,,BAL,L 24-31,,,,,,,,
94,1980,1980-11-09,10,28.108,KAN,@,SEA,W 31-30,,,,,,,,
95,1981,1981-09-06,1,29.044,KAN,@,PIT,W 37-33,,,,,,,,
96,1981,1981-09-13,2,29.051,KAN,,TAM,W 19-10,,,,,,,,
97,1981,1981-09-20,3,29.058,KAN,,SDG,L 31-42,,,,,,,,
98,1981,1981-09-27,4,29.065,KAN,@,SEA,W 20-14,,,,,,,,
99,1981,1981-10-04,5,29.072,KAN,@,NWE,L 17-33,,,,,,,,
100,1981,1981-10-11,6,29.079,KAN,,OAK,W 27-0,,,,,,,,
101,1981,1981-10-18,7,29.086,KAN,,DEN,W 28-14,,,,,,,,
102,1981,1981-10-25,8,29.093,KAN,@,OAK,W 28-17,,,,,,,,
103,1981,1981-11-01,9,29.100,KAN,@,SDG,L 20-22,,,,,,,,
104,1981,1981-11-08,10,29.107,KAN,,CHI,L 13-16,,,,,,,,
105,1981,1981-11-15,11,29.114,KAN,,HOU,W 23-10,,,,,,,,
106,1981,1981-11-22,12,29.121,KAN,,SEA,W 40-13,,,,,,,,
107,1981,1981-11-26,13,29.125,KAN,@,DET,L 10-27,,,,,,,,
108,1981,1981-12-06,14,29.135,KAN,@,DEN,L 13-16,,,,,,,,
109,1981,1981-12-13,15,29.142,KAN,,MIA,L 7-17,,,,,,,,
110,1981,1981-12-20,16,29.149,KAN,@,MIN,W 10-6,,,,,,,,
111,1982,1982-09-12,1,30.050,KAN,@,BUF,L 9-14,,,,,,,,
112,1982,1982-09-19,2,30.057,KAN,,SDG,W 19-12,,,,,,,,
113,1982,1982-11-21,3,30.120,KAN,@,NOR,L 17-27,,,,,,,,
114,1982,1982-11-28,4,30.127,KAN,@,RAM,L 14-20,,,,,,,,
115,1982,1982-12-05,5,30.134,KAN,@,PIT,L 14-35,,,,,,,,
116,1982,1982-12-12,6,30.141,KAN,,RAI,L 16-21,,,,,,,,
117,1982,1982-12-19,7,30.148,KAN,@,DEN,W 37-16,,,,,,,,
118,1982,1982-12-26,8,30.155,KAN,,SFO,L 13-26,,,,,,,,
119,1982,1983-01-02,9,30.162,KAN,,NYJ,W 37-13,,,,,,,,
120,1983,1983-09-04,1,31.042,GNB,@,HOU,W 41-38,,,,,,,,
121,1983,1983-09-11,2,31.049,GNB,,PIT,L 21-25,,,,,,,,
122,1983,1983-09-18,3,31.056,GNB,,RAM,W 27-24,,,,,,,,
123,1983,1983-10-02,5,31.070,GNB,,TAM,W 55-14,,,,,,,,
124,1983,1983-10-09,6,31.077,GNB,@,DET,L 14-38,,,,,,,,
125,1983,1983-10-17,7,31.085,GNB,,WAS,W 48-47,,,,,,,,
126,1983,1983-10-23,8,31.091,GNB,,MIN,L 17-20,,,,,,,,
127,1983,1983-10-30,9,31.098,GNB,@,CIN,L 14-34,,,,,,,,
128,1983,1983-11-06,10,31.105,GNB,,CLE,W 35-21,,,,,,,,
129,1983,1983-11-13,11,31.112,GNB,@,MIN,W 29-21,,,,,,,,
130,1983,1983-11-20,12,31.119,GNB,,DET,L 20-23,,,,,,,,
131,1983,1983-11-27,13,31.126,GNB,@,ATL,L 41-47,,,,,,,,
132,1983,1983-12-04,14,31.133,GNB,,CHI,W 31-28,,,,,,,,
133,1983,1983-12-12,15,31.141,GNB,@,TAM,W 12-9,,,,,,,,
134,1983,1983-12-18,16,31.147,GNB,@,CHI,L 21-23,,,,,,,,
