ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1987,1987-10-04,3,24.115,NOR,,RAM,W 37-10,,0,0,,0,0,0,,0,0,0,,,,,,3,141,47.00,0
2,1987,1987-10-11,4,24.122,NOR,@,STL,L 19-24,,1,-13,-13.00,0,0,0,,0,0,0,,,,,,2,86,43.00,0
3,1987,1987-10-18,5,24.129,NOR,@,CHI,W 19-17,,0,0,,0,0,0,,0,0,0,,,,,,6,256,42.67,0
4,1987,1987-12-20,14,24.192,CHI,,SEA,L 21-34,,0,0,,0,0,0,,0,0,0,,,,,,2,69,34.50,0
5,1987,1987-12-27,15,24.199,CHI,@,RAI,W 6-3,,0,0,,0,0,0,,0,0,0,,,,,,4,167,41.75,0
6,1988,1988-09-11,2,25.092,WAS,,PIT,W 30-29,,0,0,,0,0,0,,0,0,0,,,,,,2,74,37.00,0
7,1988,1988-09-18,3,25.099,WAS,,PHI,W 17-10,,0,0,,0,0,0,,0,0,0,,,,,,6,242,40.33,0
8,1988,1988-09-25,4,25.106,WAS,@,PHO,L 21-30,,0,0,,0,0,0,,0,0,0,,,,,,4,178,44.50,0
9,1988,1988-10-02,5,25.113,WAS,,NYG,L 23-24,,0,0,,0,0,0,,0,0,0,,,,,,3,134,44.67,0
10,1989,1989-10-15,6,26.126,NOR,,NYJ,W 29-14,,0,0,,0,0,0,,0,0,0,,,,,,4,158,39.50,0
11,1989,1989-10-22,7,26.133,NOR,@,RAM,W 40-21,,0,0,,0,0,0,,0,0,0,,,,,,4,120,30.00,0
12,1989,1989-10-29,8,26.140,NOR,,ATL,W 20-13,,0,0,,0,0,0,,0,0,0,,,,,,5,167,33.40,0
13,1989,1989-11-06,9,26.148,NOR,@,SFO,L 13-31,,0,0,,0,0,0,,0,0,0,,,,,,4,122,30.50,0
14,1989,1989-11-12,10,26.154,NOR,@,NWE,W 28-24,,0,0,,0,0,0,,0,0,0,,,,,,6,224,37.33,0
15,1989,1989-11-19,11,26.161,NOR,@,ATL,W 26-17,,0,0,,0,0,0,,0,0,0,,,,,,1,30,30.00,0
16,1989,1989-11-26,12,26.168,NOR,,RAM,L 17-20,,0,0,,0,0,0,,0,0,0,,,,,,10,415,41.50,0
17,1989,1989-12-03,13,26.175,NOR,@,DET,L 14-21,,0,0,,0,0,0,,0,0,0,,,,,,9,400,44.44,0
18,1989,1989-12-10,14,26.182,NOR,@,BUF,W 22-19,,0,0,,0,0,0,,0,0,0,,,,,,2,79,39.50,0
19,1989,1989-12-18,15,26.190,NOR,,PHI,W 30-20,,0,0,,0,0,0,,0,0,0,,,,,,8,373,46.63,0
20,1989,1989-12-24,16,26.196,NOR,,IND,W 41-6,,0,0,,0,0,0,,0,0,0,,,,,,2,91,45.50,0
21,1990,1990-09-10,1,27.091,NOR,,SFO,L 12-13,,0,0,,0,0,0,,0,0,0,,,,,,6,251,41.83,0
22,1990,1990-09-16,2,27.097,NOR,@,MIN,L 3-32,,0,0,,0,0,0,,0,0,0,,,,,,6,289,48.17,0
23,1990,1990-09-23,3,27.104,NOR,,PHO,W 28-7,,0,0,,0,0,0,,0,0,0,,,,,,4,139,34.75,0
24,1990,1990-10-07,4,27.118,NOR,@,ATL,L 27-28,,0,0,,0,0,0,,0,0,0,,,,,,3,128,42.67,0
25,1990,1990-10-14,5,27.125,NOR,,CLE,W 25-20,,0,0,,0,0,0,,0,0,0,,,,,,2,66,33.00,1
26,1990,1990-10-21,6,27.132,NOR,@,HOU,L 10-23,,0,0,,0,0,0,,0,0,0,,,,,,2,79,39.50,0
27,1990,1990-10-28,7,27.139,NOR,,DET,L 10-27,,0,0,,0,0,0,,0,0,0,,,,,,4,169,42.25,0
